ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2023,,"Maybach, Viola",,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,Fürstenkinder,,Hamburg,Kelter,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G-man Jerry Cotton,,Köln,Bastei Lübbe,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,63,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,63,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,65,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,63,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,63,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,63,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,63,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,65,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Winchester,,Bergisch-Gladbach,Lübbe,2023,,,,,,,,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Arztromane,,Hamburg,Kelter,2022,,,,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Der kleine Fürst,,Hamburg,Martin Kelter Verlag GmbH & Co. KG,2022,,"Maybach, Viola",,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Die schönsten Bergromane,,Köln,Bastei Lübbe GmbH & Co. KG,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
,Dr. Norden,,Hamburg,Kelter,2022,,,,,,,,ger,
