ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783897984646,Erzgebirgisches Weihnachtsbüchlein,17. Auflage,Leipzig,BuchVerlag Leipzig GmbH,2023,127,,"Crummenerl, Rainer",,,,Fiktionale Darstellung; Geschenkbücher,ger,
9783963117183,Das Wasser des Lebens,,Halle (Saale),Mitteldeutscher Verlag,2022,77,,"Nielsen, Maja",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963117183,Ein Buch mit möglicherweise gruseligen Geschichten,,Halle (Saale),Mitteldeutscher Verlag,2022,91,,"Stronk, Cally",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783150180358,Erzählungen,,Ditzingen,Reclam,2022,439,"Hofmannsthal, Hugo von",,,,"Renner, Ursula",Anthologie; Erzählende Literatur: Anthologien,ger,
9783963117183,"Geschichten finden, nicht erfinden",,Halle (Saale),Mitteldeutscher Verlag,2022,85,,"Vry, Silke",,,,Anthologie; Gemischte Anthologien,ger,
9783963117183,Geschichtenflohmarkt,,,,2022,100,,"Sissung, Ingrid; Wolff, Christina",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963117183; 3963117184,Hort der Geschichte(n),,Halle (Saale),Mitteldeutscher Verlag,2022,76,,"Laschütza, Susanne",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783150175255,Klassische deutsche Kurzgeschichten,Vollständig durchgesehene und bibliographisch ergänzte Ausgabe,Ditzingen,Reclam,2022,308,,"Bellmann, Werner",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963117183; 3963117184,Schrecklich schönes Aachen!,,Halle (Saale),Mitteldeutscher Verlag,2022,77,,"Blazy, Sabine",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963115301,Unsere Gesellschaft in Geschichten,,Halle (Saale),Mitteldeutscher Verlag,2022,78,,,,,,,ger,
9783963117183,Unsere Gesellschaft in Geschichten,,Halle (Saale),Mitteldeutscher Verlag,2022,81,,,,,,,ger,
9783963115301; 3963115300,Vom Heldenfrühstück zum Ohrenschmaus,,Halle (Saale),Mitteldeutscher Verlag,2022,78,,"Karge, Susanne",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963115301,Auf der Suche,,Halle (Saale),Mitteldeutscher Verlag,2021,79,,"Cumart, Nevfel",,,,"Anthologie; Unterhaltung, Gemischte Anthologien",ger,
9783963115301,"""Bärentatze - Tigerkatze - welches Tier passt zu mir?""",,Halle (Saale),Mitteldeutscher Verlag,2021,72,,"Galster, Karen",,,,Anthologie; Gemischte Anthologien,ger,
9783455012347,Die Erzählungen,1. Auflage,Hamburg,Hoffmann und Campe,2021,810,"Lenz, Siegfried",,,,,,ger,
9783455012347,Die Erzählungen,1. Auflage,Hamburg,Hoffmann und Campe,2021,821,"Lenz, Siegfried",,,,,,ger,
9783963115301; 3963115300,Freude - Gestalten in Kaufering,,Halle (Saale),Mitteldeutscher Verlag,2021,68,,"Walbrecker, Dirk",,,,Anthologie; Gemischte Anthologien,ger,
9783518429754,Gesammelte Werke,Erste Auflage,Berlin,Suhrkamp,2021,455,"Steiner, Jörg",,,,,,ger,
9783518429754,Gesammelte Werke,Erste Auflage,Berlin,Suhrkamp,2021,453,"Steiner, Jörg",,,,,,ger,
9783963115301,Morgen ist heute gestern,,Halle (Saale),Mitteldeutscher Verlag,2021,68,,"Ebbertz, Martin",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783765519826,Pitti lächelt und andere Geschichten,"6., erweiterte Auflage",Giessen,Brunnen Verlag,2021,159,"Siebald, Manfred",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963115301,Reise in die Zukunft,,Halle (Saale),Mitteldeutscher Verlag,2021,84,,"Vorbach, Britta",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963115301,Unsere Gesellschaft in Geschichten,,Halle (Saale),Mitteldeutscher Verlag,2021,84,,,,,,,ger,
9783963115301,Wir - Kauferinger Zukunfts-Geschichten,,Halle (Saale),Mitteldeutscher Verlag,2021,73,,"Walbrecker, Dirk",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783850930543,Der ganz normale Fernsehabend und andere Kurzgeschichten,9. aktualisierte Auflage,Wattens,Berenkamp,2020,128,"Kahn, Sepp",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783963117183; 3963117184,Der geheime Park,,,,2022,83,"John, Constanze",,,,,Anthologie; Gemischte Anthologien,ger,
9783850933285,Ein Bauer auf Kur und andere Kurzgeschichten,3. Auflage,Wattens,Berenkamp,2020,120,"Kahn, Sepp",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783942586979,"Von Fürsten, Köchen und weißen Frauen",2. ergänzte und verbesserte Auflage,Schleiz,Klimpke,2020,95,"Schlewitz, Herm.","Klimpke, Juergen K.",,,,Anthologie; Erzählende Literatur,ger,
9781503009073,Zwischenraum,,Aachen,Inge Ivy Wassenberg,2020,137,"Wassenberg, Inge",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783952441992,Ausgependelt,,Münchenstein,editionsmueller,2019,100,"Mueller, Marlise",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783150094976,Die Bibliothek von Babel,,Ditzingen,Reclam,2019,92,"Borges, Jorge Luis","Friedl Zapata, José Antonio","Horst, Karl August; Meyer-Clason, Curt",,"Friedl Zapata, José Antonio",Anthologie; Erzählende Literatur: Anthologien,ger,spa
9783932483349; 3932483340,Die Zukunft ist bunt,2. Auflage,Erkelenz,Altius,2019,159,"Gerhards, Ulrich J.",,,,"Fischer, Wolfgang",Erzählende Literatur,ger,
9783835333307,Große Erzählungen der Weltliteratur,,Göttingen,Wallstein Verlag,2019,352,"Kesting, Hanjo",,,,,,ger,
9783835333307,Große Erzählungen der Weltliteratur,,Göttingen,Wallstein Verlag,2019,341,"Kesting, Hanjo",,,,,,ger,
9783835333307,Große Erzählungen der Weltliteratur,,Göttingen,Wallstein Verlag,2019,420,"Kesting, Hanjo",,,,,,ger,
9783150088517,Kleine Wanderung,Lizenzausgabe,Ditzingen,Reclam,2019,76,"Walser, Robert",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783150180396,Reitergeschichte und andere Erzählungen,"2., bibliographisch ergänzte Auflage",Ditzingen,Reclam,2019,80,"Hofmannsthal, Hugo von",,,,"Bosse, Heinrich",Anthologie; Erzählende Literatur: Anthologien,ger,
9783518411070,Sämtliche Werke,4. Auflage,Frankfurt am Main,Suhrkamp,2019,505,"Hesse, Hermann",,,,,,ger,
9788394870607; 8394870600,W poszukiwaniu czarodziejskiego słowa,,Łubowice,Górnośląskie Centrum Kultury i Spotkań im. Eichendorffa,2019,123,,"Rostropowicz, Joanna","Rostropowicz, Joanna",,"Rostropowicz, Joanna",Anthologie; Gemischte Anthologien,ger; pol,ger
9783552059269,Werke,1. Auflage,Wien,Paul Zsolnay Verlag,2019,525,"Zur Mühlen, Hermynia",,,,,,ger,
9783552059269,Werke,1. Auflage,Wien,Paul Zsolnay Verlag,2019,666,"Zur Mühlen, Hermynia",,,,,,ger,
9788394870607; 8394870600,Der Letzte und andere Erzählungen,,Lubowitz,Oberschlesisches Eichendorff-Kultur- und Begegnungszentrum,2018,267,"Bethusy-Huc, Valeska",,"Rostropowicz, Joanna",,,Fiktionale Darstellung; Erzählende Literatur,ger; pol,ger
9783150182512,Klassische deutsche Kurzgeschichten,"2., durchgesehene und bibliographisch ergänzte Auflage",Ditzingen,Reclam,2018,365,,"Bellmann, Werner",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783981441093,Märkische Geschichten,"Originalausgabe, 4. überarbeitete Auflage",Falkensee,"Verlag der Brandenburgischen Genealogischen Gesellschaft ""Roter Adler"" e. V.",2018,128,"Treutler, Gerd-Christian Th.",,,,,Fiktionale Darstellung; Erzählende Literatur: Anthologien,ger,
9783958292093,Sämtliche Erzählungen,Gewebeausgabe,Göttingen,Steidl,2018,2,"Brennan, Maeve",,"Oeser, Hans-Christian",,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783730605943,Unheimliche und phantastische Geschichten,,Köln,Anaconda,2018,544,"Poe, Edgar Allan",,,,,,ger,eng
9783730605943,Unheimliche und phantastische Geschichten,,Köln,Anaconda,2018,543,"Poe, Edgar Allan",,,,,,ger,eng
9783730605943,Unheimliche und phantastische Geschichten,,Köln,Anaconda,2018,541,"Poe, Edgar Allan",,,,,,ger,eng
9783730605943,Unheimliche und phantastische Geschichten,,Köln,Anaconda,2018,3,"Poe, Edgar Allan",,"Durian, Wolf",,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,eng
9783942614986,Wenn einmal der Wurm drin ist,,Hattingen,Edition Paashaas Verlag,2018,196,"Spahn, Raniero",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783150017449,Der Mantel,Veränderte Ausgabe,Stuttgart,Reclam,2017,90,"Gogolʹ, Nikolaj Vasilʹevič","Reißner, Eberhard","Reißner, Eberhard","Gogolʹ, Nikolaj Vasilʹevič; Gogolʹ, Nikolaj Vasilʹevič",,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,rus
9783944810003,Die Spur  führt an den Lech,3. Auflage,Landsberg,Liccaratur-Verlag,2017,223,,,,,,Anthologie,ger,
9783932483349; 3932483340,Die Zukunft ist bunt,"Originalausgabe, 1. Auflage",Erkelenz,Altius,2017,159,"Gerhards, Ulrich J.",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783150182512,Klassische deutsche Kurzgeschichten,Veränderte Ausgabe,Ditzingen,Reclam,2017,363,,"Bellmann, Werner",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783000332128,Warum ich das Kringelchen erfand und andere Geschichten,3. Auflage,Engenhahn-Wildpark,Edition Osiris MIC GmbH,2017,92,"Sommerlatte, Tom",,,,,"Anthologie; Erzählende Literatur: Anthologien; Comic, Cartoon, Humor, Satire",ger,
9783945035429,Coo-ee,3. Auflage,Hamburg,Balladine,2016,143,,"Lawrence, Shawnee","Lawrence, Shawnee",,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783150088913,Der Verbrecher aus verlorener Ehre und andere Erzählungen,Durchgesehene Ausgabe,Stuttgart,Reclam,2016,75,"Schiller, Friedrich",,,,,Anthologie; Erzählende Literatur: Anthologien; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783150094976,Die Bibliothek von Babel,,Stuttgart,Reclam,2016,92,"Borges, Jorge Luis",,"Horst, Karl August",,,Anthologie; Erzählende Literatur: Anthologien,ger,spa
9783958292093,Dubliner Geschichten,1. Auflage,Göttingen,Steidl,2016,592,"Brennan, Maeve",,"Oeser, Hans-Christian",,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783150175255,Klassische deutsche Kurzgeschichten,Veränderte Ausgabe,Stuttgart,Reclam,2016,308,,"Bellmann, Werner",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783952441992,Mrs Miller an der Murakami-Haltestelle. Geschichten vom Stadtrand,,Münchenstein,Verlag editionsmueller,2016,120,"Mueller, Marlise",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783958292093,New Yorker Geschichten,1. Auflage,Göttingen,Steidl,2016,576,"Brennan, Maeve",,"Oeser, Hans-Christian",,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783958292093,Sämtliche Erzählungen,,Göttingen,Steidl,2016,2,"Brennan, Maeve",,"Oeser, Hans-Christian",,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783931063030,"Viel Leben, wenig Tod",Neuauflage,Spirkelbach,Eligia Goroncy Verlag,2016,268,"Devise, Jean-Philippe",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783938575185,Wirtsbuam-Turmschreibereien,2. durchgesehene Auflage,Husum,Turmschreiber Verlag,2016,94,"Göttler, Hans",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783608939767,Das Buch der verschollenen Geschichten,21.  Auflage,Stuttgart,Klett-Cotta,2015,445,"Tolkien, J. R. R.",,,,,,ger,eng
9783608939767,Das Buch der verschollenen Geschichten,21. Auflage,Stuttgart,Klett-Cotta,2015,519,"Tolkien, J. R. R.",,,,,,ger,eng
9783150076286,Das Ende von Etwas,"Lizenzausgabe, erste Auflage dieser Ausgabe",Stuttgart,Reclam,2015,71,"Hemingway, Ernest",,"Horschitz-Horst, Annemarie",,,Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783150017449,Der Mantel,,Stuttgart,Reclam,2015,90,"Gogolʹ, Nikolaj Vasilʹevič","Reißner, Eberhard",,"Gogolʹ, Nikolaj Vasilʹevič",,Erzählende Literatur,ger,rus
9783455405545,Die Erzählungen,1. Auflage,Hamburg,Hoffmann und Campe,2015,810,"Lenz, Siegfried",,,,,,ger,
9783455405545,Die Erzählungen,1. Auflage,Hamburg,Hoffmann und Campe,2015,821,"Lenz, Siegfried",,,,,,ger,
9783850933285,Ein Bauer auf Kur und andere Kurzgeschichten,"2., erw. Aufl.",Wattens,Berenkamp,2015,112,"Kahn, Sepp",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783110439458,Geschichten aus dem Wiener Wald,,Berlin,De Gruyter,2015,505,"Horváth, Ödön von",,,,,,ger,
9783110439458,Geschichten aus dem Wiener Wald,,Berlin,De Gruyter,2015,510,"Horváth, Ödön von",,,,,,ger,
9783861509196,Kannibalismus im Zug und andere Erzählungen,5. Aufl.,Leipzig,Zweitausendeins,2015,335,"Twain, Mark","Haffmans, Gerd","Raykowski, Harald",,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,eng
9783150088517,Kleine Wanderung,"Lizenzausgabe, Nachdruck",Stuttgart,Reclam,2015,69,"Walser, Robert",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783000420412,Berggeschichten und andere Kurzgeschichten,"Taschenbuch, 2., überarb. und erw. Aufl.",Nürnberg,LHDL Self Publ.,2014,198,"Di Longo, Laurenz",,,,,Erzählende Literatur: Anthologien,ger,
9783942614986,Bitte recht freundlich,,Hattingen,Ed. Paashaas-Verl.,2014,172,"Spahn, Raniero",,,,,,ger,
9783945035429,Coo-ee,1. Aufl.,Hamburg,Balladine,2014,148,,"Lawrence, Shawnee",,,,Erzählende Literatur: Anthologien,ger,eng
9783942063364,Drei Frauen am Meer,"3., überarbeitete Auflage",Schweinfurt,Wiesenburg Verlag,2014,144,"Weise, Eckhard",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783150180358,Erzählungen,Nachdr.,Stuttgart,Reclam,2014,439,"Hofmannsthal, Hugo von","Renner, Ursula",,,,Erzählende Literatur: Anthologien,ger,
9783411160433,Erzählungen und Romane,Nachdr.,Berlin,Bibliogr. Inst.,2014,830,"Kafka, Franz",,,,,,ger,
9783411160433,Erzählungen und Romane,Nachdr.,Berlin,Bibliogr. Inst.,2014,1039,"Kafka, Franz",,,,,,ger,
9783897984646,Erzgebirgisches Weihnachtsbüchlein,Umfassend überarb. und neu ausgestattete Ausg.,Leipzig,BuchVerl. für die Frau,2014,128,,"Crummenerl, Rainer; Auerbach, Konrad",,,,Anthologie; Anthologie; Geschenkbücher,ger,
9783944201177,Ich bin Ausländer und das ist auch gut so,2. Aufl.,Bremen,Sujet,2014,168,"Falaki, Mahmood",,,,,Erzählende Literatur,ger,
9783981441093,Märkische Geschichten,"Originalausgabe, 3. überarbeitete Auflage",Potsdam,BGG-Verlag,2014,128,"Treutler, Gerd-Christian Th.",,,,,Anthologie; Anthologie,ger,
9783518411070,Sämtliche Werke,3. Auflage,Frankfurt am Main,Suhrkamp,2014,505,"Hesse, Hermann",,,,,,ger,
9783730601556,Sherlock Holmes,,Köln,Anaconda,2014,603,"Doyle, Arthur Conan",,"Giger, Leslie",,,,ger,eng
9783730601556,Sherlock Holmes,,Köln,Anaconda,2014,848,"Doyle, Arthur Conan",,"Giger, Leslie",,,,ger,eng
9783956741623,Zuckerwatte mit Chili,Genehmigte Lizenzausgabe,Langenfeld,Karl Müller,2014,157,"Voosen, Jana",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783956741623,Zuckerwatte mit Chili,Genehmigte Lizenzausgabe,Langenfeld,Universo,2014,128,"Voosen, Jana",,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9781503009073,Zwischenraum,Auflage 1,Aachen,Inge Wassenberg,2014,118,"Wassenberg, Inge",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783000420412,Berggeschichten und andere Kurzgeschichten,1. Aufl.,Nürnberg,LHDL Eigenverl.,2013,86,"Di Longo, Laurenz",,,,,Erzählende Literatur: Anthologien,ger,
