ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783990293959; 9783854359364; 9788871743523; 3990293958,Abschieblinge,,Klagenfurt,Wieser Verlag,2023,201,Prežihov Voranc,,"Strutz, Jozej",,,Fiktionale Darstellung; Erzählende Literatur,ger,slv
9783423148788; 3423148780,Alissa kauft ihren Tod,Lizenzausgabe mit Genehmigung der Carl Hanser Verlag GmbH & Co. KG,München,dtv,2023,301,"Ulickaja, Ljudmila Evgenʹevna",,"Braungardt, Ganna-Maria",,,Anthologie; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,rus
9783990254394; 3990254391,Auf den Spuren der Fledermaus und andere Erzählungen,,Engerwitzdorf/Mittertreffling,Freya,2023,129,"Solís-Haje, Claudia Inés",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,spa
9783863561710; 3863561716,Awarische Prosa,"Zweite, erweiterte Auflage","Ludwigsburg,",Pop Verlag Literatur,2023,303,"Musajasul, Chalil-Bek; Zadassa, Gamsat; Gamsatow, Rassul; Chatschalow, Abdulmashid; Murtusalijewa, Patimat; Tajmas’chanow, Tadshudin; Alijewa, Fasu; Muchamad, Ghabasil; Gadshijew, Gusejn; Mashidow, Muchomad; Galbazow, Gasimagomed; Magomedowa, Patimat; Ganijewa, Alissa","Chotiwari-Jünger, Steffi; Sagitova, Patimat; Traian, Pop",,,,Anthologie; Erzählende Literatur: Anthologien,ger,ava
9783311101062; 3311101065,Bacacay,,Zürich,Kampa,2023,280,"Gombrowicz, Witold",,"Kühl, Olaf; Tiel, Walter",,,Fiktionale Darstellung; Erzählende Literatur,ger,pol
9783962006037; 3962006036,Bärenschau,,Pliening,Verlagshaus Schlosser,2023,175,"Murányi, Sándor Olivér",,,,,Anthologie; Erzählende Literatur,ger,hun
9783257072709; 3257072708,"Bruno, Chef de cuisine und andere Geschichten aus dem Périgord",,Zürich,Diogenes,2023,329,"Walker, Martin",,"Windgassen, Michael",,,"Fiktionale Darstellung; Krimis, Thriller, Spionage",ger,eng
9783423095624; 3423095628,Cuentos de la selva ,,München,dtv,2023,175,"Quiroga, Horacio",,"Düker, Brit",,,Anthologie; Zweisprachige Ausgaben: Deutsch / Spanisch,ger; spa,spa
9783424154573; 3424154571,Das Buch der Mythen und Märchen,1. Auflage,München,Irisiana,2023,175,"Yoshitani, Yoshi",,"Beier, Sven",,,Anthologie,ger,eng
9783875128581; 3875128583,Das Erbe der Menschheit und andere Geschichten,Originalausgabe,Augsburg,MaroVerlag,2023,143,"Chi, Hui",,"Meyer zu Venne, Felix; Dubro, Lukas",,"Wenker, Marius",Anthologie; Erzählende Literatur: Anthologien,ger,chi
9783499001680; 3499001683,Das Exil und das Reich,Neuausgabe,Hamburg,ROWOHLT Taschenbuch,2023,204,"Camus, Albert",,"Meister, Guido G.",,,Anthologie; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,fre
9783423218795; 3423218797,Das Glück der Geschichtensammlerin,Deutsche Erstausgabe,München,dtv,2023,413,"Page, Sally",,"Müller, Carolin",,,Fiktionale Darstellung; Erzählende Literatur,ger,eng
9783453274587; 345327458X,Das Grauen von Dunwich,Deutsche Erstausgabe,München,Heyne,2023,64,"Lovecraft, H. P.",,"Artmann, H. C.",,"Baranger, François",Fiktionale Darstellung; Horror,ger,eng
9783947831487; 394783148X,Das kleine Buch der Sufi-Geschichten,1. Auflage,Berlin,Der Erzählverlag,2023,208,"Douglas-Klotz, Neil",,,,,Anthologie; Gemischte Anthologien,ger,eng
9783835355545; 3835355546,Das Lachen der Götter,,Göttingen,Wallstein Verlag,2023,222,"Šteger, Aleš",,"Göritz, Matthias",,,Anthologie; Erzählende Literatur: Gegenwartsliteratur ab 1945; Erzählende Literatur,ger,slv
9789534904343,"Das Leben ist schön, wenn man weiß, wie man es lebt",,Split,Safari duha d.o.o.,2023,230,"Bučević, Ana",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,hrv
9783257072600; 3257072600,Das Spiel mit der Angst und andere Geschichten,,Zürich,Diogenes,2023,223,"Markarēs, Petros",,"Prinzinger, Michaela",,,"Fiktionale Darstellung; Krimis, Thriller, Spionage",ger,gre
9783312012848; 3312012848,Das Unerwartete,"1. Auflage, ungekürzte Taschenbuchausgabe",Hamburg,HarperCollins Taschenbuch,2023,380,"Oates, Joyce Carol",,"Morawetz, Silvia",,,Anthologie; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,eng
9783039260539; 3039260537,Denk an die Tage und Nächte,,Zürich,Limmat Verlag,2023,194,"De Marchi, Pietro",,"Sauser, Barbara",,,Fiktionale Darstellung; Erzählende Literatur,ger,ita
9783825153472; 3825153479,Der Boulevard,Deutsche Erstausgabe,Stuttgart,Urachhaus,2023,160,"Jansson, Tove",,"Kicherer, Birgitta",,,Anthologie; Erzählende Literatur,ger,swe
9783833243301; 3833243309,Der Fluss aus Silber,1. Auflage,Stuttgart,Panini Verlags GmbH,2023,300,"Chakraborty, S. A.",,"Fricke, Kerstin",,,Fiktionale Darstellung; Fantasy,ger,eng
9783455015034; 3455015034,Der Hund des Todes,1. Auflage,Hamburg,Atlantik,2023,317,"Christie, Agatha",,"Berger, Marfa; Meinert, Maria; Walter, Edith",,,"Fiktionale Darstellung; Krimis, Thriller, Spionage",ger,eng
9783518243602; 3518243608,Der Ingenieur von Babel,Erste Auflage,Berlin,Suhrkamp Verlag,2023,196,"Bufalino, Gesualdo",,"Pflug, Maja",,,Fiktionale Darstellung; Erzählende Literatur,ger,ita
9783832167103; 3832167102,"Der längste, strahlendste Tag",,Köln,DuMont,2023,267,"Myers, Benjamin",,"Wasel, Ulrike; Timmermann, Klaus",,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,eng
9783442758678; 344275867X,Der Spielzeug-Sammler,1. Auflage,München,btb,2023,315,"McBride, James",,"Löcher-Lawrence, Werner",,,Fiktionale Darstellung; Erzählende Literatur,ger,eng
9783752007312; 3752007311,Der strahlende Berg,,Wiesbaden,Reichert Verlag,2023,145,"Gen'yū, Sōkyū",,"Arndt-Kunimoto, Frauke; Fuchs, Mariko",,,Anthologie; Erzählende Literatur: Anthologien,ger,jpn
9783730614068; 3730614061,Der Untergang des Hauses Usher,,München,Anaconda,2023,383,"Poe, Edgar Allan",,"Etzel, Gisela",,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945; Erzählende Literatur,ger,eng
9783847704683; 3847704680,Der verwunschene Fels und andere Erzählungen,Originalausgabe,Berlin,Die Andere Bibliothek,2023,321,"Cather, Willa","Krup, Agnes","Krup, Agnes",,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,eng
9783730611661; 3730611666,Die besten Geschichten,,München,Anaconda,2023,223,"Dickens, Charles",,"Holtsch, Heike; Samland, Bernd",,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,eng
