ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783757537609; 3757537602,100% Marcels Reime von A-Z,10. Auflage,Berlin,epubli,2023,220,"stuemer, marcellinus",,,,,"Lyrik, Dramatik",ger,
9783757512262; 375751226X,100% Marcels Reime von A-Z,1. Auflage,Berlin,epubli,2023,144,"stuemer, marcellinus",,,,,"Lyrik, Dramatik",ger,
9783985381302; 3985381305,42 verlorene Geschichten,Originalausgabe,Düsseldorf,KLHE,2023,164,"Aygün, Azad",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783985381319; 3985381313,51 verlorene Geschichten vom 2. Weltkrieg,Originalausgabe,Düsseldorf,KLHE,2023,213,"Aygün, Azad",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783758319242; 3758319242,75 Jahre,1. Auflage,Norderstedt,BoD – Books on Demand,2023,154,"Klassen, Wilhelm",,,,,Romanhafte Biographien,ger; rus,
9783755766780; 3755766787,77,2. Auflage,Norderstedt,BoD – Books on Demand,2023,84,"Wurzer, Peter",,,,,Lyrik,ger,
9783750431072; 3750431078,Abflugbereit,1. Auflage,Norderstedt,BoD – Books on Demand,2023,124,"von der Way, Bettina",,,,,Lyrik,ger,
9783384033109; 3384033108,Adventskalendergeschichten,,Ahrensburg,tredition,2023,76,"Hale, Talea",,,,,Erzählende Literatur; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783949902154; 3949902155,Als ich Kind war …,1. Auflage,Dortmund,OCM GmbH,2023,145,"Meißner-Johannknecht, Doris",,,,,Fiktionale Darstellung; Anthologie; Lyrik,ger,
9783643511713; 364351171X,Als ich noch der Bauernbub war,,Wien,LIT,2023,165,"Mann, Erwin",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783757538569; 3757538560,Anderwelt,1. Auflage,Berlin,epubli,2023,172,"Steinberg, Anna",,,,,Romanhafte Biographien,ger,
9783757538576; 3757538579,Anderwelt,2. Auflage,Berlin,epubli,2023,172,"Steinberg, Anna",,,,,Romanhafte Biographien,ger,
9783351042110; 3351042116,Auf der Suche,1. Auflage,Berlin,Aufbau,2023,143,"Fontane, Theodor","D'Aprile, Iwan-Michelangelo",,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783748141488; 3748141483,Auf der Zugspitze,1. Auflage,Norderstedt,BoD – Books on Demand,2023,256,"Frischko, Kati; Birnmeyer, Florian; Berger, Birgit",,,,,Lyrik,ger,
9783347906723; 3347906721,AUF UND DAVON,,Ahrensburg,tredition,2023,256,"Mazzei-Karl, Uta",,,,,Romanhafte Biographien,ger,
9783347906730; 334790673X,AUF UND DAVON,,Ahrensburg,tredition,2023,256,"Mazzei-Karl, Uta",,,,,Romanhafte Biographien,ger,
9783990981528; 3990981528,Aus meinem Leben,,Wien,Löcker,2023,202,"Lubomirski, Karl",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783034017251; 3034017251,Ausgewählte Erzählungen,,Zürich,Chronos,2023,247,"Haller, Lilli","Zeltner, Loriana",,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783947083619; 3947083610,Bad Old Low,,Schrobenhausen,Kelebek Verlag,2023,340,"Zurawczak, Sascha","Verlag, Kelebek",,,,"Fiktionale Darstellung; Krimis, Thriller, Spionage; Historische Kriminalromane",ger,
9783969820612; 3969820618,Bahnwärter Thiel,1. Auflage,Berlin,Quintus,2023,87,"Hauptmann, Gerhart",,,"Hauptmann, Gerhart; Hauptmann, Gerhart",,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945; Erzählende Literatur,ger,
9783757555139; 3757555139,Beate Hilker Diagnose Morbus Parkinson/Zeit für Tango? Herr Parkinson,6. Auflage,Berlin,epubli,2023,208,"Hilker, Beate",,,,,Romanhafte Biographien,ger,
9783757554415; 3757554418,Beate Hilker Diagnose Morbus Parkinson/Zeit für Tango? Herr Parkinson,5. Auflage,Berlin,epubli,2023,208,"Hilker, Beate",,,,,Romanhafte Biographien,ger,
9783000768125; 3000768122,Bunter Hund,,Regensburg,Dr. Hubert Treml,2023,112,"Treml, Hubert",,,,"Kuran, Klaus",Anthologie; Lyrik,ger,
9783868131161; 3868131167,Celan und die Anderen,,Berlin,Edition Noack & Block,2023,226,,"Gutenberg, Norbert",,,,Anthologie; Lyrik,ger,
9783384031228; 3384031229,Claras Vater,,Ahrensburg,tredition,2023,296,"Liebl, Hildegard",,,,,Erzählende Literatur; Erzählende Literatur: Gegenwartsliteratur ab 1945; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783384031235; 3384031237,Claras Vater,,Ahrensburg,tredition,2023,296,"Liebl, Hildegard",,,,,Erzählende Literatur; Erzählende Literatur: Gegenwartsliteratur ab 1945; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783835353367; 3835353365,Comische Erzählungen,Erste Auflage,Göttingen,Wallstein Verlag,2023,213,"Wieland, Christoph Martin","Nowitzki, Hans-Peter",,,,Anthologie; Lyrik,ger,
9783902928238; 3902928239,Dalebt und dalost,,Pottenbrunn,L & L Verlag,2023,183,"Girsch, Veronika",,,,"Funk, Margit",Anthologie; Lyrik,ger,
9783947435579; 3947435576,Damals in Bühne,1. Auflage,Borgentreich-Bühne,Verlag der Ostwestfalen-Akademie,2023,127,"Guss, Kurt",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783965770508; 3965770500,Das alte Leben,"Originalausgabe, 1. Auflage",Marburg,Verlag Blaues Schloss,2023,202,"Pfürtner-Bloos, Irmgard",,,,,Anthologie; Lyrik,ger,
9783746014722; 3746014727,Das blaue Pferd,2. Auflage,Norderstedt,BoD – Books on Demand,2023,256,"Tesch, Gerd",,,,,Lyrik,ger,
