ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783848501809; 3848501805,24 achtsame Adventsmomente,,München,Groh Verlag,2023,164,,,,,,Anthologie; Geschenkbücher,ger,
9783729651432; 3729651439,Advents-Stern,,Basel,Zytglogge,2023,25,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783963116841; 3963116846,Alle Sinne leben,,Halle (Saale),Mitteldeutscher Verlag,2023,139,,,,,,Anthologie; Gemischte Anthologien,ger,
9783746265131; 3746265134,Ein Frühlingsstrauß für dich,,Leipzig,Benno,2023,17,,,,,,Geschenkbücher,ger,
9783000751271,ERZählt,1. Auflage,Marienberg,Literatur im Erzgebirge e.V.,2023,132,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783831624225; 3831624224,Falle,,München,Literareon,2023,88,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783746263335; 3746263336,Freunde auf vier Pfoten 2024,,Leipzig,St. Benno,2023,24,,,,,,Erzählende Literatur: Anthologien,ger,
9783902714442,Gedichte & Geschichten,,Graz,Wir machen Kultur,2023,,,,,,,,ger,
9783902714459,Gedichte & Geschichten,,Graz,Wir machen Kultur,2023,,,,,,,,ger,
9783845852867; 3845852860,Gipfelglück,,München,arsEdition,2023,51,,,,,,Anthologie; Geschenkbücher,ger,
9783848502080; 3848502089,Gute Besserung,,München,Groh,2023,48,,,,,,Anthologie; Geschenkbücher,ger,
9783000748059,Himmel & Hölle,1. Auflage,Groß-Gerau,Kreisvolkshochschule Groß-Gerau,2023,45,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783967531725; 3967531724,Hund - Hund - Hund,"Originalausgabe, 1. Auflage",Oberhausen/Obb.,NOEL-Verlag,2023,256,,,,,,Anthologie; Erzählende Literatur,ger,
9783946169680; 3946169686,Lachgeschichten aus dem Leseturm,,Halle,Projekte Verlag Hahn,2023,231,,,,,,Anthologie; Gemischte Anthologien,ger,
9783848501915; 3848501910,Leuchtendes Julfest,,München,Groh Verlag,2023,143,,,,,,Anthologie; Geschenkbücher,ger,
9783960002628; 3960002629,Liebesrausch & Bettgeflüster,"1. Auflage, vollständige Ausgabe, Originalausgabe",Leipzig,Elysion-Books,2023,226,,,,,,"Anthologie; Erzählende Literatur: Anthologien; Humor, Satire",ger,
9783855805723; 3855805725,Mein Grosi ist ein Schlitzohr,,Bern,Blaukreuz-Verlag,2023,135,,,,,,Fiktionale Darstellung; Erzählende Literatur: Anthologien,ger,
9783257247213; 3257247214,Mit Schuss,Originalausgabe,Zürich,Diogenes,2023,239,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783150207376; 3150207371,Reclams Winterbuch,,Ditzingen,Reclam,2023,175,,,,,,Anthologie; Gemischte Anthologien,ger,
9783967632804; 3967632806,Redefluss und Wortbrücken,1. Auflage,Ochsenfurt,Kulturmaschinen,2023,174,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783702510862; 3702510869,Sieben,,Salzburg,Verlag Anton Pustet,2023,179,,,,,,Anthologie; Erzählende Literatur: Anthologien; Erzählende Literatur,ger,
9783960000785; 3960000782,Sinnliche gute Nacktgeschichten,"1. Auflage, vollständige Ausgabe, Originalausgabe",Leipzig,Elysion Books,2023,196,,,,,,"Anthologie; Erzählende Literatur: Anthologien; Humor, Satire",ger,
9783702511036; 3702511032,Trotzdem,,Salzburg,Verlag Anton Pustet,2023,216,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783952528419,Un-heimlich,2. Auflage,Lotzwil,Quittenduft-Verlag,2023,160,,,,,,Anthologie; Erzählende Literatur,ger,
9783951972619; 3951972610,Unberechenbare Kurzgeschichten,1. Auflage,Villach,KROGGL Verlag – Pink Chili KG,2023,130,,,,,,Gemischte Anthologien,ger,
9783955878221; 3955878228,Verlassenes Ostbayern,1. Auflage,Regenstauf,SüdOst Verlag,2023,200,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783755300359; 3755300354,Weihnachten,Lizensierte Sonderausgabe,Königswinter,Petersberg,2023,396,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783746261324; 3746261325,"Wer lacht, wird selig 2024",,Leipzig,St. Benno,2023,368,,,,,,"Humor, Satire",ger,
9783492065108; 3492065104,When snowflakes dance and hearts melt,Originalausgabe,München,everlove by Piper,2023,364,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783982442532,Wiesbadener Anthologie,,Wiesbaden,b.i.t. Verlag GmbH,2023,,,,,,,,ger,
9783742323804; 3742323806,Zeit Magazin - Liebesgeschichten,"Originalausgabe, 1. Auflage",München,riva,2023,91,,,,,,Anthologie; Geschenkbücher,ger,
9783845849232; 3845849231,24 literarische Geschichten für den Advent,,München,arsEdition,2022,96,,,,,,"Anthologie; Geschenkbücher, Alben, Immerwährende Kalender, Postkartenbücher",ger,
9783150113929; 315011392X,Danke!,,Ditzingen,Reclam,2022,127,,,,,,Anthologie; Gemischte Anthologien,ger,
9783746260846; 3746260841,Das Glück liegt in Fahrtrichtung,,Leipzig,Benno,2022,78,,,,,,Anthologie; Gemischte Anthologien,ger,
9783886175857; 3886175855,Das Jahreszeiten-Känguru,1. Auflage,Berlin,Verlag der Bundesvereinigung Lebenshilfe e.V.,2022,238,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783949240263; 3949240268,Die alte Wurzel,1. Auflage,Leipzig,OsirisDruck,2022,241,,,,,,Anthologie; Gemischte Anthologien,ger,
9783649642299; 3649642298,Die ganze Welt ist voller Wunder,,"Münster, Germany",Coppenrath,2022,45,,,,,,Anthologie; Geschenkbücher,ger,
9783869179797; 3869179791,Die kleine Seelenapotheke,,Eschbach/Markgräflerland,Verlag am Eschbach,2022,103,,,,,,Anthologie; Geschenkbücher; Erzählende Literatur: Anthologien,ger,
9783534275069; 3534275063,Die Märchen der Welt,,Darmstadt,wbg Edition,2022,5,,,,,,Anthologie,ger,
9783903406056; 3903406058,Die zerrissenen Zwanziger,,Wien,Brot & Spiele Verlag,2022,165,,,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783746262406; 3746262402,Ein Frühlingsstrauß für dich,,Leipzig,Benno,2022,17,,,,,,Anthologie; Geschenkbücher,ger,
9783746261522; 374626152X,Ein Lächeln für die Seele,ungekürzte Ausgabe,Leipzig,St. Benno,2022,144,,,,,,Erzählende Literatur: Anthologien,ger,
9789403649115,Eine Sammlung sinnreicher okkulter Geschichten,1. Auflage,"Raleigh, NC",Lulu,2022,353,,,,,,,ger,
9783831623426; 3831623422,Feuer gefangen,,München,Literareon,2022,63,,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783845847238; 3845847239,Frühlingsreif!,,München,arsEdition,2022,128,,,,,,Anthologie; Geschenkbücher,ger,
9783943195415; 3943195414,Fühle den Atem der Erde,,Solingen,custos verlag,2022,108,,,,,,Anthologie; Gemischte Anthologien,ger,
9783902714428,Gedichte & Geschichten,,Graz,Wir machen Kultur,2022,,,,,,,,ger,
9783865957658,Gedichte und Geschichten aus dem Leben in und um Niederwetz,,Schöffengrund-Niederwetz,Heimat- und Kulturverein Niederwetz e. V.,2022,65,,,,,,,ger,
9783150113936; 3150113938,Gute Besserung!,,Ditzingen,Reclam,2022,127,,,,,,Anthologie; Gemischte Anthologien,ger,
9783939771968; 3939771961,Ich bin dann mal so frei ...,,Meldorf,elbaol verlag hamburg,2022,177,,,,,,Anthologie; Gemischte Anthologien,ger,
9783981778083; 3981778081,Ich kleidete mich in Sätze,,Berlin,Kulturveranstaltungen des Bundes in Berlin (KBB),2022,180,,,,,,"Anthologie; Unterhaltung, Gemischte Anthologien",ger,
