ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
,Abendliche Begenungen,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Abreißkalender History to go 2024,,München,arsEdition,2023,640,"Feisel, Ronald",,,,,Geschenkbücher,ger,
,Als es dunkel wurde,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Anekdoten,,Wien,Buchschmiede von Dataform Media GmbH,2023,,,,,,"Honkisz, Bernhard",Fiktionale Darstellung; Erzählende Literatur,ger,
,Anthologie,Erstveröffentlichung,Bamberg,China Fan Verlag,2023,,"Li, Jenny",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Atalanta,Ungekürzte Neuausgaben in neuer deutscher Rechtschreibung,Lüneburg,Dieter von Reeken,2023,6,"Kraft, Robert",,,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
,Auf den Seelengrund greifen,,Mönchengladbach,Jutta Chrisanth,2023,72,"Chrisanth, Jutta",,,,,Anthologie; Gemischte Anthologien,ger,
,Basel Oneway,,Stuttgart,"Im Eigenverlag - PAS, Schur, Peter A.",2023,100,"Schur, Peter A.",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Begegnungen,,Weitersburg,Dagmar Pascher,2023,104,"Pascher, Dagmar",,,,,Anthologie; Gemischte Anthologien,ger,
,black stories Bloody True Crime,1. Auflage,Kempen,moses Verlag,2023,50,"Harder, Corinna; Schumacher, Jens",,,,"Skopnik, Bernhard","Krimis, Thriller, Spionage",ger,
,black stories Christmas,1. Auflage,Kempen,moses Verlag,2023,50,"Harder, Corinna; Schumacher, Jens",,,,"Skopnik, Bernhard","Krimis, Thriller, Spionage",ger,
