koerperschaft_id;koerperschaft_name;koerperschaft_name_gnd;gnd_sachgruppe;name_flag;literaturfern_status;bemerkung;website;updated_at
K2767;Undercoverbooks;;;;false;;;2026-04-12 19:24:36.816104
K2749;Typo.M;;;;false;Typografie, Satz, Gestaltung und der Herstellung hochwertiger Druckerzeugnisse;https://www.typo-m.de/unternehmen2;2026-04-12 16:34:48.658505
K54;Adonia;Adonia (Körperschaft);Gruppe, Organisationssoziologie, Interaktion;;true;christlicher Verein;;2026-04-12 16:34:48.658505
K25;AB, TravenBooks;;;;false;;;2026-04-12 19:24:36.816104
K3489;vomhörensehen medienagentur;;;;true;medienagentur;;2026-04-12 16:34:48.658505
K115;Anderland Books;;;;false;Mini-Verlag;https://anderlandbooks.com/home;2026-04-12 19:24:36.816104
K3498;wespen-kontor;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K3502;worttransport.de;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K3207;Wydawnictwo Tadeusz Serocki;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K56;Adwork Köln - Halven Hahn Produktion;;;;false;verlag;;2026-04-12 16:34:48.658505
K323;Bibliogr. Inst.;;;;false;;;2026-04-12 19:24:36.816104
K2139;Paarl Rock Publishers;;;;false;;;2026-04-12 19:24:36.816104
K2068;Nikol;Arbeitsgruppe NIKOL;;Gemeinschaft;false;Verlag;;2026-04-12 16:34:48.658505
K2092;Oberschlesisches Eichendorff-Kultur- und Begegnungszentrum;Górnośla̜skie Centrum Kultury i Spotkań Im. Eichendorffa w Łubowicach;;;true;Kultur- und Begegnungszentrum;;2026-04-12 16:34:48.658505
K18;A.E. Johann-Gesellschaft e.V.;;;Verein;false;;;2026-04-12 16:34:48.658505
K30;AIKA Consulting GmbH;;;Unternehmen;true;unternehmensberatung;https://www.northdata.de/AIKA%20Consulting%20GmbH,%20Ahnatal/Amtsgericht%20Kassel%20HRB%2016864;2026-04-12 16:34:48.658505
K15;A. Hennig;;;;unklar;Person;;2026-04-12 16:34:48.658505
K153;Arkade;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K155;Armin-T-Wegner-Ges.;Armin-T.-Wegner-Gesellschaft;;Gemeinschaft;false;Autorengesellschaft;https://armin-t-wegner.de/die-gesellschaft/;2026-04-12 16:34:48.658505
K227;B.R. Filtec GmbH c/o Tahja Bennet;;;Unternehmen;unklar;unklar;;2026-04-12 16:34:48.658505
K175;Asmussen;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K176;Asoka;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K3;/;;;;unklar;leer;;2026-04-12 16:34:48.658505
K12;A. Agic;;;;unklar;Person;;2026-04-12 16:34:48.658505
K121;Andres;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K122;Andresen;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K6;27amigos;;;;false;verlag;;2026-04-12 16:34:48.658505
K8;3. Oktober – Deutschland singt und klingt;;;;true;initiative;;2026-04-12 16:34:48.658505
K21;A7L Thrilling Books Limited;;;;false;;;2026-04-12 19:24:36.816104
K451;C & N;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K3338;enPunto;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K1766;Lesewuth;;;;false;verlag;;2026-04-12 16:34:48.658505
K123;Angele;Angele-Sippe;;;true;Genealogie;http://www.angele-sippe.org/;2026-04-12 16:34:48.658505
K129;Ansichtssache - Agentur für Gestaltung;;;;true;Kommunikationsdesign Agentur;https://www.ansichtssache.de/?srsltid=AfmBOor4x4zICWZoOQahBC5nbVAhISR7Z0sOyo5Q3hejTB7hFj8m_1KY;2026-04-12 16:34:48.658505
K13;A. Delon;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K139;April G. Dark c/o Gabriela Schmid;;;;unklar;Person;;2026-04-12 16:34:48.658505
K140;Aquensis;Cappella Aquensis;Musik (Allgemeines), Musikgeschichte;;false;Verlag;https://www.aquensis-verlag.de/;2026-04-12 16:34:48.658505
K142;Arbeitsgemeinschaft Selbstständiger Migranten e.V.;Arbeitsgemeinschaft Selbstständiger Migranten e.V.;"Bevölkerung, Sozialstruktur, Soziale Situation, Soziale Bewegungen; Arbeit";Verein;true;Verein;https://www.asm-hh.de/;2026-04-12 16:34:48.658505
K143;Arbeitskreis der Gleichstellungsbeauftragten des Märkischen Kreises, Arbeitskreis der Gleichstellungsbeauftragten des Märkischen;;;Gemeinschaft;true;Arbeitskreis;;2026-04-12 16:34:48.658505
K144;Arbeitskreis für Dorfentwicklung und Heimatpflege;Arbeitskreis für Dorfentwicklung und Heimatpflege;;Gemeinschaft;true;Arbeitskreis;;2026-04-12 16:34:48.658505
K2013;Mosers Büro GmbH;;;Unternehmen;true;Mediencoachings, Wirkungstrainings, Personal Branding;https://www.mosers.cc/;2026-04-12 16:34:48.658505
K2015;MuSingal;;;;false;verlag;;2026-04-12 16:34:48.658505
K2318;Reimer;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2500;Schwarzer Drachen;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2402;SCM;SCM;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2513;Scribitur;;;;false;Schreibprojekte, Bücher, Storytelling;https://www.facebook.com/scribitur/;2026-04-12 16:34:48.658505
K2516;Seeling;Galerie Seeling;Einzelne Branchen der Industrie und des Handwerks;;unklar;unklar;;2026-04-12 16:34:48.658505
K2405;SE Stengel;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2544;Shakti & Sargam;;;;unklar;"Indische Kultur und mehr
Entertainer in Schwäbisch Hall
";http://www.shakti-sargam.de/;2026-04-12 16:34:48.658505
K2574;Soli Netz;;;;true;Netzwerk von Menschen, die gesellschaftsveränderndes Handeln aktiv unterstützen wollen;https://soli-netz.blog/veraenderung-lebt-vom-tun-wer-wir-sind-und-was-wir-wollen/;2026-04-12 16:34:48.658505
K2581;Sonnenberg;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2585;Specht, Ulrich;;;;unklar;person;;2026-04-12 16:34:48.658505
K2589;Sphinx Agency;;;;false;Literaturagentur und Verlag;https://sphinxagency.com/;2026-04-12 16:34:48.658505
K2411;SPRACHFLECHTWERK;;;;false;literarisches Integrationsprojekt;;2026-04-12 16:34:48.658505
K2594;Springer;Springer;Musik (Allgemeines), Musikgeschichte;;unklar;unklar;;2026-04-12 16:34:48.658505
K2595;Sprudelkiste.com Gleißner;;;;true;Werbeagentur;https://sprudelkiste.com/ueber-uns/;2026-04-12 16:34:48.658505
K2615;Steinmann;;;;unklar;verlag;https://www.steinmannverlag.de/wordpress/;2026-04-12 16:34:48.658505
K2621;Stephenson, C;S. & C. Stephenson (London);;;unklar;unklar;;2026-04-12 16:34:48.658505
K2626;Stocker;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2638;Strozpress;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2642;Studio Raster;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2643;Stumpp;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2661;Süddt. Zeitung GmbH;Süddeutsche Zeitung GmbH;"Presse; Einzelne Branchen der Industrie und des Handwerks";Unternehmen;unklar;Herausgabe, Verlag und Vertrieb von Presse- und sonstigen Verlagserzeugnissen;https://www.northdata.de/S%C3%BCddeutsche%20Zeitung%20GmbH,%20M%C3%BCnchen/HRB%2073315;2026-04-12 16:34:48.658505
K2664;Südwest;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2658;Sylcho Studio;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2687;Telesma;;;;false;verlag;;2026-04-12 16:34:48.658505
K2750;Typostudio Schumacher-Gebler;Schumacher-Gebler;;;false;Druck, Typografie;http://www.schumachergebler.com/;2026-04-12 16:34:48.658505
K2759;Ulisses Spiele;;;;unklar;Comics, E-Books, Phantastische Brett-, Karten-, Rollen- und Tabletopspiele;https://www.ulisses-ebooks.de/de/;2026-04-12 16:34:48.658505
K2780;Universo;Grupo Universo;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2773;Univ. Palackého;Univerzita Palackého v Olomouci;Hochschule;;true;universität;;2026-04-12 16:34:48.658505
K2806;Vallentin;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K55;Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH;;;Unternehmen;true;seniorenheim;https://www.google.com/search?q=Advent-Wohlfahrtswerk+Seniorenheim+Neandertal+gmbH&client=firefox-b-e&hs=dZM&sca_esv=aad768131f77519f&channel=entpr&sxsrf=ANbL-n46Bo0diTYDdLLNJxQGt62h7AEwcw%3A1776021894256&ei=hvHbabCpD9aoi-gPr5it2Qk&biw=1280&bih=559&ved=0ahUKEwiwhPuQhemTAxVW1AIHHS9MK5sQ4dUDCBE&uact=5&oq=Advent-Wohlfahrtswerk+Seniorenheim+Neandertal+gmbH&gs_lp=Egxnd3Mtd2l6LXNlcnAiMkFkdmVudC1Xb2hsZmFocnRzd2VyayBTZW5pb3JlbmhlaW0gTmVhbmRlcnRhbCBnbWJIMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgUQABjvBTIFEAAY7wUyBRAAGO8FMgUQABjvBUipBFC1Ali1AnABeAGQAQCYAW6gAW6qAQMwLjG4AQPIAQD4AQL4AQGYAgKgAoYBwgIKEAAYsAMY1gQYR8ICDRAAGIAEGLADGEMYigXCAg4QABiwAxjkAhjWBNgBAcICExAuGIAEGLADGEMYyAMYigXYAQGYAwCIBgGQBhG6BgYIARABGAmSBwMxLjGgB8cGsgcDMC4xuAd0wgcFMi0xLjHIBxGACAA&sclient=gws-wiz-serp;2026-04-12 16:34:48.658505
K195;Audio-To-Go Publishing Ltd.;;;;false;;;2026-04-12 19:24:36.816104
K2790;VEG;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K2817;Verein Frauenhäuser Steiermark, Verein Frauenhäuser;Frauenhäuser Steiermark - Verein zur Soforthilfe für Bedrohte und Misshandelte Frauen und Deren Kinder;;Verein;true;Frauenhäuser Verein;https://www.frauenhaeuser.at/;2026-04-12 16:34:48.658505
K2818;Verein Glitter;Verein Glitter;;Verein;false;Herausgabe queere Literaturzeitschrift;https://www.glitter-online.org/;2026-04-12 16:34:48.658505
K2819;Verein Gruppe Wespennest;Verein Gruppe Wespennest;;Verein;false;Herausgabe Literaturzeitschrift;https://wespennest.at/w.php?impressum;2026-04-12 16:34:48.658505
K2822;Verein Zeitschrift delirium;Verein Delirium;;Verein;false;Herausgabe Literaturzeitschrift;;2026-04-12 16:34:48.658505
K206;Autoren Netzwerk;;;Gemeinschaft;false;;;2026-04-12 19:24:36.816104
K73;Albatros;;;;unklar;unklar;;2026-04-12 16:34:48.658505
K77;Alexander, Darleen;;;;unklar;person;;2026-04-12 16:34:48.658505
K80;Ali Hensel;;;;unklar;person;;2026-04-12 16:34:48.658505
