koerperschaft_id;koerperschaft_name;koerperschaft_name_gnd;sitz_gnd;gruendungsdatum_gnd;aufloesungsdatum_gnd;gnd_nummer;homepage_gnd;gnd_sachgruppe
K1110;Fischer Taschenbuch;Fischer-Taschenbuch-Verlag;Frankfurt am Main;20.12.1951;;2010338-4;;Buchwissenschaft, Buchhandel
K1;Grüne Aue;;;;;;;
K67;Akad.-Verl.;;;;;;;
K73;Albatros;;;;;;;
K135;Apollon Tempel Verlag;;;;;;;
K323;Bibliogr. Inst.;;;;;;;
K451;C & N;;;;;;;
K761;Ed. Augenblick;;;;;;;
K765;Ed. Bruder;;;;;;;
K840;Ed. Silberflügel;;;;;;;
K897;Edition Calamus;;;;;;;
K898;Edition Combes;;;;;;;
K1040;Entenpress;;;;;;;
K1106;Fireflies Press;;;;;;;
K1368;Herramhof Verlag;;;;;;;
K1766;Lesewuth;;;;;;;
K1889;Macholdt - der Verlag;;;;;;;
K2013;Mosers Büro GmbH;;;;;;;
K2015;MuSingal;;;;;;;
K2139;Paarl Rock Publishers;;;;;;;
K2197;Phillip Schmidt Verlag;;;;;;;
K2574;Soli Netz;;;;;;;
K2642;Studio Raster;;;;;;;
K2767;Undercoverbooks;;;;;;;
K2768;Undine;Astrid Seehaus Undine Verlag;Wehnde;;;1065651694;http://www.undine-verlag.de;Buchwissenschaft, Buchhandel
K2825;Verein zur Förderung und Vernetzung von Jugendkultur;;;;;;;
K3019;Verlag am Rande;;;;;;;
K3207;Wydawnictwo Tadeusz Serocki;;;;;;;
K3338;enPunto;;;;;;;
K3408;myshow Verlag;;;;;;;
K3478;van Eck Verlag;Van Eck Verlag;Triesen;1982;;1065498047;https://vaneckverlag.li;Buchwissenschaft, Buchhandel
K3479;vbb, Verlag für Berlin-Brandenburg;Verlag für Berlin-Brandenburg;Berlin;15.07.1994;;1065495668;http://www.verlagberlinbrandenburg.de;Buchwissenschaft, Buchhandel
K3480;verlag am park;Verlag am Park;Berlin;1996;;1064210821;;Buchwissenschaft, Buchhandel
K3481;verlag die brotsuppe;verlag die brotsuppe;Biel;2003;;1065554257;http://www.diebrotsuppe.com;Buchwissenschaft, Buchhandel
K3482;verlag heil.reisen;;;;;;;
K3483;verlag honigbauch;;;;;;;
K3484;verlag.marless.de;;;;;;;
K3485;verlageinundsiebzig;;;;;;;
K3486;verlagsallianz;verlagsallianz;;;;1065982585;http://www.verlagsallianz.de;Buchwissenschaft, Buchhandel
K3487;via Pho.to-Tool/ Made by Photo Lab, Fritz;;;;;;;
K3488;viademica.verlag berlin e. Kfm.;;;;;;;
K3489;vomhörensehen medienagentur;;;;;;;
K3490;von Bockel;Von Bockel Verlag;Neumünster;02.08.1991;;1067136096;http://www.bockelverlag.de;Buchwissenschaft, Buchhandel
K3491;von Reeken;DvR-Buchreihe - Kollektion Lasswitz;Lüneburg;2003;;1065505124;"https://www.dieter-von-reeken.de/; http://www.dieter-von-reeken.de";Buchwissenschaft, Buchhandel
