objekt_id;objekt_typ;koerperschaft_id;rolle
"3741805556; 9783947924134";Buch;K1926;VerlegerIn Buch
"3743125110; 9783743125117";Buch;K897;VerlegerIn Buch
3922428940;Buch;K1341;VerlegerIn Buch
3932974522;Buch;K89;VerlegerIn Buch
3932974670;Buch;K89;VerlegerIn Buch
"3936835853; 9783936835854";Buch;K1618;VerlegerIn Buch
3937419179;Buch;K1018;VerlegerIn Buch
9780244609375;Buch;K1504;VerlegerIn Buch
"9780486476322; 0486476324";Buch;K667;VerlegerIn Buch
"9780486796581; 0486796582";Buch;K667;VerlegerIn Buch
9780620730372;Buch;K2139;VerlegerIn Buch
9780645454710;Buch;K1106;VerlegerIn Buch
9781291074376;Buch;K2740;VerlegerIn Buch
9781291663754;Buch;K884;VerlegerIn Buch
9781291680959;Buch;K2740;VerlegerIn Buch
9781447724537;Buch;K226;VerlegerIn Buch
9781471675089;Buch;K2740;VerlegerIn Buch
9781480078185;Buch;K553;VerlegerIn Buch
9781480242326;Buch;K907;VerlegerIn Buch
9781480247680;Buch;K907;VerlegerIn Buch
"9781491245293; 9788365242747";Buch;K1721;VerlegerIn Buch
9781492981633;Buch;K1867;VerlegerIn Buch
"9781493723355; 1493723359";Buch;K13;VerlegerIn Buch
9781494364052;Buch;K1284;VerlegerIn Buch
9781494980238;Buch;K1868;VerlegerIn Buch
9781496111241;Buch;K1486;VerlegerIn Buch
9781496186812;Buch;K12;VerlegerIn Buch
9781500771492;Buch;K563;VerlegerIn Buch
9781502800640;Buch;K15;VerlegerIn Buch
9781503123953;Buch;K2740;VerlegerIn Buch
9781505725001;Buch;K2740;VerlegerIn Buch
9781507690901;Buch;K2209;VerlegerIn Buch
9781507706862;Buch;K886;VerlegerIn Buch
9781508822561;Buch;K1870;VerlegerIn Buch
9781514686683;Buch;K886;VerlegerIn Buch
9781514717875;Buch;K456;VerlegerIn Buch
9781517212575;Buch;K2263;VerlegerIn Buch
9781517229818;Buch;K1308;VerlegerIn Buch
9781517434601;Buch;K886;VerlegerIn Buch
"9781519645258; 1519645252";Buch;K1032;VerlegerIn Buch
"9781519645340; 1519645341";Buch;K1032;VerlegerIn Buch
9781520207483;Buch;K2292;VerlegerIn Buch
9781521996058;Buch;K100;VerlegerIn Buch
9781522092698;Buch;K2044;VerlegerIn Buch
9781523308118;Buch;K235;VerlegerIn Buch
9781530316755;Buch;K886;VerlegerIn Buch
9781530536320;Buch;K235;VerlegerIn Buch
9781530866038;Buch;K2261;VerlegerIn Buch
9781532903854;Buch;K553;VerlegerIn Buch
9781533500526;Buch;K1677;VerlegerIn Buch
9781534657236;Buch;K886;VerlegerIn Buch
9781535395380;Buch;K2978;VerlegerIn Buch
9781537312606;Buch;K2978;VerlegerIn Buch
9781537573588;Buch;K2740;VerlegerIn Buch
9781537614373;Buch;K1771;VerlegerIn Buch
9781539932895;Buch;K930;VerlegerIn Buch
9781544780924;Buch;K553;VerlegerIn Buch
9781547040889;Buch;K2740;VerlegerIn Buch
9781548220068;Buch;K2740;VerlegerIn Buch
9781549517419;Buch;K886;VerlegerIn Buch
9781627841337;Buch;K3173;VerlegerIn Buch
9781627841405;Buch;K3173;VerlegerIn Buch
9781627841627;Buch;K3173;VerlegerIn Buch
9781627841689;Buch;K3173;VerlegerIn Buch
9781627842488;Buch;K3173;VerlegerIn Buch
"9781627846301; 9781627846301; 1627846301";Buch;K3173;VerlegerIn Buch
9781657285064;Buch;K1445;VerlegerIn Buch
9781696874977;Buch;K101;VerlegerIn Buch
9781703425260;Buch;K2184;VerlegerIn Buch
9781724207975;Buch;K2978;VerlegerIn Buch
9781726662864;Buch;K328;VerlegerIn Buch
9781726666206;Buch;K328;VerlegerIn Buch
9781726691611;Buch;K328;VerlegerIn Buch
9781729169520;Buch;K328;VerlegerIn Buch
9781731008800;Buch;K328;VerlegerIn Buch
"9781781930540; 1781930546";Buch;K331;VerlegerIn Buch
9781794624948;Buch;K1984;VerlegerIn Buch
9781847900401;Buch;K2745;VerlegerIn Buch
9781978435605;Buch;K1580;VerlegerIn Buch
9781980818458;Buch;K139;VerlegerIn Buch
"9782070113309; 2070113302";Buch;K1182;VerlegerIn Buch
"9782072732959; 2072732956";Buch;K1182;VerlegerIn Buch
9782283023747;Buch;K409;VerlegerIn Buch
9782839922586;Buch;K3327;VerlegerIn Buch
9782839927246;Buch;K938;VerlegerIn Buch
9782839933452;Buch;K986;VerlegerIn Buch
9782873160432;Buch;K928;VerlegerIn Buch
9782879542423;Buch;K764;VerlegerIn Buch
9782879638430;Buch;K3518;VerlegerIn Buch
9782879638775;Buch;K3518;VerlegerIn Buch
9782879671734;Buch;K2110;VerlegerIn Buch
9782879671901;Buch;K2110;VerlegerIn Buch
"9782879672304; 2879672309";Buch;K2110;VerlegerIn Buch
"9782879672380; 2879672384";Buch;K2110;VerlegerIn Buch
9782879950846;Buch;K1977;VerlegerIn Buch
9782889242696;Buch;K3516;VerlegerIn Buch
9782917290200;Buch;K3517;VerlegerIn Buch
9782917290279;Buch;K3517;VerlegerIn Buch
9782919903405;Buch;K499;VerlegerIn Buch
9782919933570;Buch;K2764;VerlegerIn Buch
"9782919954100; 2919954105";Buch;K1423;VerlegerIn Buch
"9782919954100; 9783956021879";Buch;K1424;VerlegerIn Buch
"9782919954131; 291995413X";Buch;K1423;VerlegerIn Buch
"9782919954131; 9783956022135; 3956022130";Buch;K1423;VerlegerIn Buch
9783000019876;Buch;K2573;VerlegerIn Buch
"9783000228414; 3000228411";Buch;K1487;VerlegerIn Buch
"9783000237683; 3000237682";Buch;K455;VerlegerIn Buch
9783000248139;Buch;K784;VerlegerIn Buch
9783034011099;Buch;K515;VerlegerIn Buch
9783000249686;Buch;K1536;VerlegerIn Buch
9783000250217;Buch;K344;VerlegerIn Buch
9783000250934;Buch;K182;VerlegerIn Buch
9783000254963;Buch;K2373;VerlegerIn Buch
9783000255502;Buch;K1762;VerlegerIn Buch
9783000261107;Buch;K1374;VerlegerIn Buch
9783000261428;Buch;K1485;VerlegerIn Buch
9783000262951;Buch;K155;VerlegerIn Buch
9783000265457;Buch;K1544;VerlegerIn Buch
"9783000266645; 9783935912501";Buch;K2344;VerlegerIn Buch
9783000266898;Buch;K344;VerlegerIn Buch
9783000270239;Buch;K1350;VerlegerIn Buch
9783000273193;Buch;K1377;VerlegerIn Buch
9783000276446;Buch;K2854;VerlegerIn Buch
9783000277672;Buch;K784;VerlegerIn Buch
9783000283222;Buch;K1440;VerlegerIn Buch
9783000286209;Buch;K1125;VerlegerIn Buch
9783000288692;Buch;K2597;VerlegerIn Buch
9783000289842;Buch;K496;VerlegerIn Buch
9783000291104;Buch;K1113;VerlegerIn Buch
9783000293474;Buch;K183;VerlegerIn Buch
9783000297915;Buch;K2544;VerlegerIn Buch
9783000301759;Buch;K2740;VerlegerIn Buch
9783000305559;Buch;K701;VerlegerIn Buch
9783000307829;Buch;K2797;VerlegerIn Buch
9783000308178;Buch;K1094;VerlegerIn Buch
9783000308338;Buch;K496;VerlegerIn Buch
"9783000309366; 9783000309373";Buch;K1188;VerlegerIn Buch
9783000319129;Buch;K3471;VerlegerIn Buch
9783000320910;Buch;K1898;VerlegerIn Buch
9783000321061;Buch;K3118;VerlegerIn Buch
9783000325601;Buch;K2513;VerlegerIn Buch
