literaturwettbewerb_id;literaturwettbewerb_name;veranstalter;veranstaltungsort;laengenvorgabe_text;themenvorgabe;altersgrenze;jury_2023;ausrichtungszyklus;preisart;hoehe_preisgeld;publikation;live_event;erstausrichtung;website
L1;„THEO – Berlin-Brandenburgischer Preis für Junge Literatur“;K3501;Berlin;3 Seiten;ja;max. 20 Jahre alt;;jährlich;"Schreibworkshop; Bücherschecks; Gutscheine";;ja;ja;2008;https://www.theo-schreibwettbewerb.de/
L2;A.E. Johann-Preis – „Reisen und Schreiben“;K18;Oerrel;keine Info;ja;12 bis 25 Jahre (Altersgruppe 1: 12 bis 15 Jahre, Altersgruppe 2: 16 bis 20 Jahre, Altersgruppe 3: 21 bis 25 Jahre);"P19670; P7024";;Preisgeld;80-300€;ja;ja;2019;https://www.a-e-johann.de/der-a-e-johann-preis
L3;b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung;K1193;/;1-5 Seiten;ja;nein;;keine Info;"Preisgeld; Buchpreise";100-250€;ja;nein;2018;https://www.geest-verlag.de/news/4-bbobs-59-literaturwettbewerb-f%C3%BCr-menschen-mit-beeintr%C3%A4chtigung
L4;CARE-Schreibwettbewerb;K461;Bonn;0-1000 Zeichen;ja;"Altersgruppe 1: 14 bis 18 Jahre; Altersgruppe 2: 19 bis 25 Jahre";;keine Info;Publikation;/;ja;ja;2013;https://www.care.de/schwerpunkte/bildung-und-zivilgesellschaft/projekte-in-deutschland/schreibwettbewerb/
L5;Deutscher Kurzgeschichtenwettbewerb;K3258;München;11.000-13.000;ja;nein;P20615;jährlich;Preisgeld;500-2000€;ja;ja;2000;https://www.zuendeln.de/
L6;Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen;"K2601; K1045";Erfurt;0-10000 Zeichen;nein;15 bis 35 Jahre;"P413; P4029";jährlich;Preisgeld;100-300€;keine Info;ja;2001;https://www.herbstlese.de/news/eobanus-hessus-schreibwettbewerb-2024
L7;Erika und Klaus Mann-Preis für junge Autor:innen;K2708;Hamburg ;1-12 Seiten;ja;16 bis 25 Jahre;;jährlich;"Preisgeld; Publikation";1000-2000€;ja;ja;2022;https://www.thomasmann-hamburg.de/ausschreibung-nachwuchspreis/
L8;Friedrich-Glauser-Autorenpreis für Kurzkrimis;K565;;0-36000;ja;nein;;jährlich;Preisgeld;1.000 €;keine Info;ja;2002;https://www.das-syndikat.com/glauser-preise.html
L9;Förderpreise des Jungen Literaturforums Hessen-Thüringen;K1525;;0-1.300 Wörter;nein;16 bis 25 Jahre;;jährlich;"Preisgeld; Workshop; Publikation";10x 800€;ja;ja (radio);1984;https://www.junges-literaturforum.de/wettbewerb/
L10;Grassauer Deichelbohrer Kurzgeschichtenwettbewerb;K1656;Grassau;6000-9000;ja;nein;;alle zwei Jahre;Preisgeld;300-1000€;keine Info;ja;2019;https://www.grassau.de/ausschreibung
L11;Grusel-Wusel-Geschichtenwettbewerb;K421;Leipzig;1-3 Seiten;ja;"Altersgruppe 1: 6 bis 9 Jahre; Altersgruppe 2: 10 bis 14 Jahre; Altersgruppe 3: ab 15 Jahre";;jährlich;"Sachpreise; Buchpreise";/;ja;ja;2020;https://www.budde-haus.de/grusel-wusel-geschichtenwettbewerb-2023/
L13;Ingeborg-Bachmann-Preis;K1712;Klagenfurt;25min Lesedauer;nein;nein;;jährlich;"Preisgeld; Publikation";6000-25000€;ja;ja;1977;https://bachmannpreis.orf.at/
L14;Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen;"K3489; K3357";Bremen/Hamburg/Niedersachsen;0-2500;ja;15 bis 25 Jahre;;jährlich;Preisgeld;Gesamtwert von 8.000€;keine Info;ja;2015;https://ausweggesucht.de/
L15;Jugendliteraturwettbewerb der Uckermark;"K654; K2606";Prenzlau;1-4 Seiten;ja;max. 21 Jahre alt;;jährlich;"Preisgeld; Sachpreise";;keine Info;ja;1991;https://www.prenzlau.eu/cms/detail.php/land_bb_boa_01.c.384335.de
L16;Junger Literaturpreis Schleswig-Holstein;K1145;Schleswig-Holstein;1-4 Seiten;nein;14 bis 20 Jahre;;keine Info;"Preisgeld; Publikation";500€ (gesamt);ja;ja;2017;https://flsh-kiel.de/junger-literaturpreis-schleswig-holstein/
L17;Kinder- und Jugendliteraturwettbewerb Eberhard;K1715;Eberswalde;1-7 Seiten;ja;nein;;alle zwei Jahre;"Preisgeld; bronzene Kleinplastik des Eberwalder Metallbildhauers Eckhard Herrmann";2.500 €;ja ;ja;2001;https://www.oldenburg.de/startseite/kultur/kulturprojekte-und-preise/kulturpreise/kinder-und-jugendbuchpreis.html
L18;Konstantin-Andok-Literaturpreis;K2574;online;16 DIN-A4 Seiten;ja;nein;;erstmals;Preisgeld;100-600€;ja;ja (online);2023;https://soli-netz.blog/category/konstantin-andok-literaturpreis/
L19;Kulturzone Schreibwettbewerb 2023;K1663;Landkreis Uckermark;1-3 Seiten;ja;nein;;alle paar Jahre;Publikation;/;ja;nein;2006;http://www.kultur-zone.de/forum.htm
L20;Kurzgeschichtenwettbewerb „Dark Sky Nord“;K1464;Bremen;Max 10.000 Zeichen – OHNE Leerzeichen;ja;nein;;keine Info;"Publikation; Sachpreise";/;ja;nein;2023;https://www.darksky-nord.de/2024/11/17/kurzgeschichtenwettbewerb-2024-2025/
L21;Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“;K569;Mannheim;0-15000;ja;nein;;erstmals;"Publikation; Belegexemplar";/;ja;nein;2023;https://www.mannheim.dhbw.de/forschung-transfer/forschungsprofil/forschungsnetzwerk/hochschulanthologie
L22;LitArena XI – Literaturwettbewerb;K1804;St. Pölten;1-4 Seiten;nein;max. 27 Jahre alt;;jährlich;Preisgeld;200-500;keine Info;keine Info;2003;https://www.litges.at/etcetera/litarena
L23;Literaturpreis der Künstler-Gilde e.V.;K1685;Esslingen;keine;nein;nein;;jährlich;Publikation;/;ja;nein;2023;https://www.kuenstlergilde.eu/preisverleihungen-verliehene-preise/literaturpreise-fuer-lyrik-kurzprosa/
L24;Literaturwettbewerb von Literaturpodium.de;"K1825; K209";;1-20 Seiten;ja;nein;;keine Info;"Publikation; Buchpreise; Sachpreise";/;ja;nein;mind. 2008;http://www.literaturpodium.de/
L25;Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.;K211;Hagen;0-8000 Zeichen;ja;ab 18 Jahren;;keine Info;Preisgeld;100-300€;ja;ja;2023;https://www.autorenkreis-ruhr-mark.de/literaturwettbewerb-2023/
L26;Literaturwettbewerb der Bürgerstiftung Düren;K449;Düren;4-10 Seiten;ja;nein;;keine Info;Preisgeld;100-300€;keine Info;ja;2019;https://buergerstiftung-dueren.de/eigene-projekte/literaturpreis/
L28;Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb;K2242;Mölltal;750-1750 Zeichen;ja;"mind. 14 Jahre alt (bezieht sich auf Kurzgeschichtenwettbewerb für Autor*innen; Altersgrenze für Kurzgeschichtenwettbewerb für Nachwuchsautor*innen: bis zum Ende der 8. Schulstufe, hier aber nur Nachwuchspreis in Form eines Bücherpakets!)";P4711;jährlich;"Preisgeld; Buchpreise";100-1000€;ja;ja;2016;https://www.moelltaler-geschichten-festival.at/
L29;nah und fern Literaturpreis ;K2742;Salzkammergut/Bad Ischgl;12000-20000;ja;"Jugendpreis: 14 bis 19 Jahre; Kategorie Erwachsene: ab 20 Jahre";;erstmals;Preisgeld;500-4000€;ja;ja;2023;https://www.salzkammergut-2024.at/projekte/literaturpreis-nah-und-fern/
L30;open mike - Wettbewerb für junge Literatur ;"K1326; K1828";Berlin;15 minütige Lesezeit;nein;unter 35;"P1003; P18563";jährlich;"Preisgeld; Publikation";7.500€ gesamt;ja;ja;1993;https://www.haus-fuer-poesie.org/de/open-mike/h/
L27;Moerser-Literaturpreises ;K1990;Moers;1-5 Seiten;ja;mind. 16 Jahre alt;;jährlich;Preisgeld;750-1500€;ja;ja;1998;https://www.moersergesellschaft.de/ausschreibung/
L31;Peng! Kurz-Krimi- Wettbewerb;K1820;Salzburg;0-15000 Zeichen;ja;18-28 Jahre;;keine Info;Preisgeld;1000-2500€;keine Info;ja;2009;https://www.die-criminale.de/krimipedia/krimipreise-ausschreibungen/5376-kurzkrimi-wettbewerb-fuer-junge-autorinnen.html
L32;Preis der Gruppe 48;K633;Rösrath;8000-10000 Zeichen;nein;mind. 16 Jahre alt;"P2312; P3341; P12559; P13001; P13393; P14849";jährlich;Preisgeld;1000-3000€;ja;ja;2016;https://www.die-gruppe-48.net/Zweck-und-Ziel
L33;SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit;K8;Leipzig;0-30000 Zeichen;ja;"Kategorie 1: 16 bis 26 Jahre; Kategorie 2: ab 16 Jahre, Kategorie 3: Schüler*innen der Sekundärstufe";"P5234; P4238; P17083";;"Preisgeld; Reise; Publikation";250-1000€;ja;ja;2022;https://3oktober.org/schreibwettbewerb/
L34;Schreibwettbewerb „Über All“;K1831;online;0-6000 Zeichen;ja;12-26 Jahre;;ungefähr jährlich;"Preisgeld; Sachpreise";;ja;ja;2023;https://www.lizzynet.de/wws/9.php#/wws/ueber-all-schreibwettbewerb.php
L35;Schreib-Wettbewerb der SchreibRäume;K1892;;0-10000 Zeichen;ja;ab 18 Jahren;;keine Info;"Preisgeld; Publikation";100-300€;ja;keine Info;2023;https://schreibraeume-magazin.at/schreibwettbewerb/
L36;Schreibwettbewerb des Literaturhaus Zürich;"K1821; K3232";Zürich/online;0-10000;ja;nein;"P15829; P18757; P1562; P4923; P11487; P12666; P14599; P20263";monatlich;"Auftritt; Publikation";;ja;ja;2001;https://literaturhaus.ch/schreibwettbewerb/
L37;Schreibwettbewerb für junge Menschen;K2753;Tübingen;1-5 Seiten;ja;16 bis 25 JAhre;;jährlich;Publikation;;keine Info;ja;2004;https://www.wekenmann-buch.de/de/veranstaltungen-termine/schreibwettbewerb/archiv/19-schreibwettbewerb-fuer-junge-menschen-2022.html
L38;Schreibwettbewerb: „Triumph der Toleranz – Erfolgsgeschichten bei Meinungsverschiedenheiten“;K3510;Stuttgart;300-1700 Wörter;ja;nein;;keine Info;"Auszeichnung; Überraschungspaket";;ja;ja;2023;https://zebra-bw.com/news/einladung-zum-schreibwettbewerb-triumph-der-toleranz-erfolgsgeschichten-im-umgang-mit-meinungsverschiedenheiten/
L39;Vechtaer Jugendliteraturpreis;"K2605; K1193";Vechta;1-5 Seiten;ja;14 bis 21 Jahre;;keine Info;"Publikation; Preisgeld; Buchpreise";100-500€;ja;ja;2018;https://www.vechta.de/nachricht/7-vechtaer-jugendliteraturpreis-ausgeschrieben
L40;Walter-Serner-Preis für Kurzgeschichten;"K3439; K3441; K1818";Berlin;15.000 Zeichen (inkl. Leerzeichen);ja;ab 18 Jahren;;jährlich;Preisgeld;5.000 €;ja;ja;ca. 1975;https://www.radiodrei.de/themen/literatur/walter_serner_preis/index1.html
L42;Wir sind lesenswert-Wettbewerb;K3499;Graz;10min Lesedauer;ja;keine Altersbegrenzung;P15797;jährlich;"Buchpreise; Publikation; Jurymitgliedschaft";;ja;ja;2019;https://wirsindlesenswert.com/
L43;WORTMELDUNGEN Ulrike Crespo Förderpreis 2023;K555;;9000-20000 Zeichen;ja;;P18507;jährlich;"Preisgeld; Workshop";500-15000€;ja;ja;2018;https://www.crespo-foundation.de/de/news/wortmeldungen-gesucht-crespo-foundation-schreibt-foerderpreis-2023-fuer-nachwuchsautor-innen-aus
L44;zeilen.lauf – Kurzgeschichten- und Lyrikwettbewerb;"K1655; K2289";Niederösterreich;0-4500 Zeichen;nein;mind. 18 Jahre alt;"P19632; P8776; P12379";jährlich;"Preisgeld; Publikation; Sprechcoaching-Seminar";100-500€;ja;ja ;2011;https://www.zeilen-lauf.at/
L41;Wilhelm-Fabry-Förderpreis;K2603;Hilden;0-14000 Zeichen;nein;nein;;keine Info;Preisgeld;4.000 €;keine Info;ja;1978;https://www.hilden.de/de/kultur-freizeit/kulturangebote/kreativangebote/#accordion-1-1
L12;Hattinger Förderpreis für Junge Literatur;"K2602; K1161";Hattingen;1-5 Seiten;nein;16-25 Jahre;P4509;jährlich;Preisgeld;300 €;keine Info;ja;1991;https://www.hattingen.de/stadt_hattingen/Bildung%20und%20Kultur/Stadtmuseum/F%C3%B6rderverein/Hattinger%20F%C3%B6rderpreis%20f%C3%BCr%20junge%20Literatur/
