literaturwettbewerb_ausgabe_id;literaturwettbewerb_ausgabe_titel;vonliteraturwettbewerb;literaturwettbewerb_id;jahr;gewinner;gewinnertexte;jury;themenvorgabe;preise;quelle_website
LWA1;32. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2008;"P14005; P12973; P4455; P16625; P14005";"Der Kaiser von China; Das Zimmermädchen; Kein schöner Land; Die Waage; Der Kaiser von China";"P17055; P6778; P12190; P11166; P12817; P17577; P17719";;"Ingeborg-Bachmann-Preis; Telekom-Preis; 3sat-Preis; Ernst-Willner-Preis; Automatischer Literaturkritikerpreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/833/
LWA2;33. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2009;"P13336; P2512; P15134; P1860; P9377";"Bis dass der Tod; Der Fotoeffekt; Winterfisch; Fifty Fifty; Heimgehen";"P17055; P4418; P4568; P7937; P8570; P11166; P17719";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/2316/
LWA3;34. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2010;"P19031; P3489; P20103; P15918; P19031";"Rabenliebe; Einladung an die Waghalsigen; Dinge, die wir heute sagten; Google Earth; Rabenliebe";"P17055; P4418; P4568; P7937; P8570; P19647; P17719";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/2900/
LWA4;35. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2011;"P6200; P13674; P2421; P14015; P9008";"Im Kessel; Spur einer Dorfgeschichte; Große Ferien; Schimmernder Dunst über CobyCounty; 9to5 Hardcore";"P17055; P4418; P7937; P8570; P17577; P17719; P19647";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/3654/
LWA5;36. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2012;"P11329; P12456; P9605; P11059; P18234";"Ich werde sagen: ‚Hi!‘; Unternehmer; Willste abhauen; [None]; Junge Hunde";"P17055; P2592; P4418; P7937; P8570; P17577; P19647";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/4154/
LWA6;37. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2013;"P13358; P6101; P11000; P6804; P8533";"Vielleicht Esther; Es bringen; „Wie man einen Käfer richtig fängt“ von Joachim Kaltenbach; Wir sind schön; Scherben schlucken";"P17055; P4418; P7937; P8570; P17283; P17577; P19647";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/4326/
LWA7;38. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2014;"P14834; P4307; P18563; P5265; P8933";"Wir waren niemals hier; Simeliberg (Auszüge); Vor der Zunahme der Zeichen; DOWN DOWN DOWN To The Queen Of Chinatown; Ujjayi";"P8532; P5436; P8463; P4418; P8570; P17283; P19647";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/4859/
LWA8;39. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2015;"P5498; P4856; P5699; P4856";"Recherche; Das Bein; Das primäre Gefühl der Schuldlosigkeit; Das Bein";"P19647; P8463; P8532; P5436; P4418; P17283; P8570";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2760581/
LWA9;40. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2016;"P13015; P20345; P19842; P15183";"Herr Gröttrup setzt sich hin; Los Alamos ist winzig; Walter Nowak bleibt liegen; Penne vom Kika";"P19647; P8463; P8532; P5436; P4418; P17283; P8570";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2783608/
LWA10;41. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2017;"P15588; P19939; P12624; P11952; P13299";"mein lieblingstier heißt winter; Madrigal; Hysteria; Loses Mappe; Wiener Kindl";"P19647; P5436; P4418; P8532; P8463; P8570; P19496";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2853856/
LWA11;42. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2018;"P11131; P1580; P3688; P17362; P3762";"Frösche im Meer; SERPENTINEN; und ich brenne; Warten auf Ava; Das Loch";"P19647; P5436; P5498; P8463; P8570; P19496; P19572";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2923361/
LWA12;43. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2019;"P1539; P4514; P8123; P4290; P13014";"Der Schrank; Nymphenverzeichnis Muster Nummer eins Goldkopf; Unweit vom Schakaltal; Kenn ich nicht; Vierundsiebzig";"P19647; P5436; P5498; P8463; P8570; P19496; P19572";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2991948/
LWA13;44. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2020;"P16058; P9576; P10353; P4749; P6262";"Vom Aufstehen; Für bestimmte Welten kämpfen und gegen andere; Immer im Krieg; Der heißeste Sommer; Der große Gruß";"P19647; P5498; P8463; P16293; P18144; P19496";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3054216/
LWA14;45. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;L13;2021;"P3728; P18777; P20642; P8314; P20642";"Der Cousin; Gewässer im Ziplock; Morgen wache ich auf und dann beginnt das Leben; Mein Freund am See; Morgen wache ich auf und dann beginnt das Leben";"P19572; P3187; P8295; P8463; P16293; P18144; P19496";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/stories/3108821/
