literaturzeitschrift_id;issn;literaturzeitschrift_name;literaturzeitschrift_creator;literaturzeitschriftverlegtvon;erstveroeffentlichung;publikationszyklus;auflagenhoehe;quelle_website;website
LZ1;;& Radieschen;"P13562; P345";K2815;2006;viermal jährlich;;;https://radieschen.at/
LZ39;;Landpartie;P17640;K1823;2005;jährlich;500;"https://zdb-katalog.de/title.xhtml?idn=979312760&view=full; https://de.wikipedia.org/wiki/Landpartie_(Anthologie)";
LZ10;1613-6713;außer.dem;"P12121; P17230; P17231; P17290";K3420;1999;jährlich;;https://portal.issn.org/resource/ISSN/1613-6713;https://www.ausserdem.de/
LZ12;;DAS GRAMM;P16721;K564;2021;alle zwei Monate;;;https://www.dasgramm.de/
LZ13;2409-0222;Das Magazin;;K1676;1924;monatlich;46000;https://www.dasmagazin.de/wp-content/uploads/2023/07/DasMagazin-Mediadaten-2023.pdf;https://www.dasmagazin.de/
LZ16;;Delfi ;"P622; P7814; P15380; P20042";K2761;2023;halbjährlich;;;https://cloud.email.ullstein-news.de/delfi-mag
LZ18;;Der Schnipsel;"P2102; P9307; P9579; P12785; P13120; P19928; P20224; P20191";K3459;2012;jährlich;;;https://derschnipsel.org/
LZ2;0721-0493;[kon]-paper;"P10680; P6800";K3234;2015;jährlich;1000;https://www.lyrik-kabinett.de/bibliothek/kataloge/article/kon-paper-magazin-fuer-literatur-kultur-muc-bln-nr-07/2020-haut-auflage-1000-ex/;https://kon-paper.com/
LZ30;2626-4226;Glitter;"P1691; P20573; P3406; P2024; P11418; P9289";K2818;2017;alle 1 bis 2 Jahre;;https://glitter-online.org/uber-glitter/;https://glitter-online.org/
LZ31;;Jenny: Denken, Glänzen, Text;P17641;K3339;2013;jährlich;;;https://www.dieangewandte.at/publikationen/jenny_ausgabe_09
LZ32;;Johnny ;P17637;K1227;2014;jährlich;2000;https://www.studentischer-projektrat.org/literaturzeitschrift-johnny-zum-100-geburtstag-der-goethe-universitaet/;https://www.starkerstart.uni-frankfurt.de/87649497/Literaturzeitschrift_Johnny
LZ33;2196-3835;kalmenzone;P20531;;2013;halbjährlich;nur online;https://www.kalmenzone.de/wordpress/hefte/;https://www.kalmenzone.de/
LZ34;;kassiber;P7250;;2023;?;;"https://www.liberladen.org/product/kassiber-1/; https://zdb-katalog.de/title.xhtml?idn=1300572140&tab=2&view=full";https://www.kassiber.de/
LZ35;2698-5160;Kliteratur;"P4685; P10632";K1542;2018;ein- bis zweimal jährlich;500;https://kliteratur.de/produkt/kliteratur-7-fehler/#:~:text=Infos%20zu%20Auflage%20und%20Preis:%20Druckkosten%20pro,f%C3%BCr%20das%20Layout%20(%204%20x%2050%2C00%E2%82%AC).;https://kliteratur.de/
LZ36;1560-6775;Kolik;"P4104; P4568";;1997;vierteljährlich;;https://www.kolik.at/impressum.php;https://www.kolik.at/
LZ37;0179-0676;Konzepte;P10131;K425;1987;jährlich;1000;"http://www.konzepte-zeitschrift.de/index.php?id=6; https://www.konzepte-zeitschrift.de/mediadaten";http://www.konzepte-zeitschrift.de
LZ38;0947-0697;Krachkultur;"P2131; P14233";K1637;1993;jährlich;1000;www.krachkultur.de/files/pdf/Krachkultur_Mediadaten.pdf&ved=2ahUKEwiXzfiUmfeTAxWFhv0HHdlwKPcQFnoECBcQAQ&usg=AOvVaw1h7JglOJ3Kb7ZF-MvoFhsr;www.krachkultur.de/
LZ4;2199-6636;Abwärts;"P11829; P13133; P13239; P13615; P14357; P16000; P16113; P18588; P19831; P19554";K269;2014;3-4 mal pro Jahr;;https://zdb-katalog.de/title.xhtml?idn=1050007816&view=brief;https://basisdruck.de/produkt-kategorie/zeitschriften/abwaerts/
LZ40;0945-5167;Lettre International;P1252;K1769;1988;vierteljährlich;22000;https://www.lettre.de/sites/default/files/2023-04/2023-Mediadaten-web_1.pdf;https://www.lettre.de/
LZ41;1012-4705;Lichtungen;"P17412; P9757; P2208";K1782;1979;vierteljährlich;1600;"https://lichtungen.at/impressum/; https://www.literaturportal-bayern.de/werke?task=lpbwork.default&id=34";https://lichtungen.at/
LZ11;1618-1727;BELLA triste ;"P2117; P2338; P2397; P3658; P5068; P6623; P9735; P13398";K232;2001;dreimal jährlich;2400;https://www.kulturium.de/Kulturtreiben/Kulturhandbuch-durchsuchen/BELLA-Triste.php?object=tx,3662.1.1&ModID=9&FID=1878.248.1&NavID=2364.97;https://www.bellatriste.de/
LZ14;nur ISBNs pro Ausgabe;Das Narr;"P4714; P5421";K588;2011;dreimal jährlich;750;https://de.wikipedia.org/wiki/Das_Narr;https://dasnarr.ch/
LZ15;;Das WETTER;P3827;K589;2013;viermal jährlich;6000;https://www.hof-lieferant.com/das-wetter;https://wetter-magazin.com/
LZ17;2624-7372;delirium – Zeitschrift gegen Literatur ;"P876; P13744; P19150; P5744; P20408; P7337; P18468; P5689; P7520";K2822;2013;halbjährlich;1000;"https://zdb-katalog.de/title.xhtml?idn=1072381516&view=full; https://de.wikipedia.org/wiki/Delirium_(Zeitschrift); https://delirium-magazin.ch/section/category/home";https://delirium-magazin.ch/
LZ19;0724-6412;Dichtungsring;P20615;K902;1981;halbjährlich;300;"https://zdb-katalog.de/title.xhtml?idn=013567985&view=full; https://www.autorenwelt.de/organisation/dichtungsring-zeitschrift-fuer-literatur; https://dichtungsring.org/historie/; http://www.dichtungsring-ev.com/historie.html";https://dichtungsring.org/
