literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beitraege;verfasser_ke_beitraege
LZA1;Sinn und Form;LZ68;1;2008;Machwerk oder das Schichtbuch des Flick von Lauchhammer;P2011
LZA2;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;185;2008;"Rumgehen; Mit der Strömung";"P16586; P8341"
LZA3;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;186;2008;"Nachbar und Schreckgespenst. Eine lange Geschichte missglückter Integration kurz erzählt; Adam und Evelyn";"P4264; P16145"
LZA4;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;187;2008;Aussichten;P11567
LZA5;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;188;2008;Unterwegs mit Rumen;P10480
LZA6;Sinn und Form;LZ68;3;2008;Erinnerungen an meine Mutter;P10098
LZA7;Sinn und Form;LZ68;4;2008;"Lord Nicht; Fast ein Märchen; 5:30 Auftritt; 6:10 Das Traumschiff; 7:20 Öffnen Ausnehmen Hacken";"P9544; P16145; P7325; P7325; P7325"
LZA8;Sinn und Form;LZ68;6;2008;Mein See;P2450
LZA9;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2008;"Das Deutschlandleben eines harmlosen orientalischen Banditen; Mit der Metro in Kiew";"P7622; P9613"
LZA10;Sinn und Form;LZ68;1;2009;So sag Jerusalem, welches Tor;P7738
LZA11;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;189;2009;"Ventimiglia di Sicilia; Meine anderen Leben. Sieben Erzählungen aus einer Serie; Der Wolf; Pipihendi; Das Tier; Die Münzen; Der Turm; Die Ernte; Die Käsehändlerin";"P3583; P6773; P6773; P6773; P6773; P6773; P6773; P6773; P6773"
LZA12;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;190;2009;"Kalendergeschichten; Am Ball; Nichts umsonst!; Die Stille danach; Einer, der sich getraut; Nichts geschenkt!; Stille Verlierer; Volkes Gesänge";"P18001; P18001; P18001; P18001; P18001; P18001; P18001; P20099"
LZA13;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;191;2009;Die Tränen des Feuervogels;P11704
LZA14;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;192;2009;"Blaue Klinge; Beerdigung; Das Geheimnis der Siedlung";"P408; P10762; P8341"
LZA15;Sinn und Form;LZ68;3;2009;"Der Mörder meines Bruders; Flickwerk";"P10098; P2011"
LZA16;Sinn und Form;LZ68;6;2009;Das Motorrad;P7743
LZA17;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;193;2010;Kaprun;P13957
LZA18;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;194;2010;Sie haben Ihr Ziel erreicht!;P16145
LZA19;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;195;2010;Münchner Strategien;P13582
LZA20;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;196;2010;"28; Perpetuum mobile";"P9767; P11612"
LZA21;Sinn und Form;LZ68;5;2010;"Wenn alle ist, ist alle; Im Museum";"P2986; P10098"
LZA22;Sinn und Form;LZ68;6;2010;Notturno;P19791
LZA23;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;197;2011;"Schwund; the perfect mystery cannot be written; VII (Die Lebenden)";"P6495; P16419; P19314"
LZA24;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;198;2011;Die schönen Häuser;P4264
LZA25;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;199;2011;Übers Feld;P7849
LZA26;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;200;2011;"Trainee Max; Sans Soleil";"P17055; P3583"
LZA27;Sinn und Form;LZ68;3;2011;"Die hellen Haufen; Russische Zone; Begegnung mit dem Oktopus";"P2011; P11515; P19886"
LZA28;Sinn und Form;LZ68;6;2011;"Das Ausland des Alters; Schwarzes Licht";"P19791; P3664"
LZA29;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2011;"Materialien zu einem Bericht; Fear and Loathing in Sofia; Ganz unten - Istrien undercover";"P13674; P6872; P9377"
LZA30;Sinn und Form;LZ68;2;2012;"Das große Gehege; Capriccios";"P5886; P2490"
LZA31;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;201;2012;"Fortgehen, indem man dableibt; Zerflackert; Ingeneure der Zeit; Sommer mit Roxie; Die Feindseligkeit lebenswichtiger Organe an sich; Postkarte; Das Deutschlandgerät";"P2977; P3334; P3842; P4814; P10149; P17095; P16145"
LZA32;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;202;2012;"Die Wasser der Zeit; Ich fliege mit dem Wind";"P19269; P19269"
LZA33;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;203;2012;"Durch die Fliege betrachtet; Im Hotelzimmer; Im Zug";"P6068; P6068; P6068"
LZA34;Sinn und Form;LZ68;3;2012;Der Herr des Berges. Eine Geschichte.;P2403
LZA35;Sinn und Form;LZ68;5;2012;Die Ewigkeit des Augenblicks;P10098
LZA36;Sinn und Form;LZ68;1;2013;"Fischwaren; Die Musiker; Das Salzschloss; Die Nonne";"P5886; P11579; P11579; P11579"
LZA37;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;205;2013;"Der eigentliche Wollaffe; Die Unternehmerin";"P394; P394"
LZA38;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;208;2013;"Wie ich mit meiner Zunge begann; Nasenhörner";"P13803; P8754"
LZA39;Sinn und Form;LZ68;3;2013;Die Farben der Wörter;P5395
LZA40;Sinn und Form;LZ68;4;2013;Die Insel;P16567
LZA41;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;209;2014;"Der Hungerverlust; Pärchenabend; Vermächtnis der Tiere; Eulen; Die Wiegemaschine";"P9010; P10365; P12848; P16635; P19466"
LZA42;Sinn und Form;LZ68;3;2014;Allwurzler;P8895
LZA43;Sinn und Form;LZ68;4;2014;Das Dorf der blauen Frauen;P19655
LZA44;Sinn und Form;LZ68;5;2014;Ins Nachtbuch;P15238
LZA45;Sinn und Form;LZ68;1;2015;"Die Kellnerin; Der Torweg";"P7000; P18616"
LZA46;Sinn und Form;LZ68;2;2015;Es musste sein;P8054
LZA47;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;213;2015;"Raus aufs Land; Sandalen; Das Röhrchen; Wense";"P3582; P7849; P11223; P16093"
