person_id;person_name;person_name_gnd;person_username_ff;beruf_beschaeftigung_gnd;geburtsdatum_gnd;sterbedatum_gnd;alter_ff;geschlecht_gnd_ff;gnd_nummer;person_homepage_gnd_ff
P1;!1;!1;;;;;;;;
P10;-minu;-minu;;;;;;;;
P447;Appel, Jana;Appel, Jana;;;;;;;;
P1006;Beaton, Vit;Beaton, Vit;;;;;;;;
P1185;Bellows, Florian;Bellows, Florian;;;;;;;;
P1260;Berg, Elias;Berg, Elias;;;;;;;;
P1321;Bergmann, Marion;Bergmann, Marion;;;;;;;;
P1402;Best, Matilda;Best, Matilda;;;;;;;;
P1534;Birkenheier, Åse;Birkenheier, Åse;;"Übersetzerin; Lehrerin";1944;;;Weiblich;124267092;
P1823;Booltink, Theo;Booltink, Theo;;;;;;;;
P2179;Bruchmann, Roland;Bruchmann, Roland;;;;;;;;
P2269;Bubb, Anna;Bubb, Anna;;;;;;;;
P2385;Burse, Urs Matthäus;Burse, Urs Matthäus;;;;;;;;
P2804;Chvatal, Andreas;Chvatal, Andreas;;;;;;;;
P2950;Cropley, Lenard James;Cropley, Lenard James;;;;;;;;
P3153;Dee, Ana;Dee, Ana;;Schriftstellerin;1967;;;Weiblich;1319438903;
P3229;Dent, Pauline;Dent, Pauline;;;;;;;;
P3296;Dickers, Peter Josef;Dickers, Peter Josef;;;1938;;;Unbekannt;135724325;
P3720;Ebert, Philine;Ebert, Philine;;;;;;;;
P3806;Egger, Trude;Egger, Trude;;;;;;;;
P4008;Engel, Enno;Engel, Enno;;;;;;;;
P4287;Feder, Annette;Feder, Annette;;;;;;;;
P4361;Fels, Alina;Fels, Alina;;;;;;;;
P4424;Fiebig, Rosemarie;Fiebig, Rosemarie;;;;;;;;
P4784;Friday, Klyde;Friday, Klyde;KlydeFriday;;;;24;;;
P4923;Fuchs, Elisa;Fuchs, Elisa;;;;;;;;
P4924;Fuchs, Elisabeth;Fuchs, Elisabeth;;;;;;;;
P4999;Förder, Kim;Förder, Kim;;;;;;;;
P5210;Geka;Geka;;;;;;;;
P5906;Grüning, Ilona;Grüning, Ilona;;;;;;;;
P5976;Gutjahr, Nico;Gutjahr, Nico;;"Autor; Herausgeber";;;;Männlich;1341547914;
P6400;Hara, Esteva;Hara, Esteva;;;;;;;;
P6466;Hartlap, Detlef;Hartlap, Detlef;;Journalist;1950;;;Männlich;121047628;
P6679;Heil, Jenny;Heil, Jenny;;;;;;;;
P7025;Herzog, Isabell Maria;Herzog, Isabell Maria;;;;;;;;
P7235;Hodel, Mirza;Hodel, Mirza;;;;;;;;
P7306;Hofmann, Andi;Hofmann, Andi;;;;;;;;
P7374;Holler, Constanze;Holler, Constanze;;;;;;;;
P7461;Horn, Holloway;Horn, Holloway;;;;;;;;
P7583;Hurtz, Klaus;Hurtz, Klaus;;"Lehrer; Musiker";1951;;;Männlich;107533490X;
P7856;Jablan, Marko;Jablan, Marko;Marko;;;;;;;
P7875;Jacob, Ralph;Jacob, Ralph;;;;;;;;
P8000;Jay, Mr.;Jay, Mr.;;;;;;;;
P8200;Juu;Juu;;;;;;;;
P8667;Kessler, Stephan;Kessler, Stephan;;;;;;;;
P9313;Kotrus, Susanne;Kotrus, Susanne;;;;;;;;
P9533;Krohne, Daniel;Krohne, Daniel;;;;;;;;
P9597;Krämer, Jonah;Krämer, Jonah;;;;;;;;
P9758;Kurz, A.;Kurz, A.;;;;;;;;
P9951;Künzi-Frauchiger, Ruth;Künzi-Frauchiger, Ruth;;;;;;;;
P9969;L., Henry;L., Henry;;;;;;;;
P10024;Lamboury, Stefan;Lamboury, Stefan;;;;;;;;
P10166;Lash, Larry;Lash, Larry;;;;;;;;
P10390;Lenz, Heidi;Lenz, Heidi;;;;;;;;
P10598;Linden, Moritz;Linden, Moritz;;;;;;;;
P10675;Lo, Anna;Lo, Anna;Lycoris;;;;29;weiblich;;http://annz.de.tl/
P10742;Lorentz, Iny;Lorentz, Iny;;;;;;;;
P10893;Luz, Monja;Luz, Monja;;;;;;;;
P10985;M., Anki;M., Anki;;;;;;;;
P11106;Majoleth, Carmen;Majoleth, Carmen;;;;;;;;
P11329;Martynova, Olga;Martynova, Olga;;;;;;;;
P11463;Mayer, Rika;Mayer, Rika;;;;;;;;
P11559;Meier, Lisa;Meier, Lisa;;;;;;;;
P11601;Meister, J. K.;Meister, J. K.;;;;;;;;
P11693;Merz, Ernst;Merz, Ernst;;;;;;;;
P11811;Middleton, Clifford J.;Middleton, Clifford J.;;;;;;;;
P11889;Mischke, Sven B.;Mischke, Sven B.;;;;;;;;
P11957;Moll, Manfred;Moll, Manfred;;"Theologe; Autor; Lyriker";1951-12-26;;;Männlich;1102223468;
P12376;Nabel, Mila;Nabel, Mila;;Autorin;1932;;;Weiblich;104722402X;
P12450;Naumann, Sabine;Naumann, Sabine;;;;;;;;
P12521;Neuberger, Bent;Neuberger, Bent;;;;;;;;
P12674;Niemann, Solveig A.;Niemann, Solveig A.;;;;;;;;
P13170;Passionale;Passionale;;;;;;;;
P13171;Pastore, Matt;Pastore, Matt;;"Ingenieur; Autor";1960;;;Männlich;120599713X;
P13244;Peikert, Karen;Peikert, Karen;;;;;;;;
P13315;Petermann, Stefan;Petermann, Stefan;;"Schriftsteller; Toningenieur";1978-12-05;;;Männlich;139394605;
P13386;Pfanner, Thomas;Pfanner, Thomas;;;;;;;;
P13585;Pletl, Jennifer;Pletl, Jennifer;;;;;;;;
P13790;Protz, Jürgen;Protz, Jürgen;;;;;;;;
P14148;Redweik, Britta;Redweik, Britta;;;;;;;;
P14213;Reichl, Eva;Reichl, Eva;;"Künstlerin; Autorin";1970;;;Unbekannt;135834171;
P14354;Reseterits, Peter;Reseterits, Peter;;;;;;;;
P14422;Richter, Danny;Richter, Danny;;Schauspieler;;;;Männlich;1061269191;
P14517;Riga, Matz;Riga, Matz;;;;;;;;
P14562;Ritter, Willi;Ritter, Willi;;;;;;;;
P14673;Ronja;Ronja;;;;;;;;
P14781;Roth, Nadine;Roth, Nadine;;;;;;;;
P15137;Sander, Marcel;Sander, Marcel;;;;;;;;
P15278;Schaer, Christine;Schaer, Christine;;;;;;;;
P15484;Schimmel, Kerstin;Schimmel, Kerstin;;Sozialwissenschaftlerin;1963;;;Weiblich;1138245607;
P15630;Schmidt, A:S:;Schmidt, A:S:;;;;;;;;
P15764;Schmitz, Kira;Schmitz, Kira;;;;;;;;
P15765;Schmitz, Kurt;Schmitz, Kurt;;;;;;;;
P15905;Schoell, Iris;Schoell, Iris;;;;;;;;
P16111;Schulz, Katharina;Schulz, Katharina;;;;;;;;
P16195;Schuster, Richard;Schuster, Richard;;;1986;;;Männlich;1075745942;
P16332;Schwämmle, Kassandra;Schwämmle, Kassandra;;;;;;;;
P16456;Schütt, Ursula;Schütt, Ursula;;Lehrerin;1941;;;Unbekannt;133916693;
P16672;Shiro, Nyu Lucy;Shiro, Nyu Lucy;NyuLucyShiro;;;;;weiblich;;
P16675;Shoukry, Sonia;Shoukry, Sonia;;;;;;;;
P16743;Silber, Herwig;Silber, Herwig;;Industriekaufmann;1946;;;Unbekannt;11087921X;
P16892;Snowe, Lucy;Snowe, Lucy;Lucy Snowe;;;;;weiblich;;
P17036;Spiecker, Felicitas;Spiecker, Felicitas;;;;;;;;
P17662;Stähler, Sabine;Stähler, Sabine;;;;;;;;
P17797;Szymanski, Birgit;Szymanski, Birgit;;;;;;;;
P17873;Tasou, Anne;Tasou, Anne;;;;;;Weiblich;1047806703;
P18378;Tönjes, Maren;Tönjes, Maren;;;;;;;;
P19241;Weiss, Sophia;Weiss, Sophia;;"Übersetzerin; Herausgeberin";;;;Weiblich;144034999;
P19381;Werner, Jan;Werner, Jan;;;;;;;;
P19448;White, Samuel;White, Samuel;;;;;;;;
P19811;Wohn, Anneliese;Wohn, Anneliese;;;;;;;;
P20067;Yu, Han;Yu, Han;;;;;;;;
P20106;Zang, Markus;Zang, Markus;;;;;;;;
P20195;Zero, Justin;Zero, Justin;;;;;;;;
P20433;dreamful69;dreamful69;;;;;;;;
P20459;hast de nicht gesehn, July;hast de nicht gesehn, July;blackphoenter;;;;27;weiblich;;
P20615;wechselnd;wechselnd;;;;;;;;
P21853;;"*...*, >;<";XaraX;;;;;;;
P22107;;"*...*, >;<";Tobi;;;;;;;
P23174;;"*...*, >;<";One Vicious;;;;;;;
P23280;;"*...*, >;<";Nightelf;;;;;;;
P23473;;"*...*, >;<";Mrs-J;;;;24;weiblich;;
P24174;;"*...*, >;<";Lance;;;;;;;
P24464;;"*...*, >;<";Kalatas;;;;30;;;
P24664;;"*...*, >;<";Isahra Greene;;;;;weiblich;;
P25160;;"*...*, >;<";Esme Francis;;;;;;;
P25346;;"*...*, >;<";DontCallItSchnitzel;;;;36;weiblich;;
P25444;;"*...*, >;<";DeRbAeRTige;;;;;;;
P25836;;"*...*, >;<";BlackSangius;;;;;;;
P26320;;"*...*, >;<";-Honeymoon-;;;;27;weiblich;;
P26321;;"*...*, >;<";-Honeymoon;;;;26;weiblich;;
P26322;;"*...*, >;<";-Historia-;;;;;weiblich;;
P26323;;"*...*, >;<";-Herbstwind-;;;;;weiblich;;
P26324;;"*...*, >;<";-Felis-;;;;;weiblich;;
P26325;;"*...*, >;<";-Elenya-;;;;;weiblich;;
P26326;;"*...*, >;<";-Elain-;;;;;weiblich;;
P26327;;"*...*, >;<";-Destiny-;;;;;weiblich;;
P26328;;"*...*, >;<";-DarkRuby-;;;;;weiblich;;http://animexx.onlinewelten.com/mitglieder/steckbrief.php?id=362949
P26329;;"*...*, >;<";-DarkDesire-;;;;;weiblich;;
P26330;;"*...*, >;<";-Daiya-;;;;;;;https://twitter.com/daiyacosplay
P26331;;"*...*, >;<";-Ben-;;;;;männlich;;
P26332;;"*...*, >;<";-Bagheera-;;;;30;weiblich;;
P26333;;"*...*, >;<";-BaerenTatze-;;;;;weiblich;;
P26334;;"*...*, >;<";-Astoria-;;;;27;weiblich;;
