objekt_id;objekt_typ;person_id;rolle
"3741805556; 9783947924134";Buch;P9672;VerfasserIn Buch
"3743125110; 9783743125117";Buch;P7075;VerfasserIn Buch
3922428940;Buch;P2411;VerfasserIn Buch
3932974522;Buch;P588;VerfasserIn Buch
3932974670;Buch;P588;VerfasserIn Buch
"3936835853; 9783936835854";Buch;P9125;VerfasserIn Buch
3937419179;Buch;P17621;VerfasserIn Buch
9780244609375;Buch;P3170;VerfasserIn Buch
"9780486476322; 0486476324";Buch;P19850;Sonstige Rolle Buch
"9780486796581; 0486796582";Buch;P19850;HerausgeberIn Buch
"9780486796581; 0486796582";Buch;P19850;ÜbersetzerIn Buch
9780620730372;Buch;P11605;VerfasserIn Buch
9780645454710;Buch;P14567;HerausgeberIn Buch
9781070832296;Buch;P13167;VerlegerIn Buch
9781070832296;Buch;P580;VerfasserIn Buch
9781071067147;Buch;P17827;VerfasserIn Buch
9781071067147;Buch;P17827;VerlegerIn Buch
9781074278922;Buch;P8226;VerfasserIn Buch
9781074278922;Buch;P8226;VerlegerIn Buch
9781076000132;Buch;P13672;VerfasserIn Buch
9781076000132;Buch;P3932;VerlegerIn Buch
9781081891305;Buch;P1623;VerfasserIn Buch
9781081891305;Buch;P8991;VerlegerIn Buch
9781087165080;Buch;P14538;VerfasserIn Buch
9781087165080;Buch;P14538;VerlegerIn Buch
9781091225756;Buch;P17827;VerfasserIn Buch
9781091225756;Buch;P17827;VerlegerIn Buch
9781091992825;Buch;P8090;VerfasserIn Buch
9781091992825;Buch;P8090;VerlegerIn Buch
9781291074376;Buch;P4615;VerfasserIn Buch
9781291663754;Buch;P20184;VerfasserIn Buch
9781291680959;Buch;P9073;VerfasserIn Buch
"9781365999932; 1365999939";Buch;P10929;VerfasserIn Buch
"9781365999932; 1365999939";Buch;P10929;VerlegerIn Buch
9781447724537;Buch;P11982;VerfasserIn Buch
9781471675089;Buch;P9073;VerfasserIn Buch
9781477625590;Buch;P1883;VerfasserIn Buch
9781477625590;Buch;P1883;VerlegerIn Buch
9781478232803;Buch;P9540;VerfasserIn Buch
9781478232803;Buch;P9540;VerlegerIn Buch
9781479159796;Buch;P10573;VerfasserIn Buch
9781479159796;Buch;P11337;VerlegerIn Buch
9781480078185;Buch;P6942;VerfasserIn Buch
9781480242326;Buch;P9701;VerfasserIn Buch
9781480247680;Buch;P9701;VerfasserIn Buch
9781481113014;Buch;P12417;VerfasserIn Buch
9781481113014;Buch;P12417;VerlegerIn Buch
9781481945325;Buch;P13491;VerlegerIn Buch
9781481945325;Buch;P16917;VerfasserIn Buch
9781482656299;Buch;P7570;VerfasserIn Buch
9781482656299;Buch;P7570;VerlegerIn Buch
9781484114544;Buch;P6184;VerfasserIn Buch
9781484114544;Buch;P6184;VerlegerIn Buch
9781484899939;Buch;P12520;VerfasserIn Buch
9781484899939;Buch;P12520;VerlegerIn Buch
9781489581112;Buch;P221;VerfasserIn Buch
9781489581112;Buch;P221;VerlegerIn Buch
"9781491245293; 9788365242747";Buch;P11438;VerfasserIn Buch
9781492188551;Buch;P6184;VerfasserIn Buch
9781492188551;Buch;P6184;VerlegerIn Buch
9781492981633;Buch;P1960;VerfasserIn Buch
"9781493723355; 1493723359";Buch;P3195;VerfasserIn Buch
9781494364052;Buch;P416;VerfasserIn Buch
9781494980238;Buch;P13678;VerfasserIn Buch
9781496111241;Buch;P8821;VerfasserIn Buch
9781496186812;Buch;P16917;VerfasserIn Buch
9781497581876;Buch;P4610;VerfasserIn Buch
9781497581876;Buch;P4610;VerlegerIn Buch
9781499148565;Buch;P786;VerfasserIn Buch
9781499148565;Buch;P786;VerlegerIn Buch
9781500771492;Buch;P15184;VerfasserIn Buch
9781502800640;Buch;P6870;VerfasserIn Buch
9781503009073;Buch;P19006;VerfasserIn Buch
9781503009073;Buch;P19007;VerlegerIn Buch
9781503123953;Buch;P4615;VerfasserIn Buch
9781503379718;Buch;P17652;VerfasserIn Buch
9781503379718;Buch;P17652;VerlegerIn Buch
9781505490213;Buch;P13930;VerfasserIn Buch
9781505490213;Buch;P13930;VerlegerIn Buch
9781505574104;Buch;P10949;VerfasserIn Buch
9781505574104;Buch;P10949;VerlegerIn Buch
9781505725001;Buch;P9073;VerfasserIn Buch
9781507690901;Buch;P3734;VerfasserIn Buch
9781507706862;Buch;P18528;VerfasserIn Buch
9781507872451;Buch;P15216;HerausgeberIn Buch
9781507872451;Buch;P15216;VerlegerIn Buch
9781508660507;Buch;P4829;VerfasserIn Buch
9781508660507;Buch;P4829;VerlegerIn Buch
9781508822561;Buch;P20090;HerausgeberIn Buch
9781511846790;Buch;P15800;VerfasserIn Buch
9781511846790;Buch;P15800;VerlegerIn Buch
"9781511922395; 1511922397";Buch;P7688;VerlegerIn Buch
"9781511922395; 1511922397";Buch;P8043;VerfasserIn Buch
9781514686683;Buch;P18528;VerfasserIn Buch
9781514717875;Buch;P13322;VerfasserIn Buch
9781515021445;Buch;P14175;VerfasserIn Buch
9781515021445;Buch;P14918;VerlegerIn Buch
9781515110934;Buch;P11813;VerfasserIn Buch
9781515110934;Buch;P14918;VerlegerIn Buch
9781515331964;Buch;P13214;VerfasserIn Buch
9781515331964;Buch;P13215;VerlegerIn Buch
9781517103514;Buch;P11813;VerfasserIn Buch
9781517103514;Buch;P14918;VerlegerIn Buch
9781517212575;Buch;P11783;VerfasserIn Buch
9781517229818;Buch;P6929;VerfasserIn Buch
9781517229818;Buch;P6938;VerfasserIn Buch
9781517393915;Buch;P13667;VerfasserIn Buch
9781517393915;Buch;P13667;VerlegerIn Buch
9781517434601;Buch;P18528;VerfasserIn Buch
9781517564209;Buch;P11813;VerfasserIn Buch
9781517564209;Buch;P14918;VerlegerIn Buch
9781517688837;Buch;P10572;VerlegerIn Buch
9781517688837;Buch;P7570;VerfasserIn Buch
9781518686221;Buch;P20090;HerausgeberIn Buch
9781518686221;Buch;P20090;VerlegerIn Buch
9781519276872;Buch;P18057;VerfasserIn Buch
9781519276872;Buch;P18057;VerlegerIn Buch
9781519435859;Buch;P13930;HerausgeberIn Buch
9781519435859;Buch;P13930;VerlegerIn Buch
9781519568397;Buch;P13821;VerfasserIn Buch
9781519568397;Buch;P13821;VerlegerIn Buch
"9781519645258; 1519645252";Buch;P16212;VerfasserIn Buch
"9781519645258; 1519645252";Buch;P18916;VerfasserIn Buch
"9781519645340; 1519645341";Buch;P18916;VerfasserIn Buch
9781520207483;Buch;P449;VerfasserIn Buch
9781520321837;Buch;P10660;VerfasserIn Buch
9781520321837;Buch;P10660;VerlegerIn Buch
9781520927596;Buch;P13994;VerfasserIn Buch
9781520927596;Buch;P13994;VerlegerIn Buch
9781521055724;Buch;P9538;VerfasserIn Buch
9781521055724;Buch;P9538;VerlegerIn Buch
9781521063361;Buch;P9538;VerfasserIn Buch
9781521063361;Buch;P9538;VerlegerIn Buch
9781521067383;Buch;P9538;VerfasserIn Buch
9781521067383;Buch;P9538;VerlegerIn Buch
9781521095508;Buch;P9538;VerfasserIn Buch
9781521095508;Buch;P9538;VerlegerIn Buch
9781521517628;Buch;P19036;VerfasserIn Buch
9781521517628;Buch;P19036;VerlegerIn Buch
9781521890875;Buch;P18008;VerfasserIn Buch
9781521890875;Buch;P18008;VerlegerIn Buch
9781521943908;Buch;P13679;VerfasserIn Buch
9781521943908;Buch;P13679;VerlegerIn Buch
9781521996058;Buch;P13930;VerfasserIn Buch
9781522092698;Buch;P13930;VerfasserIn Buch
9781522876564;Buch;P13678;VerfasserIn Buch
9781522876564;Buch;P13678;VerlegerIn Buch
9781522959236;Buch;P10013;VerfasserIn Buch
9781522959236;Buch;P10013;VerlegerIn Buch
9781523213283;Buch;P13214;VerfasserIn Buch
9781523213283;Buch;P13215;VerlegerIn Buch
9781523308118;Buch;P1842;VerfasserIn Buch
9781523608140;Buch;P75;VerfasserIn Buch
9781523608140;Buch;P75;VerlegerIn Buch
9781530316755;Buch;P18528;VerfasserIn Buch
9781530429141;Buch;P4769;VerfasserIn Buch
9781530429141;Buch;P4769;VerlegerIn Buch
9781530430161;Buch;P15935;VerfasserIn Buch
9781530430161;Buch;P15935;VerlegerIn Buch
9781530536320;Buch;P1842;VerfasserIn Buch
9781530866038;Buch;P11620;VerfasserIn Buch
9781532869365;Buch;P16386;VerfasserIn Buch
9781532869365;Buch;P16386;VerlegerIn Buch
9781532903854;Buch;P10636;VerfasserIn Buch
9781533500526;Buch;P3067;VerfasserIn Buch
9781533500526;Buch;P3195;VerfasserIn Buch
"9781533509284; 153350928X";Buch;P786;VerfasserIn Buch
"9781533509284; 153350928X";Buch;P786;VerlegerIn Buch
9781533509680;Buch;P13214;VerfasserIn Buch
