ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9798389837034,100 moderne Kurzgeschichten,,Reutlingen,Lukas Böhl,[2023],148 Seiten,"Böhl, Lukas",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783757537609; 3757537602,100% Marcels Reime von A-Z,10. Auflage,Berlin,epubli,2023,220 Seiten,"stuemer, marcellinus",,,,,"Lyrik, Dramatik",ger,
9783757512262; 375751226X,100% Marcels Reime von A-Z,1. Auflage,Berlin,epubli,2023,144 Seiten,"stuemer, marcellinus",,,,,"Lyrik, Dramatik",ger,
9783756874736; 3756874737,13 Glücksmomente,1. Auflage,Norderstedt,BoD – Books on Demand,2023,60 Seiten,"Dupré, Anja",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783758303258; 3758303257,13 Kurzgeschichten,1. Auflage,Norderstedt,BoD – Books on Demand,2023,132 Seiten,"Capadrutt, Hans",,,,,Fantasy,ger,
9783754378113; 3754378112,13 Short Stories by William Lewis with translations into German,2. Auflage,Norderstedt,BoD – Books on Demand,2023,120 Seiten,"Lewis, William; Christen (illustrations), Christiane; Böminghaus (illustrations), Martina; Floerke (illustrations), Ingrid Rosine; Friedrich-Kopp (illustrations), Gudrun; Mindermann-Lynen (illustrations), Greta; Renneberg (illustration), Daniela; Steuer (illustration), Frank-Helge; Tarach (illustrations), Anna","Christen, Chistiane",,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,eng; ger,
9783985280186; 3985280185,13 urbane Legenden,Erste Auflage,Kreßberg-Mariäkappel,Shadodex - Verlag der Schatten,2023,256 Seiten,"Lethe, Lennox; Grasl, Monika; Junghanns, Stefan; McBane, Gordon; Hausmann, Eva; Hemmrich, Isabell; Lopatta, Andrea; Molitor, Judith; Klymchuk, Alexander; Grass, Eve; Puplicks, Dennis; Weiler, Silke Katharina; Bulenda, Doris E.M.","Dörr, Andreas",,,,Anthologie; Fantastische Literatur,ger,
9783347898851; 3347898850,"""19""",,Ahrensburg,tredition,2023,248 Seiten,"Cora, S.",,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945; Erzählende Literatur; Historische Romane und Erzählungen,ger,
9783991529408; 3991529408,"20 frische Bilder, 40 neue Geschichten",1. Auflage,Wien,Buchschmiede von Dataform Media GmbH,[2023],172 Seiten,,"Stein, Ella",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
9783000755897; 3000755896,20 Kurzgeschichten,,Ehringshausen,Raimund Kellmann,[2023],120 Seiten,"Kellmann, Raimund",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
