koerperschaft_id;koerperschaft_name
1;"""Grüne Aue"""
2;#BerlinAuthors
3;/
4;175er Verlag
5;1Druck, DIVO
6;27amigos
7;2A-Verlag, Akademie Freier Autoren e.V.
8;3. Oktober – Deutschland singt und klingt
9;360 Grad Verlag GmbH
10;3VerSchreiber
11;7Sterne-Ed.
12;A. Agic
13;A. Amsler
14;A. Büttner
15;A. Delon
16;A. F. W. Sommer
17;A. Fritz Verlag
18;A. Gasser
19;A. Hennig
20;A. Hovestadt
21;A. Jochim Vela-Verlag
22;A. Langkath
23;A. Springer
24;A. Thorn
25;A. Tschirner
26;A. Wellbrock
27;A. Westermann
28;A. Zmyj
29;A.E. Johann-Gesellschaft e.V.
30;A.P.P.
31;A.P.P. Verlag
32;A.P.P.-Verl.
33;A1 Verlag
34;A1-Verl.
35;A7L Thrilling Books Limited
36;AAVAA Verlag
37;AAVAA-Verl.
38;AB - Die Andere Bibliothek
39;AB - Die Andere Bibliothek GmbH & Co. KG
40;AB, TravenBooks
41;AB1-Dr. & Verl.
42;ABLIT-Verl.
43;AGIRO Verlag
44;AGMA - Christlicher Buchverl.
45;AIKA Consulting GmbH
46;AJSP
47;AJZ-Dr. & Verl.
48;AME Stöpel
49;ANTHEA VERLAG
50;APOLLON TEMPEL VERLAG
51;APRYCOT
52;AQUENSIS Verlag Pressebüro Baden-Baden GmbH
53;ARW
54;AS Verlag
55;AT-Verl.
56;ATE
57;ATHENA
58;ATHENA-Verlag
59;AUMAYER
60;AVM
61;AWS Literatur
62;Aagenda-Verl.
63;Aaronis Coll.
64;Abera
65;Abl Verlag
66;Abl-Verl.
67;Acabus
68;Acabus Verlag
69;Acabus-Verl.
70;Achertäler Druckerei
71;Achter Verl.
72;Achter Verlag
73;Achterland
74;Adakia-Verl.
75;Adalbert-Stifter-Institut des Landes Oberösterreich / StifterHaus
76;Adlerstein Verlag
77;Adlerstein-Verl.
78;Adlerstein-Verlag
79;Adlibri-Verl.
80;Adolf Dahlfeld Erben
81;Adonia
82;Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH
83;Adwork Köln - Halven Hahn Produktion
84;Afra-Sonnensturm-Verl.
85;AfricAvenir - Exchange & Dialogue
86;Afusoft
87;Agade Publ. House
88;Agenda Verlag
89;Agenda-Verl.
90;Agentur des Rauhen Hauses Hamburg
91;Agiro
92;Agon-Sportverl.
93;Agroplant
94;Ahead and Amazing
95;Aisthesis Verlag
96;Aisthesis-Verl.
97;Akad.-Verl.
98;Akademie der Künste
99;Akademie der Künste Berlin
100;Akademos
101;Akazia Verlag
102;Akazien Verlag
103;Alba Trust
104;Albatros
105;Alcorde Verlag
106;Alcorde-Verl.
107;Alea Libris Verlag
108;Aleph Verlag
109;Alexander, Darleen
110;Alfa-Veda Verlag
111;Alfa-Veda-Verl.
112;Alfa-Veda-Verlag
113;Alfred Kröner Verlag
114;Alfred Starch
115;Ali Hensel
116;Alibri
117;Alibri-Verl.
118;Alkyon-Buchverl.
119;Allegria
120;Allitera Verlag
121;Allitera-Verl.
122;Almadinah gUG
123;Almanach-Ed.
124;Almus-Verl.
125;Almáriom
126;Alois Epple
127;Alpenpost Verl.
128;Alpha Litart
129;Alphabeta
130;Altan
131;Alte-Jeetzel-Buchh. und Verl.
132;Altis-Verl.
133;Altis-Verlag
134;Altius
135;Alwine Mews
136;Amalthea
137;Amalthea Signum
138;Amanda Johnson
139;Amardi-Verl.
140;Amative Publ.***5246918
141;Amazon Distribution
142;Amazon Media EU S.à r.l.
143;Ambaum-Verl.
144;Ambiente-Krimis
145;Amdora-Verlag
146;Amicus
147;Ammann
148;Ammersee Verlag
149;Ammianus-Verl.
150;Ammianus-Verlag
151;Amonja Publishing
152;Amrei Laforet
153;Amrûn
154;Amrûn Verlag
155;Amrûn-Verl.
156;AnOA edition
157;Anaconda
158;Ancient Mail Verlag Werner Betz
159;Anderland Books
160;Anderslieben Verlag Heckmann & Meinzer
161;Andiamo
162;Andra-Danu-Verl.
163;AndreBuch-Verl.
164;AndreBuchVerlag
165;Andrea Herrmann
166;Andrea Yildiz
167;Andreas Dölling
168;Andreas Frey
169;Andreas Herbert Meier
170;Andres
171;Andresen
172;Angela Suter
173;Angele
174;Angelika Bohn, c/o Papyrus Autoren-Club
175;Angelika Horn
176;Angelika Lenz Verlag
177;Angst & Schrecken
178;Angst&Schrecken
179;Anikkänbrö & Knetemelk
180;Anja M. Kast
181;Anke Redhead
182;Ankerherz
183;Annegret Achner
184;Anno-Verl.
185;Anno-Verlag
186;Anselm Eder
187;Ansichtssache - Agentur für Gestaltung
188;Anthea Verlag
189;Anthea-Verl.
190;Anthea-Verlag
191;Antje Meeser
192;Anton H. Konrad Verlag
193;Anton Launer
194;Antonia Löschner
195;Antonia Wimmer
196;Anuschka Weyand Buchverlag
197;Aphaia-Verl.
198;AphorismA
199;Apollon Tempel Verlag
200;Apollon-Verl.
201;Appenzeller Verl.
202;Appenzeller Verlag
203;Appenzeller Verlag AG
204;Appenzeller Volksfreund
205;Appenzeller-Verl.
206;April G. Dark c/o Gabriela Schmid
207;Aquensis
208;Aquensis Verlag Pressebüro Baden-Baden GmbH
209;Aquensis-Verl.
210;Arachne Verlag
211;Arachne-Verl.
212;Arbeitsgemeinschaft Selbstständiger Migranten e.V.
213;Arbeitskreis für Dorfentwicklung und Heimatpflege
214;Arcanum Fantasy Verlag
215;Arche
216;Archipel
217;Arco
218;Arcos-Verl.
219;Ardey-Verlag
220;Arete-Verl.
221;Argument Verlag
222;Arkade
223;Arkani Verlag
224;Armin Andrä
225;Armin-T-Wegner-Ges.
226;Arne Stoll
227;Arnshaugk
228;Arovell Verlag
229;Arovell-Verl.
230;Ars Una
231;Ars Vivendi
232;Ars et Unitas
233;Ars vivendi
234;ArsEd.
235;Art In Flow
236;Art Skript Phantastik
237;Art Skript Phantastik Verlag & Design
238;Art Skript Phantastik, Verl. & Design
239;Art- Skript-Phantastik-Verl.
240;Art-Skript-Phantastik-Verl.
241;ArteMedia
242;Artemis & Winkler
243;Artemis und Winkler
244;Artio Wortkunstverlag
245;Artpress
246;Arunya-Verlag
247;Asaro
248;Asaro Verlag
249;Asaro-Verl.
250;Aschenbeck-Verl.
251;Aschendorff
252;Aschendorff Verlag
253;Ashera Verlag
254;Askan - Familienforschung & Heimatkunde, Bärbel und Beatrice Barnehl GbR
255;Asmussen
256;Asoka
257;Aspera* Verlag für Kunst, Kultur und Hoffnung
258;Asphalt-&-Anders-Verl.
259;Astrid Verlag
260;Atelier & Verlag Reinhard Fritz
261;Atelier Coaching & Training
262;Atelier Colorwaves
263;Atelier Margits Art
264;Atelier Monika Stocker
265;Athena
266;Athene Media
267;Athesia Verlag
268;Atlantik
269;Atlantik Verlag
270;Atlantis
271;Atlantis-Verl.
272;Aton
273;Atrioc-Verl.
274;Atrium Verlag
275;Atrium-Verl.
276;Attenkofer
277;Attoverl.
278;Audio-To-Go Publishing Ltd.
279;Aufbau
280;Aufbau TB
281;Aufbau Taschebuch
282;Aufbau Taschenbuch
283;Aufbau-Taschenbuch
284;Aufbau-Verl.
285;Aufland-Verl.
286;Augen Auf Verlag
287;Augen-Auf-Verl.
288;August von Goethe Literaturverlag
289;August-von Goethe-Literaturverl.
290;August-von-Goethe-Literaturverl.
291;Augusta Presse- und Verlags GmbH
292;Aumayer
293;Aurinia
294;Auslesen-Verl.
295;Aussaat
296;Authal-Verl.
297;Autoren-Feder-Verl.
298;Autorengruppe Märkischer Kreis
299;Autorengruppe Wortspieler
300;Autorenkollektiv Nord c/o Sören Steding
301;Autorenkreis Ruhr-Mark e.V. mit Sitz in Hagen (NRW)
302;Autorenquelle Limburg
303;Autumnus Verlag
304;Ava Innings / Violet Truelove
305;Avanti-Verl.
306;Ave
307;Avinus
308;AvivA
309;Avocado Verlag
310;Aws-Literatur, Verlag des Kulturvereins Alles wird schön
311;Axel Dielmann Verlag
312;Axiomy Verlag
313;Axon
314;Ayon-Verlag
315;Ayurveda-Verein Nexenhof
316;Azur
317;B. Dethloff
318;B. E. Bohmann
319;B. Krauß
320;B. Kühlen Verlag
321;B. Leuz
322;B. Luipold
323;B. Mastori
324;B. Montua
325;B. Pallina/Natalie Milke c/o Autorenglück
326;B. Schwarz
327;B. Stählin-Tschanz
328;B.R. Filtec GmbH c/o Tahja Bennet
329;BACOPA VERLAG
330;BAR-Verl.
331;BAUER-VERLAG
332;BC Publications
333;BE, Belle Epoque Verlag
334;BE, Belle Époque Verlag
335;BELLA triste e.V.
336;BGG-Verlag
337;BHN Books, Verlag Alexander Hinz
338;BJ-Autorenservice.de
339;BLB
340;BMV-Verl. Burau
341;BOAS-Verl.
342;BOKEN Regionalverlag
343;BOOKSun-Limited
344;BOOKSun-Limited, Niederlassung Dt.
345;BROTLOS Verlag
346;BS Verlag Rostock
347;BS motor Vertriebs und Verlags GmbH
348;BS-Verl.
349;BS-Verl. Rostock
350;BS-Verl.-Rostock
351;BS-Verl.-Rostock Bruhn
352;BS-Verlag
353;BS-Verlag-Rostock
