koerperschaft_id;koerperschaft_name
1;"""Grüne Aue"""
2;#BerlinAuthors
3;/
4;175er Verlag
5;1Druck, DIVO
6;27amigos
7;2A-Verlag, Akademie Freier Autoren e.V.
8;3. Oktober – Deutschland singt und klingt
9;360 Grad Verlag GmbH
10;3VerSchreiber
11;7Sterne-Ed.
12;A. Agic
13;A. Delon
14;A. Fritz Verlag
15;A. Hennig
16;A. Jochim Vela-Verlag
17;A. Springer
18;A.E. Johann-Gesellschaft e.V.
19;A.P.P. Verlag
20;A1 Verlag
21;A7L Thrilling Books Limited
22;AAVAA Verlag
23;AB - Die Andere Bibliothek
24;AB - Die Andere Bibliothek GmbH & Co. KG
25;AB, TravenBooks
26;AB1-Dr. & Verl.
27;ABLIT-Verl.
28;AGIRO Verlag
29;AGMA - Christlicher Buchverl.
30;AIKA Consulting GmbH
31;AJSP
32;AJZ-Dr. & Verl.
33;AKU!
34;AME Stöpel
35;APOLLON TEMPEL VERLAG
36;APRYCOT
37;ARW
38;AS Verlag
39;AT-Verl.
40;ATE
41;AUMAYER
42;AVM
43;Aaronis Coll.
44;Abera
45;Abl Verlag
46;Acabus Verlag
47;Achertäler Druckerei
48;Achter Verlag
49;Achterland
50;Adalbert-Stifter-Institut des Landes Oberösterreich / StifterHaus
51;Adlerstein-Verlag
52;Adlibri-Verl.
53;Adolf Dahlfeld Erben
54;Adonia
55;Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH
56;Adwork Köln - Halven Hahn Produktion
57;Afra-Sonnensturm-Verl.
58;AfricAvenir - Exchange & Dialogue
59;Afusoft
60;Agade Publ. House
61;Agenda Verlag
62;Agentur des Rauhen Hauses Hamburg
63;Agon-Sportverl.
64;Agroplant
65;Ahead and Amazing
66;Aisthesis Verlag
67;Akad.-Verl.
68;Akademie der Künste
69;Akademos
70;Akazia Verlag
71;Akazien Verlag
72;Alba Trust
73;Albatros
74;Alcorde Verlag
75;Alea Libris Verlag
76;Aleph Verlag
77;Alexander, Darleen
78;Alfa-Veda-Verlag
79;Alfred Kröner Verlag
80;Ali Hensel
81;Alibri-Verl.
82;Alkyon-Buchverl.
83;Allegria
84;Allitera Verlag
85;Almadinah gUG
86;Almanach-Ed.
87;Almus-Verl.
88;Almáriom
89;Alois Epple
90;Alpenpost Verl.
91;Alpha Litart
92;Alphabeta
93;Altan
94;Alte-Jeetzel-Buchh. und Verl.
95;Altis-Verlag
96;Altius
97;Amalthea
98;Amalthea Signum
99;Amative Publ.***5246918
100;Amazon Distribution
101;Amazon Media EU S.à r.l.
102;Ambaum-Verl.
103;Ambiente-Krimis
104;Amdora-Verlag
105;Amicus
106;Ammann
107;Ammersee Verlag
108;Ammianus-Verlag
109;Amonja Publishing
110;Amrûn Verlag
111;Amrûn-Verl.
112;AnOA edition
113;Anaconda Verlag
114;Ancient Mail Verlag Werner Betz
115;Anderland Books
116;Anderslieben Verlag Heckmann & Meinzer
117;Andiamo
118;Andra-Danu-Verl.
119;AndreBuch-Verl.
120;AndreBuchVerlag
121;Andres
122;Andresen
123;Angele
124;Angelika Lenz Verlag
125;Angst & Schrecken
126;Anikkänbrö & Knetemelk
127;Ankerherz
128;Anno-Verlag
129;Ansichtssache - Agentur für Gestaltung
130;Anthea-Verlag
131;Anton H. Konrad Verlag
132;Anuschka Weyand Buchverlag
133;Aphaia-Verl.
134;AphorismA
135;Apollon Tempel Verlag
136;Apollon-Verl.
137;Appenzeller Verlag
138;Appenzeller Volksfreund
139;April G. Dark c/o Gabriela Schmid
140;Aquensis
141;Arachne Verlag
142;Arbeitsgemeinschaft Selbstständiger Migranten e.V.
143;Arbeitskreis der Gleichstellungsbeauftragten des Märkischen Kreises, Arbeitskreis der Gleichstellungsbeauftragten des Märkischen
144;Arbeitskreis für Dorfentwicklung und Heimatpflege
145;Arcanum Fantasy Verlag
146;Arche
147;Archipel
148;Arco
149;Arcos-Verl.
150;Ardey-Verlag
151;Arete-Verl.
152;Argument Verlag
153;Arkade
154;Arkani Verlag
155;Armin-T-Wegner-Ges.
156;Arnshaugk
157;Arovell Verlag
158;Ars Edition
159;Ars Una
160;Ars Vivendi
161;Ars et Unitas
162;Art In Flow
163;Art Skript Phantastik
164;ArteMedia
165;Artemis & Winkler
166;Artemis und Winkler
167;Artio Wortkunstverlag
168;Artpress
169;Arunya-Verlag
170;Asaro Verlag
171;Aschenbeck-Verl.
172;Aschendorff Verlag
173;Ashera Verlag
174;Askan - Familienforschung & Heimatkunde, Bärbel und Beatrice Barnehl GbR
175;Asmussen
176;Asoka
177;Aspera* Verlag für Kunst, Kultur und Hoffnung
178;Asphalt-&-Anders-Verl.
179;Astrid Verlag
180;Atelier & Verlag Reinhard Fritz
181;Atelier Coaching & Training
182;Atelier Colorwaves
183;Atelier Margits Art
184;Atelier Monika Stocker
185;Athena-Verlag
186;Athene Media
187;Athesia Verlag
188;Atlantik Verlag
189;Atlantis
190;Aton
191;Atrioc-Verl.
192;Atrium Verlag
193;Attenkofer
194;Attoverl.
195;Audio-To-Go Publishing Ltd.
196;Aufbau Verlag
197;Aufland-Verl.
198;Augen Auf Verlag
199;August-von-Goethe-Literaturverl.
200;Augusta Presse- und Verlags GmbH
201;Aumayer
202;Aurinia
203;Auslesen-Verl.
204;Aussaat
205;Authal-Verl.
206;Autoren Netzwerk
207;Autoren-Feder-Verl.
208;Autorenforum Köln e.V., Autorenforum Köln e.V.
209;Autorengruppe Märkischer Kreis
210;Autorenkollektiv Nord c/o Sören Steding
211;Autorenkreis Ruhr-Mark e.V.
212;Autorenquelle Limburg
213;Autumnus Verlag
214;Avanti-Verl.
215;Ave
216;Avinus
217;AvivA
218;Avocado Verlag
219;Axiomy Verlag
220;Axon
221;Ayon-Verlag
222;Ayurveda-Verein Nexenhof
223;Azur
224;B. Kühlen Verlag
225;B. Mastori
226;B. Montua
227;B.R. Filtec GmbH c/o Tahja Bennet
228;BACOPA VERLAG
229;BC Publications
230;BE, Belle Epoque Verlag
231;BE, Belle Époque Verlag
232;BELLA triste e.V.
233;BGG-Verlag
234;BHN Books, Verlag Alexander Hinz
235;BJ-Autorenservice.de
236;BLB
237;BMV-Verl. Burau
238;BOAS-Verl.
239;BOKEN Regionalverlag
240;BOOKSun-Limited
241;BROTLOS Verlag
242;BS Verlag Rostock
243;BS motor Vertriebs und Verlags GmbH
244;BSH-Verl.
245;BUCHER
246;BVK, Buch-Verl. Kempen
247;BVK, Buchverl. Krefeld
248;BVjA e.V.
249;Baaltis Austria
250;Baar
251;Bachem
252;Bachem, J P
253;Bachem, J. P., Verlag GmbH
254;Bacopa Verlag
255;Badischer Landwirtschafts-Verl.
256;BadnerBuch-Verl.
257;Baeschlin Verlag
258;Bahnmayer
259;Baier
260;Baier-BPB-Verl.
261;Balaena-Verlag
262;BaltArtGmbH Switzerland
263;Balthasar-Verl.
264;Baltica-Verl. Glücksburg
265;Bar-Verlag
266;Bartels & Bleil, Verlag für ästhetischen Widerstand
267;Bartlmüllner
268;Barton Verlag
269;BasisDruck Verlag
270;Bassermann
271;Bastei Lübbe
272;Bauer
273;Bauer-Verlag
274;Baumann Verlag
275;Bautz
276;Bayer Verlag
277;Bayerischer Poeten- & Belletristik-Verlag
278;Bayerland
279;Be + Be
280;Be+Be-Verlag
281;Be.bra-Verl.
282;BeJot
283;Beck
284;Beck, C H
285;Begedia Verlag
286;Begegnungen - Verlag für Natur und Leben
287;Beggerow
288;Belletris-Verl.
289;Belser
290;Beltz
291;Beluga-Verl.
292;Benedetto-Verl.
293;Benevento
294;Benguela Publ.
295;Benteli
296;Berchtesgadener Anzeiger
297;Berchtold-Haller-Verl.
298;Berenkamp
299;Berger
300;Bergischer Verlag
301;Bergmann Verlag
302;Bergstadtverl. Korn
303;Bergverein zu Hüttenrode e.V.
304;Berlin Univ. Press
305;Berlin Verlag
306;Berliner Kreis
307;Berliner Taschenbuch-Verl.
308;Bernardus
309;Bernardus-Verl.
310;Berner Schriftstellerinnen- und Schriftsteller-Verein
311;Bernewitz, Paul
312;Bernstein-Verl.
313;Bernstein-Verlag
314;Bertelsmann
315;Bertram
316;Bertuch Verlag GmbH
317;Best-Off-Verlag
318;Betz
319;Beurenia-Verl. Joos
320;Beyond-Affinity-Verl.
321;Biberacher Verlagsdruckerei
322;Biberacher Verlagsdruckerei GmbH & Co. KG
323;Bibliogr. Inst.
324;Bibliothek der Provinz GmbH
325;Bild und Heimat
326;BildSpracheWortLaut
327;Bilderstöckchen-Buchvertrieb
328;Birgit Otten c/o Papyrus Autoren-Club
329;Birkhäuser
330;Birnbaum
331;Black Library
332;Black Umbrella Publisching
333;Black Umbrella Publishing
334;Blackelephant Publishing
335;Blaetterhaus
336;Blanvalet
337;Blatt-Verl.
338;Blattlaus Verlag
339;Blattlaus-Verlag
340;Blauer Punkt Verlag Fasson M
341;Blaukreuz-Verlag
342;Blaulicht-Verlag
343;Blitz
344;Blix - der neue Selbstverl.
345;Block-Verlag
346;Blohn
347;Bloomsbury Taschenbuch
348;Blue Panther Books
349;BlueStar-Verl.
