koerperschaft_id;koerperschaft_name;koerperschaft_name_gnd;sitz_gnd;gruendungsdatum_gnd;aufloesungsdatum_gnd;gnd_nummer;homepage_gnd;gnd_sachgruppe
1;"""Grüne Aue""";;;;;;;
2;#BerlinAuthors;;;;;;;
3;/;;;;;;;
4;175er Verlag;175er Verlag;;;;1064206646;http://www.schutter-verlag.com;Buchwissenschaft, Buchhandel
5;1Druck, DIVO;;;;;;;
6;27amigos;;;;;;;
7;2A-Verlag, Akademie Freier Autoren e.V.;Akademie freier Autoren e.V. 2A-Verlag;Hamburg;1992;;1064738664;http://www.2a-verlag.de;Buchwissenschaft, Buchhandel
8;3. Oktober – Deutschland singt und klingt;;;;;;;
9;360 Grad Verlag GmbH;360 Grad Verlag;"Schriesheim; Leimen (Rhein-Neckar-Kreis)";2017;;1363176633;;
10;3VerSchreiber;;;;;;;
11;7Sterne-Ed.;;;;;;;
12;A. Agic;;;;;;;
13;A. Delon;;;;;;;
14;A. Fritz Verlag;A. Fritz Verlag;Frankfurt am Main;;;1065355971;http://www.a-fritz-verlag.de;Buchwissenschaft, Buchhandel
15;A. Hennig;;;;;;;
16;A. Jochim Vela-Verlag;Vela Verlag;;;;1066114188;http://www.vela-verlag.de;Buchwissenschaft, Buchhandel
17;A. Springer;A. Springer Verlag AG;;;;1064061044;;Buchwissenschaft, Buchhandel
18;A.E. Johann-Gesellschaft e.V.;;;;;;;
19;A.P.P. Verlag;A.P.P. Verlag;Laichingen;;;1065027834;;Buchwissenschaft, Buchhandel
20;A1 Verlag;A1-Verlag;München;16.02.1971;;4584260-7;http://www.a1-verlag.de;Buchwissenschaft, Buchhandel
21;A7L Thrilling Books Limited;;;;;;;
22;AAVAA Verlag;AAVAA Verlag UG;Hohen Neuendorf;;;1064738710;http://www.aavaa.de;Buchwissenschaft, Buchhandel
23;AB - Die Andere Bibliothek;AB - Die Andere Bibliothek GmbH & Co. KG;Berlin;2012;;1067137653;http://www.die-andere-bibliothek.de;Buchwissenschaft, Buchhandel
24;AB - Die Andere Bibliothek GmbH & Co. KG;AB - Die Andere Bibliothek GmbH & Co. KG;Berlin;2012;;1067137653;http://www.die-andere-bibliothek.de;Buchwissenschaft, Buchhandel
25;AB, TravenBooks;;;;;;;
26;AB1-Dr. & Verl.;AB1 - Druck & Verlag;Alteglofsheim;;;1064731481;http://www.ab1-druck.de;Buchwissenschaft, Buchhandel
27;ABLIT-Verl.;ABLIT Verlag e.K.;München;;;1065495269;http://www.ablitverlag.de;Buchwissenschaft, Buchhandel
28;AGIRO Verlag;Agiro Verlag;Neustadt an der Weinstraße;;;1065487916;;Buchwissenschaft, Buchhandel
29;AGMA - Christlicher Buchverl.;AGMA Christlicher Verlag;Saarlouis;;;1067137254;http://agma-christlicher-buchverlag.de;Buchwissenschaft, Buchhandel
30;AIKA Consulting GmbH;;;;;;;
31;AJSP;AJSP;Berlin;;;1065979312;;Buchwissenschaft, Buchhandel
32;AJZ-Dr. & Verl.;AJZ-Druck und Verlag GmbH;Bielefeld;;;1066116342;http://www.ajzverlag.de;Buchwissenschaft, Buchhandel
33;AKU!;AKU-VERLAG;Meschede;;;1065856180;;Buchwissenschaft, Buchhandel
34;AME Stöpel;AME Stöpel Verlag;Flieden;;;1065503989;;Buchwissenschaft, Buchhandel
35;APOLLON TEMPEL VERLAG;;;;;;;
36;APRYCOT;;;;;;;
37;ARW;Arbeitsgemeinschaft für Religions- und Weltanschauungsfragen;München;1976;;2046014-4;http://www.religio.de/arw;"Buchwissenschaft, Buchhandel; Allgemeine und vergleichende Religionswissenschaft, Nichtchristliche Religionen"
38;AS Verlag;AS Verlag;Zürich;1991;;1064118534;https://asverlag.lesestoff.ch/;Buchwissenschaft, Buchhandel
39;AT-Verl.;AT Verlag;"München; Aarau";1976;;1064053424;http://www.at-verlag.ch;Buchwissenschaft, Buchhandel
40;ATE;Ate;;;;1086834895;;
41;AUMAYER;Aumayer druck + media;Munderfing;;;1064212093;https://aumayer.co.at;Buchwissenschaft, Buchhandel
42;AVM;Akademische Verlagsgemeinschaft München;München;;;1067137009;http://www.avm-verlag.de;Buchwissenschaft, Buchhandel
43;Aaronis Coll.;Aaronis Collection;;2006;;1065982186;http://www.aaronis-collection.com;Buchwissenschaft, Buchhandel
44;Abera;Abera Verlag;Hamburg;;;106412531X;http://www.abera.de;Buchwissenschaft, Buchhandel
45;Abl Verlag;Abl Bauernblatt Verlags-GmbH;;;;1067148825;;Buchwissenschaft, Buchhandel
46;Acabus Verlag;Acabus Verlag;Hamburg;;;1065972490;;Buchwissenschaft, Buchhandel
47;Achertäler Druckerei;Achertäler Druckerei GmbH & Co. KG;Kappelrodeck;;;1065658141;http://www.achertaeler.com;Buchwissenschaft, Buchhandel
48;Achter Verlag;Achter Verlag;;XX.11.2007;;1065528981;http://www.achter-verlag.de;Buchwissenschaft, Buchhandel
49;Achterland;Achterland Verlagscompagnie;Vreden;;;1065790996;;Buchwissenschaft, Buchhandel
50;Adalbert-Stifter-Institut des Landes Oberösterreich / StifterHaus;Adalbert-Stifter-Institut des Landes Oberösterreich;Linz;;;2003604-8;https://stifterhaus.at/;"Archiv, Museum; Literarisches Leben"
51;Adlerstein-Verlag;Adlerstein-Verlag;Wiesmoor;;;1065147198;;Buchwissenschaft, Buchhandel
52;Adlibri-Verl.;adlibri Verlag GmbH & Co. KG;Hamburg;01.11.2001;;1065361637;http://www.adlibri.de;Buchwissenschaft, Buchhandel
53;Adolf Dahlfeld Erben;Adolf Dahlfeld Erben;Barth;;;1066110859;;Buchwissenschaft, Buchhandel
54;Adonia;Adonia (Körperschaft);Brittnau;1979;;16060915-X;http://www.adonia.ch;Gruppe, Organisationssoziologie, Interaktion
55;Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH;;;;;;;
56;Adwork Köln - Halven Hahn Produktion;;;;;;;
57;Afra-Sonnensturm-Verl.;Afra Sonnensturm Verlag;Neusäß;;;1065169558;http://www.afra-anna-schaefer.de;Buchwissenschaft, Buchhandel
58;AfricAvenir - Exchange & Dialogue;AfricAvenir - Exchange & Dialogue;Berlin;;;1064923186;http://www.exchange-dialogue.com;Buchwissenschaft, Buchhandel
59;Afusoft;AFUSOFT Kommunikationstechnik GmbH;;1986;;1065709994;http://www.afusoft.de;Buchwissenschaft, Buchhandel
60;Agade Publ. House;;;;;;;
61;Agenda Verlag;Agenda-Verlag;;;;1065216955;;Buchwissenschaft, Buchhandel
62;Agentur des Rauhen Hauses Hamburg;Agentur des Rauhen Hauses Hamburg GmbH;Norderstedt;11.02.1842;;1065786999;http://www.agentur-rauhes-haus.de;Buchwissenschaft, Buchhandel
63;Agon-Sportverl.;AGON-Sportverlag (Kassel);Kassel;;;3020655-8;http://www.agon-sportverlag.de;Buchwissenschaft, Buchhandel
64;Agroplant;Agroplant GmbH - Umweltberatung -;Schwedt/Oder;01.06.1992;;1066133085;http://www.agroplant.de;Buchwissenschaft, Buchhandel
65;Ahead and Amazing;Ahead and Amazing Verlag;;;;106570884X;http://www.aheadandamazing.de;Buchwissenschaft, Buchhandel
66;Aisthesis Verlag;AISTHESIS Verlag GmbH & Co. KG;Bielefeld;01.09.1985;;1064726038;http://www.aisthesis.de;Buchwissenschaft, Buchhandel
67;Akad.-Verl.;;;;;;;
68;Akademie der Künste;Akademie der Künste;Berlin;01.10.1993;;2015876-2;https://www.adk.de/;"Kultur, Künste allgemein; Buchwissenschaft, Buchhandel; Wissenschaft"
69;Akademos;akademos Wissenschaftsverlag GmbH;Hamburg;;;1064913547;http://www.akademos.de;Buchwissenschaft, Buchhandel
70;Akazia Verlag;Akazia Verlag;;;;1065104529;http://www.akaziaverlag.at;Buchwissenschaft, Buchhandel
71;Akazien Verlag;Akazien Verlag;Berlin;;;1065658230;http://www.akazien-verlag.de;Buchwissenschaft, Buchhandel
72;Alba Trust;Alba Trust Verlag e.U. Inh. Adelheid Pexa;;;;1065861591;http://www.albatrust.at;Buchwissenschaft, Buchhandel
73;Albatros;;;;;;;
74;Alcorde Verlag;alcorde verlag;Essen;;;1064300111;http://www.alcorde.de;Buchwissenschaft, Buchhandel
75;Alea Libris Verlag;;;;;;;
76;Aleph Verlag;ALEPH VERLAG;;;;1066132062;;Buchwissenschaft, Buchhandel
77;Alexander, Darleen;;;;;;;
78;Alfa-Veda-Verlag;Alfa-Veda-Verlag;Oebisfelde;;;1064300103;;Buchwissenschaft, Buchhandel
79;Alfred Kröner Verlag;Alfred-Kröner-Verlag;"Stuttgart; Leipzig";;;2003759-4;https://www.kroener-verlag.de/impressum/;Buchwissenschaft, Buchhandel
80;Ali Hensel;;;;;;;
81;Alibri-Verl.;;;;;;;
82;Alkyon-Buchverl.;;;;;;;
83;Allegria;Allegria;Berlin;;;1065166176;http://www.ullstein-buchverlage.de;Buchwissenschaft, Buchhandel
84;Allitera Verlag;Allitera Verlag;München;2001;;1065971788;;Buchwissenschaft, Buchhandel
85;Almadinah gUG;;;;;;;
86;Almanach-Ed.;;;;;;;
87;Almus-Verl.;;;;;;;
