va_ausgabe_id;va_ausgabe_titel;vonveranstaltung;veranstaltung_id;jahr;gewinner;gewinnertexte;jury;themenvorgabe;preise;Quelle
1;32. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2008;"Rammsted, Tilman;Orths, Markus;Findeis, Patrick;Setz, Clemens J.;Rammsted, Tilman";"Der Kaiser von China; Das Zimmermädchen; Kein schöner Land; Die Waage; Der Kaiser von China";"Spinnen, Burkhard;Heiz, André Vladimir;März, Ursula;Mangold, Ijoma Alexander;Nüchtern, Klaus;Strigl, Daniela;Sulzer, Alain Claude";;"Ingeborg-Bachmann-Preis; Telekom-Preis; 3sat-Preis; Ernst-Willner-Preis; Automatischer Literaturkritikerpreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/833/
2;33. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2009;"Petersen, Jens;Bönt, Ralf;Sander, Gregor;Born, Katharina;Krampitz, Karsten";"Bis dass der Tod; Der Fotoeffekt; Winterfisch; Fifty Fifty; Heimgehen";"Spinnen, Burkhard;Feßmann, Meike;Fleischanderl, Karin;Jandl, Paul;Keller, Hildegard Elisabeth;Mangold, Ijoma Alexander;Sulzer, Alain Claude";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/2316/
3;34. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2010;"Wawerzinek, Peter;Dorothee Elmiger;Zander, Judith;Scholz, Aleks;Wawerzinek, Peter";"Rabenliebe; Einladung an die Waghalsigen; Dinge, die wir heute sagten; Google Earth; Rabenliebe";"Spinnen, Burkhard;Feßmann, Meike;Fleischanderl, Karin;Jandl, Paul;Keller, Hildegard Elisabeth;Winkels, Hubert;Sulzer, Alain Claude";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/2900/
4;35. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2011;"Haderlapp, Maja;Popp, Steffen;Bußmann, Nina;Randt, Leif;Klupp, Thomas";"Im Kessel; Spur einer Dorfgeschichte; Große Ferien; Schimmernder Dunst über CobyCounty; 9to5 Hardcore";"Spinnen, Burkhard;Feßmann, Meike;Jandl, Paul;Keller, Hildegard Elisabeth;Strigl, Daniela;Sulzer, Alain Claude;Winkels, Hubert";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/3654/
5;36. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2012;"Martynova, Olga;Nawrat, Matthias;Kränzler, Lisa;Mahlke, Inger-Maria;Travnicek, Cornelia";"Ich werde sagen: ‚Hi!‘; Unternehmer; Willste abhauen; [None]; Junge Hunde";"Spinnen, Burkhard;Caduff, Corina;Feßmann, Meike;Jandl, Paul;Keller, Hildegard Elisabeth;Strigl, Daniela;Winkels, Hubert";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/4154/
6;37. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2013;"Petrowskaja, Katja;Güntner, Verena;Maack, Benjamin;Helle, Heinz;Kegele, Nadine";"Vielleicht Esther; Es bringen; „Wie man einen Käfer richtig fängt“ von Joachim Kaltenbach; Wir sind schön; Scherben schlucken";"Spinnen, Burkhard;Feßmann, Meike;Jandl, Paul;Keller, Hildegard Elisabeth;Steiner, Juri;Strigl, Daniela;Winkels, Hubert";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/4326/
7;38. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2014;"Rubinowitz, Tex;Fehr, Michael;Varatharajah, Senthuran;Gericke, Katharina;Klemm, Gertraud";"Wir waren niemals hier; Simeliberg (Auszüge); Vor der Zunahme der Zeichen; DOWN DOWN DOWN To The Queen Of Chinatown; Ujjayi";"Kegel, Sandra;Gmünder, Stefan;Kastberger, Klaus;Feßmann, Meike;Keller, Hildegard Elisabeth;Steiner, Juri;Winkels, Hubert";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; Ernst-Willner-Preis; BKS Bank-Publikumspreis";http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/archiv/4859/
8;39. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2015;"Gomringer, Nora;Fritsch, Valerie;Grigorcea, Dana;Fritsch, Valerie";"Recherche; Das Bein; Das primäre Gefühl der Schuldlosigkeit; Das Bein";"Winkels, Hubert;Kastberger, Klaus;Kegel, Sandra;Gmünder, Stefan;Feßmann, Meike;Steiner, Juri;Keller, Hildegard Elisabeth";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2760581/
9;40. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2016;"Otoo, Sharon Dodua;Zwicky, Dieter;Wolf, Julia;Sargnagel, Stefanie";"Herr Gröttrup setzt sich hin; Los Alamos ist winzig; Walter Nowak bleibt liegen; Penne vom Kika";"Winkels, Hubert;Kastberger, Klaus;Kegel, Sandra;Gmünder, Stefan;Feßmann, Meike;Steiner, Juri;Keller, Hildegard Elisabeth";;"Ingeborg-Bachmann-Preis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2783608/
10;41. Tage der deutschsprachigen Literatur;Ingeborg-Bachmann-Preis;;2017;"Schmalz, Ferdinand;Wray, John;Nickel, Eckhart;Molinari, Gianna;Peschka, Karin";"mein lieblingstier heißt winter; Madrigal; Hysteria; Loses Mappe; Wiener Kindl";"Winkels, Hubert;Gmünder, Stefan;Feßmann, Meike;Kegel, Sandra;Kastberger, Klaus;Keller, Hildegard Elisabeth;Wiederstein, Michael";;"Ingeborg-Bachmann-Preis; Deutschlandfunkpreis; KELAG-Preis; 3sat-Preis; BKS Bank-Publikumspreis";https://bachmannpreis.orf.at/v3/stories/2853856/
