literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beiträge;verfasser_ke_beiträge
;Sinn und Form;;1;2008;Machwerk oder das Schichtbuch des Flick von Lauchhammer;Braun, Volker
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;185;2008;"Rumgehen; Mit der Strömung";"Selge, Albrecht;Kaminski, Volker"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;186;2008;"Nachbar und Schreckgespenst. Eine lange Geschichte missglückter Integration kurz erzählt; Adam und Evelyn";"Fatah, Sherko;Schulze, Ingo"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;187;2008;Aussichten;Meierfrankenfeld, Beate
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;188;2008;Unterwegs mit Rumen;Lewitscharoff, Sibylle
;Sinn und Form;;3;2008;Erinnerungen an meine Mutter;Lange, Hartmut
;Sinn und Form;;4;2008;"Lord Nicht; Fast ein Märchen; 5:30 Auftritt; 6:10 Das Traumschiff; 7:20 Öffnen Ausnehmen Hacken";"Kronauer, Brigitte;Schulze, Ingo;Hofmann, Patrick;Hofmann, Patrick;Hofmann, Patrick"
;Sinn und Form;;6;2008;Mein See;Bärwinkel, Roland
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;Sonderheft;2008;"Das Deutschlandleben eines harmlosen orientalischen Banditen; Mit der Metro in Kiew";"Hvorecky, Michael;Kröhnke, Friedrich"
;Sinn und Form;;1;2009;So sag Jerusalem, welches Tor;Hünger, Nancy
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;189;2009;"Ventimiglia di Sicilia; Meine anderen Leben. Sieben Erzählungen aus einer Serie; Der Wolf; Pipihendi; Das Tier; Die Münzen; Der Turm; Die Ernte; Die Käsehändlerin";"Dröscher, Daniela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela"
;Sprache im technischen Zeitalter (Spr.i.t.Z.);;190;2009;"Kalendergeschichten; Am Ball; Nichts umsonst!; Die Stille danach; Einer, der sich getraut; Nichts geschenkt!; Stille Verlierer; Volkes Gesänge";"Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Zaimoglu, Feridun"
