literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beitraege;verfasser_ke_beitraege
LZA1;Sinn und Form;LZ68;1;2008;Machwerk oder das Schichtbuch des Flick von Lauchhammer;Braun, Volker
LZA2;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;185;2008;"Rumgehen; Mit der Strömung";"Selge, Albrecht;Kaminski, Volker"
LZA3;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;186;2008;"Nachbar und Schreckgespenst. Eine lange Geschichte missglückter Integration kurz erzählt; Adam und Evelyn";"Fatah, Sherko;Schulze, Ingo"
LZA4;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;187;2008;Aussichten;Meierfrankenfeld, Beate
LZA5;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;188;2008;Unterwegs mit Rumen;Lewitscharoff, Sibylle
LZA6;Sinn und Form;LZ68;3;2008;Erinnerungen an meine Mutter;Lange, Hartmut
LZA7;Sinn und Form;LZ68;4;2008;"Lord Nicht; Fast ein Märchen; 5:30 Auftritt; 6:10 Das Traumschiff; 7:20 Öffnen Ausnehmen Hacken";"Kronauer, Brigitte;Schulze, Ingo;Hofmann, Patrick;Hofmann, Patrick;Hofmann, Patrick"
LZA8;Sinn und Form;LZ68;6;2008;Mein See;Bärwinkel, Roland
LZA9;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2008;"Das Deutschlandleben eines harmlosen orientalischen Banditen; Mit der Metro in Kiew";"Hvorecky, Michael;Kröhnke, Friedrich"
LZA10;Sinn und Form;LZ68;1;2009;So sag Jerusalem, welches Tor;Hünger, Nancy
LZA11;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;189;2009;"Ventimiglia di Sicilia; Meine anderen Leben. Sieben Erzählungen aus einer Serie; Der Wolf; Pipihendi; Das Tier; Die Münzen; Der Turm; Die Ernte; Die Käsehändlerin";"Dröscher, Daniela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela;Heissenberger, Michaela"
LZA12;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;190;2009;"Kalendergeschichten; Am Ball; Nichts umsonst!; Die Stille danach; Einer, der sich getraut; Nichts geschenkt!; Stille Verlierer; Volkes Gesänge";"Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Theobaldy, Jürgen;Zaimoglu, Feridun"
LZA13;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;191;2009;Die Tränen des Feuervogels;Messmer, Matthias
LZA14;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;192;2009;"Blaue Klinge; Beerdigung; Das Geheimnis der Siedlung";"Anmar, Angelica;Loschütz, Gert;Kaminski, Volker"
LZA15;Sinn und Form;LZ68;3;2009;"Der Mörder meines Bruders; Flickwerk";"Lange, Hartmut;Braun, Volker"
LZA16;Sinn und Form;LZ68;6;2009;Das Motorrad;Hürlimann, Thomas
LZA17;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;193;2010;Kaprun;Radl, Monika
LZA18;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;194;2010;"""Sie haben Ihr Ziel erreicht!""";Schulze, Ingo
LZA19;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;195;2010;Münchner Strategien;Pleschinski, Hans
LZA20;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;196;2010;"28; Perpetuum mobile";"Kurzeck, Peter;Meißnitzer, Hans-Peter"
LZA21;Sinn und Form;LZ68;5;2010;"Wenn alle ist, ist alle; Im Museum";"Cziesla, Wolfgang;Lange, Hartmut"
LZA22;Sinn und Form;LZ68;6;2010;Notturno;Wodin, Natascha
LZA23;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;197;2011;"Schwund; the perfect mystery cannot be written; VII (Die Lebenden)";"Hartwell, Katharina;Schönthaler, Philipp;Wemme, Eva Ruth"
LZA24;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;198;2011;Die schönen Häuser;Fatah, Sherko
LZA25;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;199;2011;Übers Feld;Iwanowski, Sarah
LZA26;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;200;2011;"Trainee Max; Sans Soleil";"Spinnen, Burkhard;Dröscher, Daniela"
LZA27;Sinn und Form;LZ68;3;2011;"Die hellen Haufen; Russische Zone; Begegnung mit dem Oktopus";"Braun, Volker;Meckel, Christoph;Wolfram, Gernot"
LZA28;Sinn und Form;LZ68;6;2011;"Das Ausland des Alters; Schwarzes Licht";"Wodin, Natascha;Döring, Bianca"
LZA29;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2011;"Materialien zu einem Bericht; Fear and Loathing in Sofia; Ganz unten - Istrien undercover";"Popp, Steffen;Hennig, Falko;Krampitz, Karsten"
LZA30;Sinn und Form;LZ68;2;2012;"Das große Gehege; Capriccios";"Grünbein, Durs;Böhme, Thomas"
LZA31;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;201;2012;"Fortgehen, indem man dableibt; Zerflackert; Ingeneure der Zeit; Sommer mit Roxie; Die Feindseligkeit lebenswichtiger Organe an sich; Postkarte; Das Deutschlandgerät";"Cusanit, Kenah;Dietrich, Enrico;Ehrlich, Roman;Friedrich, Jan;Lappert, Simone;Sprung, Kati;Schulze, Ingo"
LZA32;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;202;2012;"Die Wasser der Zeit; Ich fliege mit dem Wind";"Weißenborn, Theodor;Weißenborn, Theodor"
LZA33;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;203;2012;"Durch die Fliege betrachtet; Im Hotelzimmer; Im Zug";"Göttfert, Constantin;Göttfert, Constantin;Göttfert, Constantin"
LZA34;Sinn und Form;LZ68;3;2012;Der Herr des Berges. Eine Geschichte.;Buselmeier, Michael
LZA35;Sinn und Form;LZ68;5;2012;Die Ewigkeit des Augenblicks;Lange, Hartmut
LZA36;Sinn und Form;LZ68;1;2013;"Fischwaren; Die Musiker; Das Salzschloss; Die Nonne";"Grünbein, Durs;Meiners, Eibe;Meiners, Eibe;Meiners, Eibe"
LZA37;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;205;2013;"Der eigentliche Wollaffe; Die Unternehmerin";"Angermann, Franziska;Angermann, Franziska"
LZA38;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;208;2013;"Wie ich mit meiner Zunge begann; Nasenhörner";"Präauer, Teresa;Kim, Anna"
LZA39;Sinn und Form;LZ68;3;2013;Die Farben der Wörter;Glasser, Marianne
LZA40;Sinn und Form;LZ68;4;2013;Die Insel;Seiler, Lutz
LZA41;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;209;2014;"Der Hungerverlust; Pärchenabend; Vermächtnis der Tiere; Eulen; Die Wiegemaschine";"Kluth, Carsten;Lemke, Hanna;Obexer, Maxi;Seydlitz, Lisa-Maria;Widder, Roman"
LZA42;Sinn und Form;LZ68;3;2014;Allwurzler;Klein, Georg
LZA43;Sinn und Form;LZ68;4;2014;Das Dorf der blauen Frauen;Winkler, Katharina
LZA44;Sinn und Form;LZ68;5;2014;Ins Nachtbuch;Sayer, Walle
