zeitschrift_id;issn;zeitschrift_name;creator;zeitschriftverlegtvon;erstveroeffentlichung;zyklus;auflagenhöhe;Quelle
;;& Radieschen;"Plammer, Andreas;Anders, Robert";Verein ALSO (Anno Literatur Sonntag);2006;viermal jährlich;?;
;0721-0493;[kon]-paper;"Lobodzinski, Pia;Hell, Julia";[kon] Paper e.V.;2015;jährlich;1000;
;1618-1727;[SIC];"Wenzel, Christoph;Ketteler, Daniel";[SIC] – Literaturverlag;2005;unregelmäßig etwa alle drei Jahre;?;
;2199-6636;Abwärts;"Mießner, Robert;Papenfuß, Bert;Pehlemann, Alexander;Pohl, Kai;Ret, Stefan;Schreier, Andreas;Schulz, Kristin;Velarde, Hugo;Wolf, Dietmar;Wildange, Karsten";BasisDruck Verlag;2014;3-4 mal pro Jahr;?;https://zdb-katalog.de/title.xhtml?idn=1050007816&view=brief
;0002-3957;Akzente;"Krüger, Michael;Lendle,  Jo";Carl Hanser Verlag;1954;vierteljährlich;2000;https://zdb-katalog.de/title.xhtml?idn=01000193X&view=full
;0720-3098;Allmende – Zeitschrift für Literatur;Schmidt-Bergmann, Hansgeorg;Mitteldeutscher Verlag;1981;halbjährlich;2000;
;0721-0493;Am Erker;"Deggerich, Georg;Feldmann, Joachim;Funk, Gerald;Heckmann, Andreas;Jensen, Marcus;Lingnau, Frank";Daedalus Verlag;1977;halbjährlich;?;https://www.literaturport.de/literaturzeitschriften/register/zeitschrift/am-erker/
;2960-4281;apostrophe;"Hengstberger, Anna;Arbinger, David;Baumgartner, Katharina;Zeller, Maximilian";Verein zur Förderung und Vernetzung von Jugendkultur;2020;halbjährlich;?;https://www.proberaumscheibbs.com/product-page/ausgabe-5
;2518-3583;ausreißer - die Grazer Wandzeitung;Schalk, Evelyn;;2004;vier bis fünfmal jährlich;?;https://portal.issn.org/resource/ISSN/2518-3583
;1613-6713;außer.dem;"Mund, Pega;Steigenberger, Armin;Steigenberger, Christel;Steiner, Thomas";p.l.o.t. e.V.;1999;jährlich;?;https://portal.issn.org/resource/ISSN/1613-6713
;1618-1727;BELLA triste ;"Briks, Lina;Bullerdiek, Lisa;Busch, Tilman;Dönicke, Clara;Galm, Jonas;Hecken, Nina;Kuppen, Lara;Pfeiffer, Agnes";BELLA triste e.V.;2001;dreimal jährlich;2.400;https://www.bellatriste.de/impressum
;;DAS GRAMM;Sielemann, Patrick;DAS GRAMM e.K.;2021;alle zwei Monate;?;
;2409-0222;Das Magazin;;Kurznachzehn Verlag;1924;monatlich;46000;
;nur ISBNs pro Ausgabe;Das Narr;"Frauchiger, René;Gloor, Lukas";Das Verlag;2011;dreimal jährlich;?;
