person_id;person_name;person_name_gnd;person_username_ff;beruf_beschaeftigung_gnd;geburtsdatum_gnd;sterbedatum_gnd;alter_ff;geschlecht_gnd_ff;gnd_nummer;person_homepage_gnd_ff
1;!1;!1;;;;;;;;
2;"""Das Geheimnis des Überseekoffers"", Autorengruppe";"""Das Geheimnis des Überseekoffers"", Autorengruppe";;;;;;;;
3;#wirschreibenfürahrweiler, Autorengemeinschaft;#wirschreibenfürahrweiler, Autorengemeinschaft;;;;;;;;
4;(Autorin), the_climbing_rose;(Autorin), the_climbing_rose;;;;;;;;
5;***, Titania;***, Titania;Vollmondmaedchen;;;;;;;
6;*-*, Danny;*-*, Danny;Ryuk166;;;;;;;
7;"*...*, >;<";"*...*, >;<";FourDairies;;;;;;;http://beaconendlesshills.yooco.de/home.html?PHPSESSID=nmjshjlfo1nuoeujpfojbilaf4
8;-chan, Nauka;-chan, Nauka;NaukaRyu;;;;29;weiblich;;
9;-chan, Yuki;-chan, Yuki;lunaticYukidaruma;;;;28;weiblich;;
10;-minu;-minu;;;;;;;;
11;-san, Meg;-san, Meg;Meg;;;;;weiblich;;
12;..., ...;"*...*, >;<";Espeon-chan;;;;23;weiblich;;https://www.youtube.com/channel/UCxDj2lPcLOZ0nWMPHuSh-qQ/feed?activity_view=3
13;..., Akira;..., Akira;Shamanwolf94;;;;;weiblich;;
14;..., Ein Cooler;..., Ein Cooler;Vionix700;;;;24;männlich;;
15;..., Estaniel;..., Estaniel;Estaniel;;;;30;weiblich;;
16;..., Jessy und Line;..., Jessy und Line;JessyLine;;;;;;;
17;..., Luka;..., Luka;LukaxMiku;;;;26;weiblich;;
18;..., Mila;..., Mila;burningDarkness;;;;;weiblich;;http://burningdarkness.hat-gar-keine-homepage.de/
19;..., Nicola;..., Nicola;Schwarze Lilien;;;;;weiblich;;http://nicolanini.jimdo.com/
20;..., Suki-Sayuri;..., Suki-Sayuri;FallenArchangel;;;;;weiblich;;http://ask.fm/SukiSayuri
21;..., Vadipa;..., Vadipa;Vadipa;;;;26;weiblich;;http://www.fanfiktion.de/u/MidnightWolf
22;"/ ... / ;D, Zuckertoertchen :D";"/ ... / ;D, Zuckertoertchen :D";sweet-sugar;;;;29;weiblich;;
23;223, Lin;223, Lin;lin223;;;;39;weiblich;;
24;279, Snoopy;279, Snoopy;Snoopy279;;;;;weiblich;;
25;29, star;29, star;star29;;;;23;;;
26;4TheWeak, SanityIs;4TheWeak, SanityIs;SaneBonkersOffRocker;;;;;weiblich;;
27;95, Dahlia;95, Dahlia;Dahlia95;;;;29;weiblich;;
28;:), Sunny;:), Sunny;Kogumachip;;;;24;weiblich;;http://sunny.has-no-homepage.net/
29;:-x, Schneefall;:-x, Schneefall;Schneefall;;;;;weiblich;;
30;";D, :3";";D, :3";Mire;;;;;;;
31;??, ??;"*...*, >;<";Stachelmaedchen;;;;29;weiblich;;
32;???, Julia;???, Julia;Shini-Girl;;;;33;weiblich;;
33;?_?, Leo;?_?, Leo;Leo-Fantasy;;;;;weiblich;;
34;A. Nakhosteen, Gabriele;A. Nakhosteen, Gabriele;;;;;;;;
35;A., Carlos;A., Carlos;;;;;;;;
36;A., Kathy;A., Kathy;LucifersDream;;;;33;weiblich;;
37;ALTINKAYA, M. Y.;ALTINKAYA, M. Y.;;;;;;;;
38;ATAK;ATAK;;"Künstler; Illustrator; Hochschullehrer; Comicautor";1967;;;Männlich;115004114;http://www.fcatak.de
39;Aaken, Talishja van;Aaken, Talishja van;;Verleger;;;;Unbekannt;142008079;
40;Aba, Devran;Aba, Devran;;;;;;;;
41;Abate, Anu;Abate, Anu;;;;;;;;
42;Abdel-Aziz, Mohamed;Abdel-Aziz, Mohamed;;"Schriftsteller; Übersetzer";1945;;;Männlich;109237080;
43;Abdulah-Müller, Annelies;Abdulah-Müller, Annelies;;;1979;;;Unbekannt;135692040;
44;Abdullayev, Vugar;Abdullayev, Vugar;;Informatiker;;;;Unbekannt;136530616X;
45;Abel, Andrea;Abel, Andrea;;Linguistin;1973;;;Weiblich;1029498962;
46;Abel, Uta;Abel, Uta;;;1965;;;Unbekannt;137595492;
47;Abeln, Reinhard;Abeln, Reinhard;;"Journalist; Redakteur; Autor; Herausgeber";1938;2021;;Männlich;115401970;
48;Abendroth, Alana;Abendroth, Alana;;;;;;;;
49;Abendschön, Wolfgang;Abendschön, Wolfgang;;"Komponist; Schriftsteller; Autor";;;;Männlich;115690816;
50;Aberham, Morris;Aberham, Morris;;"Designer; Zeichner; Autor";1968;;;Unbekannt;1325730726;https://aberham-design.de
51;Abermann, Stefan;Abermann, Stefan;;Autor;1983;;;Männlich;141443685;https://www.stefanabermann.org
52;Abicht, Carin;Abicht, Carin;;Schauspielerin;1943;;;Weiblich;1062303032;
53;Abidi, Heike;Abidi, Heike;;"Schriftstellerin; Werbetexterin";1965;;;Weiblich;1022095463;http://www.abidibooks.de
