person_id;person_name;person_username;gender;alter;website
1;Böhl, Lukas;;;;
2;Dupré, Anja;;;;
3;Capadrutt, Hans;;;;
4;Lewis, William;;;;
5;Christen (illustrations), Christiane;;;;
6;Böminghaus (illustrations), Martina;;;;
7;Floerke (illustrations), Ingrid Rosine;;;;
8;Friedrich-Kopp (illustrations), Gudrun;;;;
9;Mindermann-Lynen (illustrations), Greta;;;;
10;Renneberg (illustration), Daniela;;;;
11;Steuer (illustration), Frank-Helge;;;;
12;Tarach (illustrations), Anna;;;;
13;Lethe, Lennox;;;;
14;Grasl, Monika;;;;
15;Junghanns, Stefan;;;;
16;McBane, Gordon;;;;
17;Hausmann, Eva;;;;
18;Hemmrich, Isabell;;;;
19;Lopatta, Andrea;;;;
20;Molitor, Judith;;;;
21;Klymchuk, Alexander;;;;
22;Grass, Eve;;;;
23;Puplicks, Dennis;;;;
24;Weiler, Silke Katharina;;;;
25;Bulenda, Doris E.M.;;;;
26;Cora, S.;;;;
27;Kellmann, Raimund;;;;
28;Kertels, Resemie;;;;
29;Schulz, M. C.;;;;
30;Hladik, Katharina;;;;
31;Schurtenberger, René;;;;
32;Apfelstedt, Marianne;;;;
33;Blepp, Helmut;;;;
34;Brox, Angelika;;;;
35;Burkhard, Peter;;;;
36;Grothus, Claudia;;;;
37;Hein, Luise;;;;
38;Hickman, Lauretta;;;;
39;Honsuki, Amelie;;;;
40;Kleber, Bernd;;;;
41;Lehner, Maria;;;;
42;Neumann, Björn D.;;;;
43;Rauch, Marco A.;;;;
44;Richter, Adriane;;;;
45;Rieder, Ina;;;;
46;Rougui, Helga;;;;
47;Schmidinger, Gerd;;;;
48;Voß, Michael;;;;
49;Wulf, Kornelia;;;;
50;Pieth, Eva;;;;
51;Wenger, Ulrike;;;;
52;Johnson, Ana;;;;
53;Hoppe, Cornelia;;;;
54;Funk, Mirna;;;;
55;Ligotti, Thomas;;;;
56;Johnson, Robert Barbour;;;;
57;Wade, James;;;;
58;Thomas, Jonathan;;;;
59;Prout, Mearle;;;;
60;Gresh, Lois H.;;;;
61;Tyson, Donald;;;;
62;Pugmire, W. H.;;;;
63;Pulver, Sr., Joseph S.;;;;
64;Sargent, Stanley C.;;;;
65;Thompson, C. Hall;;;;
66;Fleißer, Marieluise;;;;
67;Shelley, Mary;;;;
68;Fletemeier, Ralf;;;;
69;Fröhlich, Udo;;;;
70;Martin, Robert Patrick;;;;
71;Doussemer, Doris Carla;;;;
72;Detterbeck, Pius;;;;
73;Lauerer, Toni;;;;
74;Weipert, Simon;;;;
75;Sasse, Miriam;;;;
76;Rauch, Kerstin;;;;
77;Spiering, Philipp;;;;
78;Graf, Mia;;;;
79;Biro, Peter;;;;
80;Lindemann, Christa;;;;
