0
"""fachkundige Jury"""
"Altziebler, Agnes"
"Aras, Maryam"
"Beetz, Nico"
"Beier, Frances Theres"
"Berkholz, Christoph"
"Biltgen, Raoul"
"Borgmann, Susanne"
"Buehler, Rosemarie"
"Bärsch, Thomas"
"Böllinger, Birgit"
"Cieslar, Cornelia"
Der Jury gehören mindestens 2 Fachjuroren sowie Mitglieder des Ausschusses für Kultur und Heimatpflege und Mitarbeiter des Bereichs Kultur der Stadt Hilden an.
"Die Jury besteht aus mindestens 7 Publizistinnen, Kritiker*innen, Wissenschaftler*innen und Schriftsteller*innen. Die Auswahl der Jurymitglieder treffen Vertreter*innen der Veranstalter*innen."
"Die Preise werden von einer Jury aus Erwachsenen und jungen Erwachsenen entschieden. Mitglieder der Jury sind unter anderem Autor*innen, Lehrer*innen, Mitarbeiter*innen des Verlags und der Stadt Vechta"
"Die Preisjury setzt sich aus Autoren, Literaturwissenschaftlern und Literaturwissenschaftlerinnen sowie engagierten Leserinnen und Lesern zusammen."
"Dobschütz, Robert"
Eine fünfköpfige Jury
Eine unabhängige Jury bestimmt die GewinnerInnen.
Es gibt eine qualifizierte Jury.
"Fliegel, Regina"
"Flügge, Astrid"
"Fohlmeister, Janine"
"Friedrich, Lars"
"Gellermann, Rainer"
"Golob, Anja Zag"
"Hannig, Theresa"
"Harst, Uta"
"Heinbruch, Christa"
"Heitkamp, Karten"
"Henning, Manuela"
"Hinrichsen, Christel"
"Jauch, Karsten"
"Jung, Anna"
"Koch, Alfred"
"Kordić, Martin"
"Korth – Seredzun, Elke"
"Kranzl, Nicole"
"Kreativköpfe aus Film, Musik, Journalismus, Medienpädagogik und Suchtprävention"
"Mengeler, Thea"
"Morris, Brandon Q."
"Mummer-Göbel, Linda"
"Müller-Ferchland, René"
"Neuhuber, Christian"
"Oberkampf, Uta"
"Oettinghaus, Bernd"
"Ollenik, Ursula"
"Rettig, Monika"
"Rohrbeck, Ellen"
"Schmidt, Dagmar"
"Schmidt, Ellen"
"Schulze Wehninck, Birgit"
"Tenzler, Emma"
"Tenzler-Heusler, Susanne"
"Thies, Luisa"
"Urban, Karl"
"Valk, Jan"
"Völz, Silke"
"Walther, Monika"
"Wendt, Almuth"
"Zehnköpfige Fach-Jury wählt Short-List aus, danach Fünf-Köpfige Jury + Publikum auf Veranstaltung die Gewinner"
keine genaue Info
"prominente Jury, bestehend aus Vertreter:innen aus Kunst, Medien und Kultur sowie einer ehemaligen Gewinner:in, weitergeleitet"
"van Thorn, Niklas"
vom Landkreis Barnim berufene unabhängige Jury
weitere
