docidx,docpath,year,segmentcode,segment,author,title,pkrit,punt,diff,klassifikation
0,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Am-Tyrrhenischen-Meer_pp.txt,2008,B,Buch,Gabriele Wohmann,Am Tyrrhenischen Meer,0.025801633620856,0.10399113307805169,-0.0781894994571957,keine_dominanz
1,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Der-Mann-im-Schlafrock_pp.txt,2008,B,Buch,Gabriele Wohmann,Der Mann im Schlafrock,0.0,0.0688693955035733,-0.0688693955035733,keine_dominanz
2,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Die-New-Yorker-machen-doch-auch-weiter_pp.txt,2008,B,Buch,Gabriele Wohmann,Die New Yorker machen doch auch weiter,0.0594697310699216,0.07678712014079861,-0.017317389070877008,keine_dominanz
3,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Die-Urnengeschichte_pp.txt,2008,B,Buch,Gabriele Wohmann,Die Urnengeschichte,0.0,0.0,0.0,keine_dominanz
4,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Glorias-Witz_pp.txt,2008,B,Buch,Gabriele Wohmann,Glorias Witz,0.0,0.0,0.0,keine_dominanz
5,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Gnade-vor-Recht_pp.txt,2008,B,Buch,Gabriele Wohmann,Gnade vor Recht,0.049729762817578,0.0260513804381615,0.023678382379416503,keine_dominanz
6,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Im-Karijini-Park_pp.txt,2008,B,Buch,Gabriele Wohmann,Im Karijini Park,0.0,0.32984874409093623,-0.32984874409093623,keine_dominanz
7,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_In-allen-meinen-Taten_pp.txt,2008,B,Buch,Gabriele Wohmann,In allen meinen Taten,0.0478831029015252,0.1172735820065457,-0.0693904791050205,keine_dominanz
8,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Keiner-da_pp.txt,2008,B,Buch,Gabriele Wohmann,Keiner da,0.0,0.1046303000149645,-0.1046303000149645,keine_dominanz
9,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Little-Land_pp.txt,2008,B,Buch,Gabriele Wohmann,Little Land,0.0,0.1395513004499086,-0.1395513004499086,keine_dominanz
10,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Manchmal-ist-es-beinah-schön_pp.txt,2008,B,Buch,Gabriele Wohmann,Manchmal ist es beinah schön,0.0290070603302718,0.0622382928581249,-0.033231232527853094,keine_dominanz
11,file:/C:/mallet/textkorpus/final_txtonly/2008_B_Schwarz-ohne-alles_Gabriele-Wohmann_Oh-ein-Termin_pp.txt,2008,B,Buch,Gabriele Wohmann,Oh ein Termin,0.0,0.0,0.0,keine_dominanz
