topic_id,rank,docidx,file,docpath_local,year,segmentcode,tokens,weight,mass
0,1,1029,2019_B_Der-Trost-runder-Dinge_Clemens-J-Setz_Das-Christkind_pp.txt,C:/mallet/textkorpus/final_txtonly/2019_B_Der-Trost-runder-Dinge_Clemens-J-Setz_Das-Christkind_pp.txt,2019,B,1618,0.2009840113616283,325.1921303831146
0,2,277,2011_B_Kartographie-der-Nacht_Thomas-von-Steinaecker_Renate-Renate_pp.txt,C:/mallet/textkorpus/final_txtonly/2011_B_Kartographie-der-Nacht_Thomas-von-Steinaecker_Renate-Renate_pp.txt,2011,B,2206,0.1056462123432528,233.0555444292157
0,3,783,2016_LW_Münchner-KGW_Denis-Leifeld_Wassergeburt-falschrum_pp.txt,C:/mallet/textkorpus/final_txtonly/2016_LW_Münchner-KGW_Denis-Leifeld_Wassergeburt-falschrum_pp.txt,2016,LW,725,0.2860983499874383,207.4213037408928
1,1,95,2009_B_Ruhm_Daniel-Kehlmann_In-Gefahr_pp.txt,C:/mallet/textkorpus/final_txtonly/2009_B_Ruhm_Daniel-Kehlmann_In-Gefahr_pp.txt,2009,B,1962,0.1547618600586243,303.64276943502085
1,2,1043,2019_B_Der-Trost-runder-Dinge_Clemens-J-Setz_Südliches-Lazarettfeld_pp.txt,C:/mallet/textkorpus/final_txtonly/2019_B_Der-Trost-runder-Dinge_Clemens-J-Setz_Südliches-Lazarettfeld_pp.txt,2019,B,2259,0.128323243574498,289.882207234791
1,3,96,2009_B_Ruhm_Daniel-Kehlmann_Osten_pp.txt,C:/mallet/textkorpus/final_txtonly/2009_B_Ruhm_Daniel-Kehlmann_Osten_pp.txt,2009,B,2038,0.1294758434093701,263.8717688682963
2,1,307,2011_LZ_SINN_6_Natascha-Wodin_Das-Ausland-des-Alterns_pp.txt,C:/mallet/textkorpus/final_txtonly/2011_LZ_SINN_6_Natascha-Wodin_Das-Ausland-des-Alterns_pp.txt,2011,LZ,4099,0.1932808998460847,792.2584084691013
2,2,1601,2023_OP_FF_Thomas-Heinrich_Der-Klassenausflug_64a854870007159220114eab_pp.txt,C:/mallet/textkorpus/final_txtonly/2023_OP_FF_Thomas-Heinrich_Der-Klassenausflug_64a854870007159220114eab_pp.txt,2023,OP,1657,0.1542617862768951,255.61177986081518
2,3,540,2013_OP_FF_Sandra-Gernt_Chefsache_528432ad00036f9815d8efb4_pp.txt,C:/mallet/textkorpus/final_txtonly/2013_OP_FF_Sandra-Gernt_Chefsache_528432ad00036f9815d8efb4_pp.txt,2013,OP,2834,0.0801984912499502,227.28252420235884
3,1,1371,2021_LZ_SINN_6_Giwi-Margwelaschwili_Der-Polyp-Polymat_pp.txt,C:/mallet/textkorpus/final_txtonly/2021_LZ_SINN_6_Giwi-Margwelaschwili_Der-Polyp-Polymat_pp.txt,2021,LZ,2518,0.4257931564122864,1072.147167846137
3,2,679,2015_LZ_SINN_5_Giwi-Margwelaschwili_Eine-Völkerfriedensstiftung_pp.txt,C:/mallet/textkorpus/final_txtonly/2015_LZ_SINN_5_Giwi-Margwelaschwili_Eine-Völkerfriedensstiftung_pp.txt,2015,LZ,2226,0.3351160704254383,745.9683727670256
3,3,546,2014_B_Urwaldgäste_Roman-Ehrlich_Die-Seekuh-Tiffany_pp.txt,C:/mallet/textkorpus/final_txtonly/2014_B_Urwaldgäste_Roman-Ehrlich_Die-Seekuh-Tiffany_pp.txt,2014,B,2163,0.1238472955227247,267.88170021565355
4,1,1606,2023_OP_FF_Werfuchs_Was-das-Meer-verlangt_64d3952b000c8b28345855f1_pp.txt,C:/mallet/textkorpus/final_txtonly/2023_OP_FF_Werfuchs_Was-das-Meer-verlangt_64d3952b000c8b28345855f1_pp.txt,2023,OP,1400,0.1789147737740684,250.48068328369575
4,2,99,2009_LW_Bachmann_3sat-Preis_Gregor-Sander_Winterfisch_pp.txt,C:/mallet/textkorpus/final_txtonly/2009_LW_Bachmann_3sat-Preis_Gregor-Sander_Winterfisch_pp.txt,2009,LW,1562,0.1515547157463271,236.72846599576292
4,3,49,2008_LZ_SPRITZ_185_Volker-Kaminski_Mit-der-Strömung_pp.txt,C:/mallet/textkorpus/final_txtonly/2008_LZ_SPRITZ_185_Volker-Kaminski_Mit-der-Strömung_pp.txt,2008,LZ,1506,0.1314149132983479,197.91085942731192
5,1,864,2017_LW_Bachmann_3sat-Preis_Gianna-Molinari_Loses-Mappe_pp.txt,C:/mallet/textkorpus/final_txtonly/2017_LW_Bachmann_3sat-Preis_Gianna-Molinari_Loses-Mappe_pp.txt,2017,LW,1254,0.2859414479676683,358.57057575145603
5,2,1525,2022_OP_FF_Willow-Faith_Waehle-den-Weg_6278079d000d6b57223c2145_pp.txt,C:/mallet/textkorpus/final_txtonly/2022_OP_FF_Willow-Faith_Waehle-den-Weg_6278079d000d6b57223c2145_pp.txt,2022,OP,891,0.3901535274626537,347.6267929692244
5,3,892,2017_LZ_SPRITZ_221_Helene-Bukowski_Milchzähne_pp.txt,C:/mallet/textkorpus/final_txtonly/2017_LZ_SPRITZ_221_Helene-Bukowski_Milchzähne_pp.txt,2017,LZ,1424,0.2220151096196989,316.1495160984512
6,1,1204,2020_B_Hotel-der-Schlaflosen_Ralf-Rothmann_Der-Dicke-Schmitt_pp.txt,C:/mallet/textkorpus/final_txtonly/2020_B_Hotel-der-Schlaflosen_Ralf-Rothmann_Der-Dicke-Schmitt_pp.txt,2020,B,2492,0.1839266707889198,458.3452636059882
6,2,1205,2020_B_Hotel-der-Schlaflosen_Ralf-Rothmann_Der-Wodka-des-Bestatters_pp.txt,C:/mallet/textkorpus/final_txtonly/2020_B_Hotel-der-Schlaflosen_Ralf-Rothmann_Der-Wodka-des-Bestatters_pp.txt,2020,B,1972,0.1867745800689061,368.3194718958828
6,3,420,2012_B_Shakespeares-Hühner_Ralf-Rothmann_Othello-für-Anfänger_pp.txt,C:/mallet/textkorpus/final_txtonly/2012_B_Shakespeares-Hühner_Ralf-Rothmann_Othello-für-Anfänger_pp.txt,2012,B,2386,0.1494791420996199,356.6572330496931
7,1,848,2016_OP_FF_Varjo_Avaritia_572f57810000eb035f86434_pp.txt,C:/mallet/textkorpus/final_txtonly/2016_OP_FF_Varjo_Avaritia_572f57810000eb035f86434_pp.txt,2016,OP,3295,0.2524186216426389,831.7193583124952
7,2,305,2011_LZ_SINN_3_Volker-Braun_Die-hellen-Haufen_pp.txt,C:/mallet/textkorpus/final_txtonly/2011_LZ_SINN_3_Volker-Braun_Die-hellen-Haufen_pp.txt,2011,LZ,1809,0.2271686189002938,410.9480315906315
7,3,1186,2020_B_Grundlagenforschung_Anke-Stelling_Bei-den-Wölfen_pp.txt,C:/mallet/textkorpus/final_txtonly/2020_B_Grundlagenforschung_Anke-Stelling_Bei-den-Wölfen_pp.txt,2020,B,1661,0.2425099906717384,402.80909450575746
8,1,262,2011_B_Der-Stein_Franz-Hohler_Ein-Nachmittag-bei-Monsieur-Rousseau_pp.txt,C:/mallet/textkorpus/final_txtonly/2011_B_Der-Stein_Franz-Hohler_Ein-Nachmittag-bei-Monsieur-Rousseau_pp.txt,2011,B,884,0.2900428331962523,256.39786454548704
8,2,801,2016_LZ_SINN_6_André-Georgi_Seestück_pp.txt,C:/mallet/textkorpus/final_txtonly/2016_LZ_SINN_6_André-Georgi_Seestück_pp.txt,2016,LZ,1215,0.2067099242042054,251.15255790810954
8,3,1116,2019_OP_FF_Asmodeus94_Das-Atelier-des-Jackson-Clarke_5cd55d5f000acc7029f6752f_pp.txt,C:/mallet/textkorpus/final_txtonly/2019_OP_FF_Asmodeus94_Das-Atelier-des-Jackson-Clarke_5cd55d5f000acc7029f6752f_pp.txt,2019,OP,2677,0.0927101165273213,248.18498194363914
9,1,549,2014_B_Urwaldgäste_Roman-Ehrlich_Ingenieure-der-Zeit_pp.txt,C:/mallet/textkorpus/final_txtonly/2014_B_Urwaldgäste_Roman-Ehrlich_Ingenieure-der-Zeit_pp.txt,2014,B,1270,0.4448755495708937,564.991947955035
9,2,462,2012_LZ_SPRITZ_201_Roman-Ehrlich_Ingeneure-der-Zeit_pp.txt,C:/mallet/textkorpus/final_txtonly/2012_LZ_SPRITZ_201_Roman-Ehrlich_Ingeneure-der-Zeit_pp.txt,2012,LZ,1278,0.4374485210074095,559.0592098474693
9,3,544,2014_B_Urwaldgäste_Roman-Ehrlich_Das-Theater-der-Dinge_pp.txt,C:/mallet/textkorpus/final_txtonly/2014_B_Urwaldgäste_Roman-Ehrlich_Das-Theater-der-Dinge_pp.txt,2014,B,1779,0.2349036148083775,417.89353074410354
10,1,1532,2023_LW_Bachmann_Bachmannpreis_Valerie-Gordeev_Er-putzt_pp.txt,C:/mallet/textkorpus/final_txtonly/2023_LW_Bachmann_Bachmannpreis_Valerie-Gordeev_Er-putzt_pp.txt,2023,LW,1195,0.2558114660000066,305.69470187000786
10,2,1189,2020_B_Grundlagenforschung_Anke-Stelling_Glückliche-Fügung_pp.txt,C:/mallet/textkorpus/final_txtonly/2020_B_Grundlagenforschung_Anke-Stelling_Glückliche-Fügung_pp.txt,2020,B,1878,0.1107605623057952,208.0083360102834
10,3,1187,2020_B_Grundlagenforschung_Anke-Stelling_Die-Stelle_pp.txt,C:/mallet/textkorpus/final_txtonly/2020_B_Grundlagenforschung_Anke-Stelling_Die-Stelle_pp.txt,2020,B,1197,0.126040066185223,150.86995922371193
11,1,851,2016_OP_FF_wxitelxly_Der-Biologieunterricht-des-Schreckens_573f2a100004c1dff450cc8_pp.txt,C:/mallet/textkorpus/final_txtonly/2016_OP_FF_wxitelxly_Der-Biologieunterricht-des-Schreckens_573f2a100004c1dff450cc8_pp.txt,2016,OP,780,0.3637849518775275,283.75226246447147
11,2,891,2017_LZ_SINN_5_Aris-Fioretos_Die-dichte-Welt_pp.txt,C:/mallet/textkorpus/final_txtonly/2017_LZ_SINN_5_Aris-Fioretos_Die-dichte-Welt_pp.txt,2017,LZ,1980,0.1347608025709423,266.82638909046574
