year,event,n_docs,docs_anchor,docs_anchor_kontext,share_anchor_docs,share_anchor_plus_context_docs,mean_anchor_hits_per_1000,mean_context_hits_per_1000
2008,corona2020_2023,59,1,4,0.01694915254237288,0.06779661016949153,0.005115953076478383,0.046578962276170296
2009,corona2020_2023,98,0,11,0.0,0.11224489795918367,0.0,0.05164235982345909
2010,corona2020_2023,41,3,13,0.07317073170731707,0.3170731707317073,0.059791273921915966,0.14156079877265926
2011,corona2020_2023,123,0,12,0.0,0.0975609756097561,0.0,0.059572899991679217
2012,corona2020_2023,158,1,16,0.006329113924050633,0.10126582278481013,0.0019029206025407794,0.04928853361055417
2013,corona2020_2023,65,1,6,0.015384615384615385,0.09230769230769231,0.014284693950432113,0.08866634278300548
2014,corona2020_2023,81,0,7,0.0,0.08641975308641975,0.0,0.05788467492740448
2015,corona2020_2023,114,2,9,0.017543859649122806,0.07894736842105263,0.004308171789227109,0.055100386740887776
2016,corona2020_2023,113,1,14,0.008849557522123894,0.12389380530973451,0.002556198013322904,0.04358905785076825
2017,corona2020_2023,83,1,8,0.012048192771084338,0.0963855421686747,0.0031848249460968378,0.06277981238050208
2018,corona2020_2023,93,1,7,0.010752688172043012,0.07526881720430108,0.0019568131341297563,0.03791743586418428
2019,corona2020_2023,149,2,18,0.013422818791946308,0.12080536912751678,0.004604041056130575,0.05949530784495228
2020,corona2020_2023,128,5,21,0.0390625,0.1640625,0.034039561402029836,0.13382764771900105
2021,corona2020_2023,126,8,14,0.06349206349206349,0.1111111111111111,0.07138688668218188,0.04487692272269929
2022,corona2020_2023,98,5,11,0.05102040816326531,0.11224489795918367,0.0692727386082958,0.0281121277010775
2023,corona2020_2023,86,4,12,0.046511627906976744,0.13953488372093023,0.029745701197395155,0.05675098736845401
2008,finanzkrise2007_2008,59,0,4,0.0,0.06779661016949153,0.0,0.049536715766437825
2009,finanzkrise2007_2008,98,0,9,0.0,0.09183673469387756,0.0,0.04006254128912582
2010,finanzkrise2007_2008,41,1,4,0.024390243902439025,0.0975609756097561,0.011440076877316616,0.0527312252682561
2011,finanzkrise2007_2008,123,1,10,0.008130081300813009,0.08130081300813008,0.002870791419778605,0.04790407558709211
2012,finanzkrise2007_2008,158,2,9,0.012658227848101266,0.056962025316455694,0.010508030766301735,0.05904783863053971
2013,finanzkrise2007_2008,65,1,5,0.015384615384615385,0.07692307692307693,0.00864790072209971,0.02645075032942153
2014,finanzkrise2007_2008,81,1,8,0.012345679012345678,0.09876543209876543,0.03618735787415195,0.023697228885349527
2015,finanzkrise2007_2008,114,0,3,0.0,0.02631578947368421,0.0,0.004626754498347659
2016,finanzkrise2007_2008,113,0,4,0.0,0.035398230088495575,0.0,0.020064172961365576
2017,finanzkrise2007_2008,83,0,4,0.0,0.04819277108433735,0.0,0.021833232798696377
2018,finanzkrise2007_2008,93,0,5,0.0,0.053763440860215055,0.0,0.0658075813574418
2019,finanzkrise2007_2008,149,0,10,0.0,0.06711409395973154,0.0,0.04408995219095614
2020,finanzkrise2007_2008,128,0,9,0.0,0.0703125,0.0,0.04435075258871522
2021,finanzkrise2007_2008,126,0,7,0.0,0.05555555555555555,0.0,0.03279704765471767
2022,finanzkrise2007_2008,98,0,11,0.0,0.11224489795918367,0.0,0.07496492355845354
2023,finanzkrise2007_2008,86,0,8,0.0,0.09302325581395349,0.0,0.04985553169878332
2008,migrationskrise2015_2016,59,8,22,0.13559322033898305,0.3728813559322034,0.21706788918750788,0.2647545548550532
2009,migrationskrise2015_2016,98,4,39,0.04081632653061224,0.3979591836734694,0.013965160514288038,0.33886762497866174
2010,migrationskrise2015_2016,41,3,12,0.07317073170731707,0.2926829268292683,0.02124034205605946,0.33561719545224306
2011,migrationskrise2015_2016,123,6,34,0.04878048780487805,0.2764227642276423,0.020241054666200846,0.24145056955376715
2012,migrationskrise2015_2016,158,10,39,0.06329113924050633,0.2468354430379747,0.06978960020083264,0.1408845977042961
2013,migrationskrise2015_2016,65,3,22,0.046153846153846156,0.3384615384615385,0.034503856716885155,0.3838580081093361
2014,migrationskrise2015_2016,81,3,23,0.037037037037037035,0.2839506172839506,0.039061184322590405,0.13901478079537263
2015,migrationskrise2015_2016,114,4,27,0.03508771929824561,0.23684210526315788,0.021452780920017567,0.2507796239693243
2016,migrationskrise2015_2016,113,8,40,0.07079646017699115,0.35398230088495575,0.03176615578587034,0.24234072055227918
2017,migrationskrise2015_2016,83,3,29,0.03614457831325301,0.3493975903614458,0.007930726104956964,0.2114417375248347
2018,migrationskrise2015_2016,93,9,23,0.0967741935483871,0.24731182795698925,0.023426477253708874,0.1650049646412244
2019,migrationskrise2015_2016,149,9,54,0.06040268456375839,0.3624161073825503,0.036757062123860186,0.3363859626638072
2020,migrationskrise2015_2016,128,4,38,0.03125,0.296875,0.04093048002599163,0.34889631874842764
2021,migrationskrise2015_2016,126,11,38,0.0873015873015873,0.30158730158730157,0.049069866009788896,0.31746933177171094
2022,migrationskrise2015_2016,98,5,36,0.05102040816326531,0.3673469387755102,0.014410137485661506,0.1766108728244468
2023,migrationskrise2015_2016,86,5,26,0.05813953488372093,0.3023255813953488,0.025353086069568955,0.17497424149803686
2008,ukraine_ab_2022,59,2,37,0.03389830508474576,0.6271186440677966,0.09555775995059967,0.6036581696155204
2009,ukraine_ab_2022,98,2,40,0.02040816326530612,0.40816326530612246,0.006159762720082408,0.39347414931535046
2010,ukraine_ab_2022,41,0,22,0.0,0.5365853658536586,0.0,0.3673032672367984
2011,ukraine_ab_2022,123,3,36,0.024390243902439025,0.2926829268292683,0.003805563692463644,0.3520728604559124
2012,ukraine_ab_2022,158,2,52,0.012658227848101266,0.3291139240506329,0.003656067116133297,0.5983484774789523
2013,ukraine_ab_2022,65,1,15,0.015384615384615385,0.23076923076923078,0.06654245408570668,0.21727568000392086
2014,ukraine_ab_2022,81,1,21,0.012345679012345678,0.25925925925925924,0.005178556632695335,0.47769941319471393
2015,ukraine_ab_2022,114,5,33,0.043859649122807015,0.2894736842105263,0.12254334584783921,0.30549007591167365
2016,ukraine_ab_2022,113,3,43,0.02654867256637168,0.3805309734513274,0.02666784649789842,0.35793578335423076
2017,ukraine_ab_2022,83,0,25,0.0,0.30120481927710846,0.0,0.20681340387838162
2018,ukraine_ab_2022,93,0,20,0.0,0.21505376344086022,0.0,0.15871711030563257
2019,ukraine_ab_2022,149,2,44,0.013422818791946308,0.2953020134228188,0.013560880656300033,0.2237426231996014
2020,ukraine_ab_2022,128,2,42,0.015625,0.328125,0.003833184092330434,0.35462147690579526
2021,ukraine_ab_2022,126,1,45,0.007936507936507936,0.35714285714285715,0.0011932803994148151,0.47002379280731305
2022,ukraine_ab_2022,98,1,35,0.01020408163265306,0.35714285714285715,0.0030288161569169076,0.2865082907358936
2023,ukraine_ab_2022,86,2,37,0.023255813953488372,0.43023255813953487,0.10459276645264057,0.4367850809203718
