"person_id","person_name","debut_year","debut_segment","age_at_debut","under_30"
"P10","-minu",2021,"B",NULL,NULL
"P100","Adler, Eckhard",2010,"B",70,False
"P1000","Bayne, Roswitha",2014,"B",NULL,NULL
"P10000","Laforet, Amrei",2021,"B",NULL,NULL
"P10001","Laforge, Emilia",2023,"B",38,False
"P10002","Lafrentz, Manfred",2020,"B",63,False
"P10003","Laftsidis-Krüger, Maria",2015,"B",51,False
"P10005","Lagerlöf, Selma",2020,"B",162,False
"P10006","Lagerpusch, Peer",2008,"B",25,True
"P10007","Lagowski, Mona",2010,"B",NULL,NULL
"P10008","Lahayne, Olaf",2021,"B",53,False
"P10009","Laher, Ludwig",2012,"B",57,False
"P1001","Bayraktar, Mesut",2020,"B",30,False
"P10010","Lahn, Heiner",2023,"B",NULL,NULL
"P10011","Laib-Jasinski, Christa",2018,"B",NULL,NULL
"P10012","Lal, Ruth Durga",2010,"B",56,False
"P10013","Lalie, Noelie",2016,"B",49,False
"P10014","Laloi, Eleonore",2021,"B",83,False
"P10015","Laloi, Josephine",2021,"B",NULL,NULL
"P10017","Lambert, Bethany",2021,"B",NULL,NULL
"P10018","Lambert, Claudia",2017,"B",NULL,NULL
"P10021","Lamberts, Brigitte",2021,"B",61,False
"P10023","Lamberty, Rhonda",2022,"B",51,False
"P10024","Lamboury, Stefan",2017,"B",NULL,NULL
"P10025","Lamers, Monika",2017,"B",76,False
"P10026","Lamm, Rita",2012,"B",46,False
"P10029","Lammers, Jan",2022,"B",50,False
"P1003","Bazyar, Shida",2021,"LZ",33,False
"P10030","Lammers, Stefan",2020,"B",NULL,NULL
"P10031","Lammert, Margit",2018,"B",NULL,NULL
"P10032","Lammert, Sabina",2019,"B",NULL,NULL
"P10033","Lamminger, Hans",2008,"B",NULL,NULL
"P10034","Lammla, Jens",2023,"B",NULL,NULL
"P10035","Lammla, Uwe",2021,"B",60,False
"P10036","Lamolla, Simone",2023,"B",NULL,NULL
"P10038","Lamour, Poppy",2023,"B",NULL,NULL
"P10039","Lampart, Michael",2017,"B",47,False
"P1004","Başargan, Özdemir",2012,"B",77,False
"P10040","Lampe, Roland",2009,"B",50,False
"P10044","Lamprecht, Maria-Ilona",2016,"B",77,False
"P10046","Lanatowitz, Anke",2009,"B",41,False
"P10047","Lancester, Peter",2018,"B",58,False
"P10049","Landahl, Stefanie",2019,"B",NULL,NULL
"P1005","Beardsley, Aubrey",2019,"B",147,False
"P10050","Landau, Horst",2019,"B",82,False
"P10051","Landeck, Rainer",2015,"B",64,False
"P10052","Landerl, Christina Maria",2022,"B",43,False
"P10053","Landerl, Peter",2010,"B",36,False
"P10054","Landes, Cora",2009,"OP",NULL,NULL
"P10056","Landgraf, Michael",2022,"B",61,False
"P10057","Landhausen, Peter",2012,"B",NULL,NULL
"P10059","Landmann, Bettina",2018,"B",NULL,NULL
"P10060","Landmann, Salcia",2011,"B",100,False
"P10062","Landmesser, Alfred",2013,"B",NULL,NULL
"P10064","Landschoof, Uwe",2021,"B",86,False
"P10065","Landsgesell, Hans",2018,"B",89,False
"P10066","Landt, Jürgen",2018,"B",61,False
"P10068","Lanfranconi, Katharina",2010,"LW",62,False
"P10069","Lang, Ana",2013,"B",67,False
"P10070","Lang, Anette",2012,"B",34,False
"P10071","Lang, Anita",2022,"B",NULL,NULL
"P10072","Lang, Elmy",2010,"B",89,False
"P10074","Lang, Josephine",2020,"B",NULL,NULL
"P10076","Lang, Kajo",2008,"B",49,False
"P10077","Lang, Karin",2012,"B",NULL,NULL
"P10079","Lang, Mara",2016,"B",46,False
"P1008","Beaulieu, Roger de",2010,"B",NULL,NULL
"P10080","Lang, Martin",2010,"B",131,False
"P10081","Lang, Matthias",2010,"B",NULL,NULL
"P10082","Lang, Noriko",2023,"B",NULL,NULL
"P10083","Lang, Sibylle",2014,"B",53,False
"P10085","Lang, Thomas",2016,"B",NULL,NULL
"P10086","Lang, Tobias Andreas-Marcus",2017,"B",44,False
"P10088","Lang, Waltraut",2016,"B",NULL,NULL
"P10089","Langbecker, Sara",2017,"B",NULL,NULL
"P10091","Langbein, Florian",2020,"B",NULL,NULL
"P10092","Lange, Alexander",2012,"B",NULL,NULL
"P10093","Lange, Bernd-Lutz",2016,"B",72,False
"P10095","Lange, Christian",2016,"B",NULL,NULL
"P10097","Lange, Hannes",2011,"B",57,False
"P10098","Lange, Hartmut",2008,"LZ",71,False
"P10099","Lange, Helge",2023,"B",NULL,NULL
"P101","Adler, H. G.",2016,"B",106,False
"P1010","Bechberger, Harald",2019,"B",67,False
"P10100","Lange, Horst",2012,"B",108,False
"P10101","Lange, Johannes",2010,"B",NULL,NULL
"P10102","Lange, Jürgen",2023,"B",NULL,NULL
"P10104","Lange, Kerstin",2021,"B",NULL,NULL
"P10105","Lange, Kristin",2016,"B",NULL,NULL
"P10107","Lange, Marion",2016,"B",55,False
"P10108","Lange, Marko",2019,"B",49,False
"P1011","Becher, Matthias",2020,"B",61,False
"P10110","Lange, Matthias",2023,"B",NULL,NULL
"P10111","Lange, Michael Johannes B.",2017,"B",NULL,NULL
"P10113","Lange, Roland",2023,"B",69,False
"P10114","Lange, Rolf",2010,"LW",NULL,NULL
"P10116","Lange, Valeska",2019,"B",82,False
"P10117","Lange, Vanessa",2017,"B",16,True
"P10118","Lange, Wilfredo",2009,"B",NULL,NULL
"P10119","Lange, Wolfgang",2018,"B",76,False
"P10124","Langenbacher, Elmar",2023,"B",56,False
"P10125","Langenberg, Eva-Maria",2008,"B",82,False
"P10126","Langenberg, Günter",2023,"B",71,False
"P10127","Langenberger, Gerhard",2011,"B",NULL,NULL
"P1013","Bechert, Sue",2018,"B",NULL,NULL
"P10130","Langenscheid, Adrian",2021,"B",44,False
"P10132","Langer, Gerhard",2023,"B",63,False
"P10133","Langer, Herbert",2013,"B",NULL,NULL
"P10136","Langer, Michael Johannes B.",2023,"B",NULL,NULL
"P10138","Langer-Aßmann, Gudrun",2023,"B",86,False
"P10140","Langkath, Angela",2013,"B",70,False
"P10142","Langs, Ines",2011,"B",31,False
"P10143","Langthaler, Hilde",2010,"B",71,False
"P10145","Lanz, Arnold H.",2019,"B",74,False
"P10146","Laos, Aino",2018,"B",52,False
"P10149","Lappert, Simone",2012,"LZ",27,True
"P1015","Bechstein, Susanne",2011,"B",NULL,NULL
"P10150","Laprell, Annabelle",2022,"B",22,True
"P10151","Lara, Niggemeier",2019,"B",NULL,NULL
"P10152","Larbi, Nadja",2020,"B",NULL,NULL
"P10153","Lardon, Thomas",2023,"B",69,False
"P10155","Larix, Hannah",2016,"B",NULL,NULL
"P10156","Laroche, Jutta",2016,"B",67,False
"P10158","Larsson, Jette",2018,"B",NULL,NULL
"P10160","Larsson, Laura",2019,"B",30,False
"P10163","Lasartschuk, Andrej",2023,"B",NULL,NULL
"P10166","Lash, Larry",2021,"B",NULL,NULL
"P10168","Lask, Betty",2016,"B",NULL,NULL
"P10169","Lasker-Berlin, Amanda",2016,"LW",22,True
"P1017","Bechtolsheimer, Heinrich",2012,"B",144,False
"P10170","Lasker-Schüler, Else",2021,"B",152,False
"P10172","Laspe, Hubert",2022,"B",NULL,NULL
"P10173","Lasselsberger, Rudolf",2011,"B",55,False
"P10176","Latz, Laura",2023,"B",NULL,NULL
"P10177","Lau, Eckhard",2011,"B",68,False
"P10178","Lau, Manfred",2008,"B",83,False
"P1018","Beci, Veronika",2023,"B",57,False
"P10180","Laubach, Susi",2016,"B",NULL,NULL
"P10181","Laube, Cosima",2019,"B",NULL,NULL
"P10182","Laube, Heinz S.",2012,"B",NULL,NULL
"P10183","Lauche, Walter",2011,"B",72,False
"P10184","Lauck, Hartwig",2013,"B",54,False
"P10185","Laudenbach, Gabriele",2014,"B",NULL,NULL
"P10187","Laue, Hans Joachim",2018,"B",75,False
"P10189","Lauenroth, Frank",2022,"B",59,False
"P10190","Lauer, Andrea",2022,"B",NULL,NULL
"P10193","Lauer, Eberhardt",2021,"B",75,False
"P10194","Lauer, Johannes",2023,"B",NULL,NULL
"P10195","Lauerer, Toni",2013,"B",54,False
"P10196","Lauerskreuz, Urban von",2021,"B",NULL,NULL
"P10197","Laufenberg, Walter",2010,"B",75,False
"P102","Adler, Hans",2011,"B",NULL,NULL
"P1020","Beck, Albin",2013,"B",78,False
"P10200","Laufer, Anke",2012,"B",47,False
"P10201","Laufeyson, Harley",2017,"OP",19,True
"P10202","Laufeyson, Lodur",2011,"OP",18,True
"P10203","Laufeyson, Marry",2010,"OP",21,True
"P10204","Lauffer, Sabine",2019,"B",NULL,NULL
"P10206","Laun, Andreas",2014,"B",72,False
"P10207","Launer, Anton",2014,"B",42,False
"P10208","Laura, Gödel",2019,"B",NULL,NULL
"P10209","Laurel, C.B.",2017,"B",NULL,NULL
"P1021","Beck, Anton",2018,"B",22,True
"P10210","Laurie, André",2020,"B",176,False
"P10211","Lauriel, Angelika",2020,"B",53,False
"P10212","Lauschke, Helmut",2008,"B",74,False
"P10214","Lautenbach, Doris",2017,"B",NULL,NULL
"P10215","Lauter, Dietrich",2020,"B",69,False
"P10216","Lauterbach, Jörg Thomas",2008,"B",47,False
"P10217","Lauterer, Heide-Marie",2008,"B",56,False
"P10218","Lauth, Hans Günther",2020,"B",68,False
