"literaturwettbewerb_id","literaturwettbewerb_name","has_jury","has_preisgeld","has_folgepublikation","has_liveevent","has_website","is_regelmaessig","has_5years","hits","indicators_total","score","klasse"
"L1","„THEO – Berlin-Brandenburgischer Preis für Junge Literatur“",0,0,1,1,1,1,1,5,7,0.714,"semi-professionell"
"L2","A.E. Johann-Preis – „Reisen und Schreiben“",1,1,1,1,1,0,1,6,7,0.857,"professionell"
"L3","b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung",0,1,1,0,1,0,1,4,7,0.571,"semi-professionell"
"L4","CARE-Schreibwettbewerb",0,0,1,1,1,0,1,4,7,0.571,"semi-professionell"
"L5","Deutscher Kurzgeschichtenwettbewerb",1,1,1,1,1,1,1,7,7,1.000,"professionell"
"L6","Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen",1,1,0,1,1,1,1,6,7,0.857,"professionell"
"L7","Erika und Klaus Mann-Preis für junge Autor:innen",0,1,1,1,1,1,0,5,7,0.714,"semi-professionell"
"L8","Friedrich-Glauser-Autorenpreis für Kurzkrimis",0,1,0,1,1,1,1,5,7,0.714,"semi-professionell"
"L9","Förderpreise des Jungen Literaturforums Hessen-Thüringen",0,1,1,1,1,1,1,6,7,0.857,"professionell"
"L10","Grassauer Deichelbohrer Kurzgeschichtenwettbewerb",0,1,0,1,1,1,1,5,7,0.714,"semi-professionell"
"L11","Grusel-Wusel-Geschichtenwettbewerb",0,0,1,1,1,1,1,5,7,0.714,"semi-professionell"
"L13","Ingeborg-Bachmann-Preis",0,1,1,1,1,1,1,6,7,0.857,"professionell"
"L14","Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen",0,1,0,1,1,1,1,5,7,0.714,"semi-professionell"
"L15","Jugendliteraturwettbewerb der Uckermark",0,1,0,1,1,1,1,5,7,0.714,"semi-professionell"
"L16","Junger Literaturpreis Schleswig-Holstein",0,1,1,1,1,0,1,5,7,0.714,"semi-professionell"
"L17","Kinder- und Jugendliteraturwettbewerb Eberhard",0,1,1,1,1,1,1,6,7,0.857,"professionell"
"L18","Konstantin-Andok-Literaturpreis",0,1,1,1,1,1,0,5,7,0.714,"semi-professionell"
"L19","Kulturzone Schreibwettbewerb 2023",0,0,1,0,1,0,1,3,7,0.429,"nicht professionell"
"L20","Kurzgeschichtenwettbewerb „Dark Sky Nord“",0,0,1,0,1,0,0,2,7,0.286,"nicht professionell"
"L21","Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“",0,0,1,0,1,1,0,3,7,0.429,"nicht professionell"
"L22","LitArena XI – Literaturwettbewerb",0,1,0,0,1,1,1,4,7,0.571,"semi-professionell"
"L23","Literaturpreis der Künstler-Gilde e.V.",0,0,1,0,1,1,0,3,7,0.429,"nicht professionell"
"L24","Literaturwettbewerb von Literaturpodium.de",0,0,1,0,1,0,0,2,7,0.286,"nicht professionell"
"L25","Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.",0,1,1,1,1,0,0,4,7,0.571,"semi-professionell"
"L26","Literaturwettbewerb der Bürgerstiftung Düren",0,1,0,1,1,0,1,4,7,0.571,"semi-professionell"
"L28","Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb",1,1,1,1,1,1,1,7,7,1.000,"professionell"
"L29","nah und fern Literaturpreis ",0,1,1,1,1,1,0,5,7,0.714,"semi-professionell"
"L30","open mike - Wettbewerb für junge Literatur ",1,1,1,1,1,1,1,7,7,1.000,"professionell"
"L27","Moerser-Literaturpreises ",0,1,1,1,1,1,1,6,7,0.857,"professionell"
"L31","Peng! Kurz-Krimi- Wettbewerb",0,1,0,1,1,0,1,4,7,0.571,"semi-professionell"
"L32","Preis der Gruppe 48",1,1,1,1,1,1,1,7,7,1.000,"professionell"
"L33","SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit",1,1,1,1,1,0,0,5,7,0.714,"semi-professionell"
"L34","Schreibwettbewerb „Über All“",0,1,1,1,1,0,0,4,7,0.571,"semi-professionell"
"L35","Schreib-Wettbewerb der SchreibRäume",0,1,1,0,1,0,0,3,7,0.429,"nicht professionell"
"L36","Schreibwettbewerb des Literaturhaus Zürich",1,0,1,1,1,1,1,6,7,0.857,"professionell"
"L37","Schreibwettbewerb für junge Menschen",0,0,0,1,1,1,1,4,7,0.571,"semi-professionell"
"L38","Schreibwettbewerb: „Triumph der Toleranz – Erfolgsgeschichten bei Meinungsverschiedenheiten“",0,0,1,1,1,0,0,3,7,0.429,"nicht professionell"
"L39","Vechtaer Jugendliteraturpreis",0,1,1,1,1,0,1,5,7,0.714,"semi-professionell"
"L40","Walter-Serner-Preis für Kurzgeschichten",0,1,1,1,1,1,0,5,7,0.714,"semi-professionell"
"L42","Wir sind lesenswert-Wettbewerb",1,0,1,1,1,1,1,6,7,0.857,"professionell"
"L43","WORTMELDUNGEN Ulrike Crespo Förderpreis 2023",1,1,1,1,1,1,1,7,7,1.000,"professionell"
"L44","zeilen.lauf – Kurzgeschichten- und Lyrikwettbewerb",1,1,1,1,1,1,1,7,7,1.000,"professionell"
"L41","Wilhelm-Fabry-Förderpreis",0,1,0,1,1,0,1,4,7,0.571,"semi-professionell"
"L12","Hattinger Förderpreis für Junge Literatur",1,1,0,1,1,1,1,6,7,0.857,"professionell"
