"literaturzeitschrift_id","literaturzeitschrift_name","has_creator","has_organisation","is_regelmaessig","has_website","has_5years","hasauflage1k","indicators_available","hits","score","klasse"
"LZ1","& Radieschen",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ39","Landpartie",1,1,1,0,1,0,6,4,0.667,"semi-professionell"
"LZ10","außer.dem",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ12","DAS GRAMM",1,1,1,1,0,NULL,5,4,0.800,"professionell"
"LZ13","Das Magazin",0,1,1,1,1,1,6,5,0.833,"professionell"
"LZ16","Delfi ",1,1,1,1,0,NULL,5,4,0.800,"professionell"
"LZ18","Der Schnipsel",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ2","[kon]-paper",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ30","Glitter",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ31","Jenny: Denken, Glänzen, Text",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ32","Johnny ",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ33","kalmenzone",1,0,1,1,1,NULL,5,4,0.800,"professionell"
"LZ34","kassiber",1,0,0,1,0,NULL,5,2,0.400,"nicht professionell"
"LZ35","Kliteratur",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ36","Kolik",1,0,1,1,1,NULL,5,4,0.800,"professionell"
"LZ37","Konzepte",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ38","Krachkultur",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ4","Abwärts",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ40","Lettre International",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ41","Lichtungen",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ11","BELLA triste ",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ14","Das Narr",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ15","Das WETTER",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ17","delirium – Zeitschrift gegen Literatur ",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ19","Dichtungsring",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ20","Die Horen",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ21","Die Rampe",0,1,1,1,1,NULL,5,4,0.800,"professionell"
"LZ22","dO!PEN",1,1,0,1,1,0,6,4,0.667,"semi-professionell"
"LZ23","Drecksack - Lesbare Zeitschrift für Literatur",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ24","DUM",1,0,1,1,1,1,6,5,0.833,"professionell"
"LZ25","Edit",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ26","erostepost",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ27","etcetera",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ28","Exodus Magazin",1,0,1,1,1,NULL,5,4,0.800,"professionell"
"LZ29","Experimenta",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ3","[SIC]",1,1,0,1,1,NULL,5,4,0.800,"professionell"
"LZ42","Literarische Blätter",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ43","Literarisches Österreich",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ44","Literatur in Bayern",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ45","Literatur und Kritik",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ46","Literaturbote",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ47","manuskripte",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ48","Matrix",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ49","MAULhURE (Magazin)",1,1,0,1,1,NULL,5,4,0.800,"professionell"
"LZ5","Akzente",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ50","metamorphosen",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ51","miromente",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ52","mosaik - Zeitschrift für Literatur und Kultur",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ53","Neue Rundschau",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ54","Oda - Ort der Augen",1,1,1,1,0,1,6,5,0.833,"professionell"
"LZ55","Open Sewers",1,0,1,1,0,NULL,5,3,0.600,"semi-professionell"
"LZ56","orte",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ72","Triedere",0,1,1,1,0,NULL,5,3,0.600,"semi-professionell"
"LZ73","V: Vorarlberger Zeitschrift für Literatur",0,1,1,1,0,NULL,5,3,0.600,"semi-professionell"
"LZ74","VOLLTEXT",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ75","Weisz auf Schwarz",1,1,0,1,1,1,6,5,0.833,"professionell"
"LZ76","wespennest",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ77","Words and Worlds",1,0,1,1,1,NULL,5,4,0.800,"professionell"
"LZ78","WORTSCHAU",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ79","zugetextet.com",1,0,1,1,1,0,6,4,0.667,"semi-professionell"
"LZ57","Perspektive",1,1,1,1,1,1,6,6,1.000,"professionell"
"LZ61","Risse",1,1,1,1,1,0,6,5,0.833,"professionell"
"LZ62","SALZ",0,1,1,1,1,1,6,5,0.833,"professionell"
"LZ63","Schliff",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ67","Signum",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ58","phantastisch!",1,0,1,1,1,1,6,5,0.833,"professionell"
"LZ59","Podium",1,1,1,1,1,NULL,5,5,1.000,"professionell"
"LZ6","Allmende – Zeitschrift für Literatur",1,1,1,1,1,1,6,6,1.000,"professionell"
