"literaturzeitschrift_ausgabe_id","literaturzeitschrift_id","ausgabevonliteraturzeitschrift","heftnummer","erscheinungsjahr","ke_anzahl"
"LZA2","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","185","2008",2
"LZA3","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","186","2008",2
"LZA4","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","187","2008",1
"LZA5","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","188","2008",1
"LZA11","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","189","2009",9
"LZA12","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","190","2009",8
"LZA13","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","191","2009",1
"LZA14","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","192","2009",3
"LZA17","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","193","2010",1
"LZA18","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","194","2010",1
"LZA19","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","195","2010",1
"LZA20","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","196","2010",2
"LZA23","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","197","2011",3
"LZA24","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","198","2011",1
"LZA25","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","199","2011",1
"LZA26","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","200","2011",2
"LZA31","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","201","2012",7
"LZA32","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","202","2012",2
"LZA33","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","203","2012",3
"LZA37","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","205","2013",2
"LZA38","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","208","2013",2
"LZA41","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","209","2014",5
"LZA47","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","213","2015",4
"LZA48","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","214","2015",2
"LZA49","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","215","2015",6
"LZA54","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","217","2016",10
"LZA55","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","218","2016",3
"LZA60","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","221","2017",2
"LZA61","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","224","2017",2
"LZA66","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","226","2018",1
"LZA67","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","227","2018",2
"LZA73","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","229","2019",3
"LZA78","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","233","2020",4
"LZA79","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","236","2020",2
"LZA85","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","237","2021",4
"LZA86","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","238","2021",2
"LZA87","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","239","2021",7
"LZA88","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","240","2021",1
"LZA100","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","241","2022",4
"LZA101","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","242","2022",1
"LZA102","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","243","2022",2
"LZA115","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","245","2023",7
"LZA64","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","Sonderheft","2017",2
"LZA52","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","Sonderheft","2015",1
"LZA9","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","Sonderheft","2008",2
"LZA29","LZ69","Sprache im technischen Zeitalter (Spr.i.t.Z.)","Sonderheft","2011",3
