"literaturwettbewerb_name","veranstalter_names","erstausrichtung","laengenvorgabe_text","themenvorgabe","altersbeschraenkung","ausrichtungszyklus","preisart","hoehe_preisgeld","publikation","live_event"
"A.E. Johann-Preis – „Reisen und Schreiben“","A.E. Johann-Gesellschaft e.V.","2019","keine Info","ja","12 bis 25 Jahre (Altersgruppe 1: 12 bis 15 Jahre, Altersgruppe 2: 16 bis 20 Jahre, Altersgruppe 3: 21 bis 25 Jahre)",NULL,"Preisgeld","80-300€","ja","ja"
"b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung","Geest Verlag","2018","1-5 Seiten","ja","nein","keine Info","Preisgeld; Buchpreise","100-250€","ja","nein"
"CARE-Schreibwettbewerb","CARE Deutschland e.V","2013","0-1000 Zeichen","ja","Altersgruppe 1: 14 bis 18 Jahre; Altersgruppe 2: 19 bis 25 Jahre","keine Info","Publikation","/","ja","ja"
"Deutscher Kurzgeschichtenwettbewerb","brennt! GmbH","2000","11.000-13.000","ja","nein","jährlich","Preisgeld","500-2000€","ja","ja"
"Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen","Stadt Erfurt","2001","0-10000 Zeichen","nein","15 bis 35 Jahre","jährlich","Preisgeld","100-300€","keine Info","ja"
"Erika und Klaus Mann-Preis für junge Autor:innen","Thomas Mann-Gesellschaft Hamburg","2022","1-12 Seiten","ja","16 bis 25 Jahre","jährlich","Preisgeld; Publikation","1000-2000€","ja","ja"
"Friedrich-Glauser-Autorenpreis für Kurzkrimis","DAS SYNDIKAT – Autorengruppe deutschsprachige Kriminalliteratur A.I.E.P.","2002","0-36000","ja","nein","jährlich","Preisgeld","1.000 €","keine Info","ja"
"Grassauer Deichelbohrer Kurzgeschichtenwettbewerb","Kulturleben Marktgemeinde Grassau","2019","6000-9000","ja","nein","alle zwei Jahre","Preisgeld","300-1000€","keine Info","ja"
"Grusel-Wusel-Geschichtenwettbewerb","Budde-Haus – Soziokulturelles Zentrum Leipzig-Gohlis","2020","1-3 Seiten","ja","Altersgruppe 1: 6 bis 9 Jahre; Altersgruppe 2: 10 bis 14 Jahre; Altersgruppe 3: ab 15 Jahre","jährlich","Sachpreise; Buchpreise","/","ja","ja"
"Ingeborg-Bachmann-Preis","Landeshauptstadt Klagenfurt","1977","25min Lesedauer","nein","nein","jährlich","Preisgeld; Publikation","6000-25000€","ja","ja"
"Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen","vomhörensehen medienagentur","2015","0-2500","ja","15 bis 25 Jahre","jährlich","Preisgeld","Gesamtwert von 8.000€","keine Info","ja"
"Jugendliteraturwettbewerb der Uckermark","Dominikanerkloster Prenzlau","1991","1-4 Seiten","ja","max. 21 Jahre alt","jährlich","Preisgeld; Sachpreise",NULL,"keine Info","ja"
"Junger Literaturpreis Schleswig-Holstein","Freundeskreis des Literaturhauses Schleswig-Holstein","2017","1-4 Seiten","nein","14 bis 20 Jahre","keine Info","Preisgeld; Publikation","500€ (gesamt)","ja","ja"
"Kinder- und Jugendliteraturwettbewerb Eberhard","Landkreis Barnim","2001","1-7 Seiten","ja","nein","alle zwei Jahre","Preisgeld; bronzene Kleinplastik des Eberwalder Metallbildhauers Eckhard Herrmann","2.500 €","ja ","ja"
"Konstantin-Andok-Literaturpreis","Soli Netz","2023","16 DIN-A4 Seiten","ja","nein","erstmals","Preisgeld","100-600€","ja","ja (online)"
"Kulturzone Schreibwettbewerb 2023","Kulturzone e.V.","2006","1-3 Seiten","ja","nein","alle paar Jahre","Publikation","/","ja","nein"
"Kurzgeschichtenwettbewerb „Dark Sky Nord“","Initiative DarkSky Nord","2023","Max 10.000 Zeichen – OHNE Leerzeichen","ja","nein","keine Info","Publikation; Sachpreise","/","ja","nein"
"Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“","DHBW Mannheim","2023","0-15000","ja","nein","erstmals","Publikation; Belegexemplar","/","ja","nein"
"LitArena XI – Literaturwettbewerb","Literarische Gesellschaft St. Pölten","2003","1-4 Seiten","nein","max. 27 Jahre alt","jährlich","Preisgeld","200-500","keine Info","keine Info"
"Literaturpreis der Künstler-Gilde e.V.","Künstler-Gilde e.V.","2023","keine","nein","nein","jährlich","Publikation","/","ja","nein"
"Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.","Autorenkreis Ruhr-Mark e.V.","2023","0-8000 Zeichen","ja","ab 18 Jahren","keine Info","Preisgeld","100-300€","ja","ja"
