"zn","literaturwettbewerb_name","veranstalter","erstausrichtung"
1,"A.E. Johann-Preis – „Reisen und Schreiben“","A.E. Johann-Gesellschaft e.V.","2019"
2,"b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung","Geest Verlag","2018"
3,"CARE-Schreibwettbewerb","CARE Deutschland e.V","2013"
4,"Deutscher Kurzgeschichtenwettbewerb","brennt! GmbH","2000"
5,"Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen","Erfurter Herbstlese e.V.; Stadt Erfurt","2001"
6,"Erika und Klaus Mann-Preis für junge Autor:innen","Thomas Mann-Gesellschaft Hamburg","2022"
7,"Förderpreise des Jungen Literaturforums Hessen-Thüringen","Junges Literaturforum Hessen-Thüringen","1984"
8,"Friedrich-Glauser-Autorenpreis für Kurzkrimis","DAS SYNDIKAT – Autorengruppe deutschsprachige Kriminalliteratur A.I.E.P.","2002"
9,"Grassauer Deichelbohrer Kurzgeschichtenwettbewerb","Kulturleben Marktgemeinde Grassau","2019"
10,"Grusel-Wusel-Geschichtenwettbewerb","Budde-Haus – Soziokulturelles Zentrum Leipzig-Gohlis","2020"
11,"Hattinger Förderpreis für Junge Literatur","Förderverein Stadtmuseum Hattingen; Stadt Hattingen","1991"
12,"Ingeborg-Bachmann-Preis","Landeshauptstadt Klagenfurt","1977"
13,"Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen","hkk Krankenkasse; vomhörensehen medienagentur","2015"
14,"Jugendliteraturwettbewerb der Uckermark","Dominikanerkloster Prenzlau; Stadtbibliothek Prenzlau","1991"
15,"Junger Literaturpreis Schleswig-Holstein","Freundeskreis des Literaturhauses Schleswig-Holstein","2017"
16,"Kinder- und Jugendliteraturwettbewerb Eberhard","Landkreis Barnim","2001"
17,"Konstantin-Andok-Literaturpreis","Soli Netz","2023"
18,"Kulturzone Schreibwettbewerb 2023","Kulturzone e.V.","2006"
19,"Kurzgeschichtenwettbewerb „Dark Sky Nord“","Initiative DarkSky Nord","2023"
20,"Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“","DHBW Mannheim","2023"
21,"LitArena XI – Literaturwettbewerb","Literarische Gesellschaft St. Pölten","2003"
22,"Literaturpreis der Künstler-Gilde e.V.","Künstler-Gilde e.V.","2023"
23,"Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.","Autorenkreis Ruhr-Mark e.V.","2023"
24,"Literaturwettbewerb der Bürgerstiftung Düren","Bürgerstiftung Düren","2019"
25,"Literaturwettbewerb von Literaturpodium.de","Autorengruppe Märkischer Kreis; Literaturpodium","mind. 2008"
26,"Moerser-Literaturpreises ","Moerser Gesellschaft zur Förderung des literarischen Lebens e.V.","1998"
27,"Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb","ProMÖLLTAL - Initiative für Bildung, Kultur, Wirtschaft und Tourismus","2016"
28,"nah und fern Literaturpreis ","Trägerverein Werkraum Abersee und Kulturhauptstadt 2024 Salzkammergut","2023"
29,"open mike - Wettbewerb für junge Literatur ","Haus für Poesie; Literaturwerkstatt Berlin","1993"
30,"Peng! Kurz-Krimi- Wettbewerb","Literaturhaus Salzburg","2009"
31,"Preis der Gruppe 48","Die Gruppe 48 e.V.","2016"
32,"Schreib-Wettbewerb der SchreibRäume","Magazin SchreibRÄUME","2023"
33,"Schreibwettbewerb des Literaturhaus Zürich","Literaturhaus Zürich; Zürcher Kantonalbank","2001"
34,"SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit","3. Oktober – Deutschland singt und klingt","2022"
35,"Schreibwettbewerb für junge Menschen","Tübinger Buchhandlung Wekenmann unter der Schirmherrschaft von Dr. Daniela Hüttig, Erste Landesbeamtin, und in Kooperation mit der Tübinger Museumsgesellschaft","2004"
36,"Schreibwettbewerb: „Triumph der Toleranz – Erfolgsgeschichten bei Meinungsverschiedenheiten“","zebra bw","2023"
37,"Schreibwettbewerb „Über All“","LizzyNet gGmbH","2023"
38,"„THEO – Berlin-Brandenburgischer Preis für Junge Literatur“","wortbau e.V.","2008"
39,"Vechtaer Jugendliteraturpreis","Geest Verlag; Stadt Vechta","2018"
40,"Walter-Serner-Preis für Kurzgeschichten","Literaturhaus Berlin; radio 3; rbb","ca. 1975"
41,"Wilhelm-Fabry-Förderpreis","Stadt Hilden","1978"
42,"Wir sind lesenswert-Wettbewerb","wir sind lesenswert – Verein für Literatur","2019"
43,"WORTMELDUNGEN Ulrike Crespo Förderpreis 2023","Crespo Foundation","2018"
44,"zeilen.lauf – Kurzgeschichten- und Lyrikwettbewerb","Kulturland Niederösterreich; Raiffeisenbank Baden","2011"
