"literaturwettbewerb_name","start_jahr","laufzeit_jahre","laufzeit_kategorie"
"Walter-Serner-Preis für Kurzgeschichten",1975,49,"20+ Jahre"
"Ingeborg-Bachmann-Preis",1977,47,"20+ Jahre"
"Wilhelm-Fabry-Förderpreis",1978,46,"20+ Jahre"
"Förderpreise des Jungen Literaturforums Hessen-Thüringen",1984,40,"20+ Jahre"
"Hattinger Förderpreis für Junge Literatur",1991,33,"20+ Jahre"
"Jugendliteraturwettbewerb der Uckermark",1991,33,"20+ Jahre"
"open mike - Wettbewerb für junge Literatur ",1993,31,"20+ Jahre"
"Moerser-Literaturpreises ",1998,26,"20+ Jahre"
"Deutscher Kurzgeschichtenwettbewerb",2000,24,"20+ Jahre"
"Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen",2001,23,"20+ Jahre"
"Kinder- und Jugendliteraturwettbewerb Eberhard",2001,23,"20+ Jahre"
"Schreibwettbewerb des Literaturhaus Zürich",2001,23,"20+ Jahre"
"Friedrich-Glauser-Autorenpreis für Kurzkrimis",2002,22,"20+ Jahre"
"LitArena XI – Literaturwettbewerb",2003,21,"20+ Jahre"
"Schreibwettbewerb für junge Menschen",2004,20,"20+ Jahre"
"Kulturzone Schreibwettbewerb 2023",2006,18,"10–19 Jahre"
"Literaturwettbewerb von Literaturpodium.de",2008,16,"10–19 Jahre"
"„THEO – Berlin-Brandenburgischer Preis für Junge Literatur“",2008,16,"10–19 Jahre"
"Peng! Kurz-Krimi- Wettbewerb",2009,15,"10–19 Jahre"
"zeilen.lauf – Kurzgeschichten- und Lyrikwettbewerb",2011,13,"10–19 Jahre"
"CARE-Schreibwettbewerb",2013,11,"10–19 Jahre"
"Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen",2015,9,"6–9 Jahre"
"Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb",2016,8,"6–9 Jahre"
"Preis der Gruppe 48",2016,8,"6–9 Jahre"
"Junger Literaturpreis Schleswig-Holstein",2017,7,"6–9 Jahre"
"b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung",2018,6,"6–9 Jahre"
"Vechtaer Jugendliteraturpreis",2018,6,"6–9 Jahre"
"WORTMELDUNGEN Ulrike Crespo Förderpreis 2023",2018,6,"6–9 Jahre"
"A.E. Johann-Preis – „Reisen und Schreiben“",2019,5,"3–5 Jahre"
"Grassauer Deichelbohrer Kurzgeschichtenwettbewerb",2019,5,"3–5 Jahre"
"Literaturwettbewerb der Bürgerstiftung Düren",2019,5,"3–5 Jahre"
"Wir sind lesenswert-Wettbewerb",2019,5,"3–5 Jahre"
"Grusel-Wusel-Geschichtenwettbewerb",2020,4,"3–5 Jahre"
"Erika und Klaus Mann-Preis für junge Autor:innen",2022,2,"0–2 Jahre"
"SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit",2022,2,"0–2 Jahre"
"Konstantin-Andok-Literaturpreis",2023,1,"0–2 Jahre"
"Kurzgeschichtenwettbewerb „Dark Sky Nord“",2023,1,"0–2 Jahre"
"Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“",2023,1,"0–2 Jahre"
"Literaturpreis der Künstler-Gilde e.V.",2023,1,"0–2 Jahre"
"Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.",2023,1,"0–2 Jahre"
"nah und fern Literaturpreis ",2023,1,"0–2 Jahre"
"Schreib-Wettbewerb der SchreibRäume",2023,1,"0–2 Jahre"
"Schreibwettbewerb: „Triumph der Toleranz – Erfolgsgeschichten bei Meinungsverschiedenheiten“",2023,1,"0–2 Jahre"
"Schreibwettbewerb „Über All“",2023,1,"0–2 Jahre"
