"literaturwettbewerb_id","literaturwettbewerb_name","laengenvorgabe_text","einheit","value_min","value_max","est_pages_min","est_pages_max","est_chars_min","est_chars_max"
"L2","A.E. Johann-Preis – „Reisen und Schreiben“","keine Info","keine",NULL,NULL,NULL,NULL,NULL,NULL
"L3","b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung","1-5 Seiten","seiten",1,5,1,5,1800,9000
"L4","CARE-Schreibwettbewerb","0-1000 Zeichen","zeichen",0,1000,0,1,0,1000
"L5","Deutscher Kurzgeschichtenwettbewerb","11.000-13.000","zeichen",11000,13000,7,8,11000,13000
"L6","Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen","0-10000 Zeichen","zeichen",0,10000,0,6,0,10000
"L7","Erika und Klaus Mann-Preis für junge Autor:innen","1-12 Seiten","seiten",1,12,1,12,1800,21600
"L9","Förderpreise des Jungen Literaturforums Hessen-Thüringen","0-1.300 Wörter","woerter",0,1300,0,5,0,7150
"L8","Friedrich-Glauser-Autorenpreis für Kurzkrimis","0-36000","zeichen",0,36000,0,20,0,36000
"L10","Grassauer Deichelbohrer Kurzgeschichtenwettbewerb","6000-9000","zeichen",6000,9000,4,5,6000,9000
"L11","Grusel-Wusel-Geschichtenwettbewerb","1-3 Seiten","seiten",1,3,1,3,1800,5400
"L12","Hattinger Förderpreis für Junge Literatur","1-5 Seiten","seiten",1,5,1,5,1800,9000
"L13","Ingeborg-Bachmann-Preis","25min Lesedauer","minuten",25,25,19,19,30250,30250
"L14","Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen","0-2500","zeichen",0,2500,0,2,0,2500
"L15","Jugendliteraturwettbewerb der Uckermark","1-4 Seiten","seiten",1,4,1,4,1800,7200
"L16","Junger Literaturpreis Schleswig-Holstein","1-4 Seiten","seiten",1,4,1,4,1800,7200
"L17","Kinder- und Jugendliteraturwettbewerb Eberhard","1-7 Seiten","seiten",1,7,1,7,1800,12600
"L18","Konstantin-Andok-Literaturpreis","16 DIN-A4 Seiten","seiten",4,16,4,16,7200,28800
"L19","Kulturzone Schreibwettbewerb 2023","1-3 Seiten","seiten",1,3,1,3,1800,5400
"L20","Kurzgeschichtenwettbewerb „Dark Sky Nord“","Max 10.000 Zeichen – OHNE Leerzeichen","zeichen",10000,10000,6,6,10000,10000
"L21","Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“","0-15000","zeichen",0,15000,0,9,0,15000
"L22","LitArena XI – Literaturwettbewerb","1-4 Seiten","seiten",1,4,1,4,1800,7200
"L23","Literaturpreis der Künstler-Gilde e.V.","keine","keine",NULL,NULL,NULL,NULL,NULL,NULL
"L25","Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.","0-8000 Zeichen","zeichen",0,8000,0,5,0,8000
"L26","Literaturwettbewerb der Bürgerstiftung Düren","4-10 Seiten","seiten",4,10,4,10,7200,18000
"L24","Literaturwettbewerb von Literaturpodium.de","1-20 Seiten","seiten",1,20,1,20,1800,36000
"L27","Moerser-Literaturpreises ","1-5 Seiten","seiten",1,5,1,5,1800,9000
"L28","Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb","750-1750 Zeichen","zeichen",750,1750,1,1,750,1750
"L29","nah und fern Literaturpreis ","12000-20000","zeichen",12000,20000,7,12,12000,20000
"L30","open mike - Wettbewerb für junge Literatur ","15 minütige Lesezeit","minuten",15,15,11,11,18150,18150
"L31","Peng! Kurz-Krimi- Wettbewerb","0-15000 Zeichen","zeichen",0,15000,0,9,0,15000
"L32","Preis der Gruppe 48","8000-10000 Zeichen","zeichen",8000,10000,5,6,8000,10000
"L35","Schreib-Wettbewerb der SchreibRäume","0-10000 Zeichen","zeichen",0,10000,0,6,0,10000
"L36","Schreibwettbewerb des Literaturhaus Zürich","0-10000","zeichen",0,10000,0,6,0,10000
"L33","SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit","0-30000 Zeichen","zeichen",0,30000,0,17,0,30000
"L37","Schreibwettbewerb für junge Menschen","1-5 Seiten","seiten",1,5,1,5,1800,9000
"L38","Schreibwettbewerb: „Triumph der Toleranz – Erfolgsgeschichten bei Meinungsverschiedenheiten“","300-1700 Wörter","woerter",300,1700,1,6,1650,9350
"L34","Schreibwettbewerb „Über All“","0-6000 Zeichen","zeichen",0,6000,0,4,0,6000
"L1","„THEO – Berlin-Brandenburgischer Preis für Junge Literatur“","3 Seiten","seiten",3,3,3,3,5400,5400
"L39","Vechtaer Jugendliteraturpreis","1-5 Seiten","seiten",1,5,1,5,1800,9000
"L40","Walter-Serner-Preis für Kurzgeschichten","15.000 Zeichen (inkl. Leerzeichen)","zeichen",15000,15000,9,9,15000,15000
"L41","Wilhelm-Fabry-Förderpreis","0-14000 Zeichen","zeichen",0,14000,0,8,0,14000
"L42","Wir sind lesenswert-Wettbewerb","10min Lesedauer","minuten",10,10,8,8,12100,12100
"L43","WORTMELDUNGEN Ulrike Crespo Förderpreis 2023","9000-20000 Zeichen","zeichen",9000,20000,5,12,9000,20000
"L44","zeilen.lauf – Kurzgeschichten- und Lyrikwettbewerb","0-4500 Zeichen","zeichen",0,4500,0,3,0,4500
