"literaturwettbewerb_id","literaturwettbewerb_name","preisgeld_angabe","hoechstes_einzel_preisgeld_euro","gesamtwert_preisgeld_eur"
"L2","A.E. Johann-Preis – „Reisen und Schreiben“","80-300€",300,NULL
"L3","b.bobs-59-Literaturwettbewerb für Menschen mit Beeinträchtigung","100-250€",250,NULL
"L5","Deutscher Kurzgeschichtenwettbewerb","500-2000€",2000,NULL
"L6","Eobanus-Hessus-Schreibwettbewerb. Junge Texte aus Thüringen","100-300€",300,NULL
"L7","Erika und Klaus Mann-Preis für junge Autor:innen","1000-2000€",2000,NULL
"L9","Förderpreise des Jungen Literaturforums Hessen-Thüringen","10x 800€",800,NULL
"L8","Friedrich-Glauser-Autorenpreis für Kurzkrimis","1.000 €",1000,NULL
"L10","Grassauer Deichelbohrer Kurzgeschichtenwettbewerb","300-1000€",1000,NULL
"L12","Hattinger Förderpreis für Junge Literatur","300 €",300,NULL
"L13","Ingeborg-Bachmann-Preis","6000-25000€",25000,NULL
"L14","Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen","Gesamtwert von 8.000€",NULL,8000
"L15","Jugendliteraturwettbewerb der Uckermark","",NULL,NULL
"L16","Junger Literaturpreis Schleswig-Holstein","500€ (gesamt)",NULL,500
"L17","Kinder- und Jugendliteraturwettbewerb Eberhard","2.500 €",2500,NULL
"L18","Konstantin-Andok-Literaturpreis","100-600€",600,NULL
"L22","LitArena XI – Literaturwettbewerb","200-500",500,NULL
"L25","Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.","100-300€",300,NULL
"L26","Literaturwettbewerb der Bürgerstiftung Düren","100-300€",300,NULL
"L27","Moerser-Literaturpreises ","750-1500€",1500,NULL
"L28","Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb","100-1000€",1000,NULL
"L29","nah und fern Literaturpreis ","500-4000€",4000,NULL
"L30","open mike - Wettbewerb für junge Literatur ","7.500€ gesamt",NULL,7500
"L31","Peng! Kurz-Krimi- Wettbewerb","1000-2500€",2500,NULL
"L32","Preis der Gruppe 48","1000-3000€",3000,NULL
"L35","Schreib-Wettbewerb der SchreibRäume","100-300€",300,NULL
"L33","SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit","250-1000€",1000,NULL
"L34","Schreibwettbewerb „Über All“","",NULL,NULL
"L39","Vechtaer Jugendliteraturpreis","100-500€",500,NULL
"L40","Walter-Serner-Preis für Kurzgeschichten","5.000 €",5000,NULL
"L41","Wilhelm-Fabry-Förderpreis","4.000 €",4000,NULL
"L43","WORTMELDUNGEN Ulrike Crespo Förderpreis 2023","500-15000€",15000,NULL
"L44","zeilen.lauf – Kurzgeschichten- und Lyrikwettbewerb","100-500€",500,NULL
