"zn","plattform_name","plattform_art","gruendungsjahr","anzahl_mitglieder","anzahl_texte_gesamt","anzahl_ke"
1,"Blauer Salon","Website/Forum",2006,"81","17485","?"
2,"Deutsches Schriftstellerforum","Website/Forum",2006,"17893","?","?"
3,"e-Stories*","Website/Forum",1999,"11320","250000","40000"
4,"Fanfiktion.de","Website/Forum; Applikation",2004,"206000","628641","12050"
5,"Fanstasy- und Schreibforum","Website/Forum",2013,"881","7956","?"
6,"Fantasy-Geschichten-Forum.de","Website/Forum",2012,"574","4555","?"
7,"FantasyReich","Website/Forum",2011,"64","947","?"
8,"Federteufel","Website/Forum",2013,"?","105","?"
9,"fiction-writing","Website/Forum",2014,"470","3849","?"
10,"Inkitt","Website/Forum; Applikation",2013,"33000000","?","?"
11,"keinVerlag.de","Website/Forum",2002,"924","135023","?"
12,"Leselupe.de","Website/Forum",1998,"12972","84523","13960"
13,"LiteraturForum","Website/Forum",2006,"8553","25942","?"
14,"literatur-forum.info","Website/Forum",2008,"1013","3668","?"
15,"Musengarten","Website/Forum",2013,"?","?","165"
16,"Poetry.de","Website/Forum",1997,"8226","84130","?"
17,"Royal Road","Website/Forum; Applikation",2013,"705524","?","8458"
18,"Schreib-Forum","Website/Forum",2010,"107","16138","?"
19,"schreibpodium.de","Website/Forum",2010,"169","4404","?"
20,"Scriptorium","Website/Forum",2012,"?","?","?"
21,"smartstorys.at","Website/Forum; Applikation",2017,"?","918","918"
22,"StoryApp","Applikation",2016,">5.000",">1.000",">1.000"
23,"Tacheles","Website/Forum",2015,"45","19248","421"
24,"Wattpad","Website/Forum; Applikation",2006,"89000000",NULL,"27000"
25,"WebStories","Website/Forum",2001,"?","16990","5210"
26,"Wortkrieger","Website/Forum",2001,"17497","40354","33730"
