publikationsjahr;anzahl_der_buecher;;;Jahr;Titel mit kurzen Erzählformen;Spalte1
2008;855;;;2008;855;852
2009;770;;;2009;770;765
2010;812;;;2010;812;806
2011;882;;;2011;882;873
2012;885;;;2012;885;880
2013;912;;;2013;912;907
2014;895;;;2014;895;885
2015;801;;;2015;801;786
2016;898;;;2016;898;890
2017;868;;;2017;868;855
2018;1128;;;2018;1128;1108
2019;1260;;;2019;1260;1246
2020;1483;;;2020;1483;1470
2021;1340;;;2021;1340;1320
2022;1313;;;2022;1313;1297
2023;1272;;;2023;1272;1249
;;;;Gesamt;16374;16189
;;;;;;
;;;;;;
;;;;Jahr;Titel mit kurzen Erzählformen (bereinigt);
;;;;2008;852;
;;;;2009;765;
;;;;2010;806;
;;;;2011;873;
;;;;2012;880;
;;;;2013;907;
;;;;2014;885;
;;;;2015;786;
;;;;2016;890;
;;;;2017;855;
;;;;2018;1108;
;;;;2019;1246;
;;;;2020;1470;
;;;;2021;1320;
;;;;2022;1297;
;;;;2023;1249;
;;;;Gesamt;16189;
