"buchtitel","auflage","publikationsjahr"
"1001fach lebenswert",NULL,2017
"1001 Geschichte","1. Auflage",2022
"1002fach lebenswert",NULL,2019
"100 Bilder 200 Geschichten","1. Auflage",2021
"100 Jahre Opa - 100 Geschichten","1. Auflage",2022
"100 kleine Geschichten zur großen Geschichte",NULL,2021
"100 moderne Kurzgeschichten",NULL,2023
"100% Schokolade","1. Aufl.",2008
"100 und ein Jahr","1. Aufl.",2012
"100 wahre Geschichten",NULL,2009
"101 B-Geschichten","1. Aufl.",2010
"10 Erotische Kurzgeschichten für Männer und Frauen",NULL,2022
"1:0 für dich und mich",NULL,2008
"10 inspirierende Kurzgeschichten zum Thema Loslassen",NULL,2020
"10 inspirierende Kurzgeschichten zum Thema Spontanität","1. Auflage",2019
"10 Jahre acabus Verlag","1. Auflage",2018
"10 Jahre alt",NULL,2010
"10 Krimi-Kurzgeschichten fürs Bett",NULL,2011
"10 Kurzgeschichten als Solodame","1. Auflage",2022
"10 Kurzgeschichten als Swingerpaar","1. Auflage",2022
"10 Kurzgeschichten fürs Bett",NULL,2011
"10 merkwürdige Geschichten",NULL,2009
"10 Minuten Auszeit - lustige und unterhaltsame Kurzgeschichten zum Durchschnaufen",NULL,2022
"10 Stories of life","Deutsche Erstausgabe",2020
"10und01 Märchen aus unseren Tagen",NULL,2017
"10 weitere Kurzgeschichten als Solodame","1. Auflage",2022
"111 Geschichten aus dem Kölner Zoo, die man kennen muss",NULL,2022
"111 Herzensweisheiten",NULL,2018
"113 einseitige Geschichten","1. Auflage",2016
"11 Comedy-Geschichten in Reimform",NULL,2019
"11 merkwürdige Geschichten",NULL,2008
"11 spannende Kurzgeschichten","1. Auflage",2016
"11 wilde Western Stories","1. Auflage",2020
"1, 2, 3, 4 Mama ist hier!",NULL,2019
"12 Monate Angst","Deutsche Erstveröffentlichung,  1. Auflage",2017
"13 andere Geschichten","1. Auflage",2022
"13 Geschichten vom Pech",NULL,2013
"13 Glücksmomente","1. Auflage",2023
"13 kleine Thriller","Orig.-Ausg.",2009
"13 Kurzgeschichten","1. Auflage",2023
"13 sagenhafte Geschichten","1. Auflage",2020
"13 SHADOWS - SAMMELBAND 1 - Romane und Erzählungen","1. Auflage",2018
"13 und andere Geschichten","1. Auflage",2020
"13 urbane Legenden","Erste Auflage",2023
"15. MDR-Literaturwettbewerb 2010","1. Aufl.",2010
"16 Kurz(e) Geschichten mitten aus dem Leben","1. Auflage",2017
"17 Facetten der Liebe","1. Auflage",2020
"1816 - das Jahr ohne Sommer",NULL,2013
"19",NULL,2023
"19:13",NULL,2013
"1918 - die unwirklichen Geschichten des Herrn Österreicher","Erste Auflage",2018
"1942 ",NULL,2014
"1945: Ist der Krieg nun aus?",NULL,2015
"1945 oder Vögel singen auch in Ruinen",NULL,2017
"1989er Schicksale","Erste Auflage",2019
"1991 - kurze Geschichten","1. Auflage",2020
"19 Geschichten aus dem Dazwischen","1. Auflage",2018
"19 merkwürdige Geschichten","1. Aufl.",2011
"1-Franken-Geschichten","1. Auflage",2016
"1 gutes Buch vong Humor her","1. Auflage",2017
"2024 - zwischen Zwang & Täuschung","Auflage 2",2020
"2029 - Geschichten von morgen","Originalausgabe, erste Auflage",2019
"2062","1. Aufl.",2012
"20 Bilder 40 Neue Geschichten","1. Auflage",2022
