"objekt_titel","textmenge"
"Brauchbare Menschen: Erzählungen / Magdalena Schrefel","11"
"Buch gegen das Verschwinden: Geschichten / Ulrike Almut Sandig","4"
"Damenbart: Geschichten / Sarah Pines","17"
"Der Fluss und das Meer: Erzählungen / Natascha Wodin","2"
"Der Geruch von Glück: Erzählungen / Zehra Ç?rak","56"
"Der Klang der Blicke: Geschichten / Selim Özdogan","36"
"Der Stein: Erzählungen / Franz Hohler","10"
"Der Trost runder Dinge: Erzählungen / Clemens J. Setz","18"
"Die Liebe unter Aliens: Erzählungen / Terézia Mora","8"
"Die Liebe zur Zeit des Mahlstädter Kindes: Erzählungen / Clemens J. Setz","16"
"Die stillen Trabanten: Erzählungen / Clemens Meyer","12"
"Die Wahrheit über das Lügen: zehn Geschichten aus zehn Jahren / Benedict Wells","8"
"Die Zeitwaage: Erzählungen / Lutz Seiler","11"
"Ein Manifest gegen die emotionale Verkümmerung / von Paulina Czienskowski","9"
"Entfernte Geliebte: Erzählungen / Maike Wetzel","18"
"Fallensteller: Erzählungen / Saša Staniši?","11"
"Feuerland: Erzählungen / Mirko Bonné","10"
"Gefühlte Zuversicht: Erzählungen / Frank Jakubzik","15"
"Gestern war auch schon ein Tag: Erzählungen / Finn-Ole Heinrich","7"
"Grundlagenforschung: Erzählungen / Anke Stelling","14"
"Hotel der Schlaflosen: Erzählungen / Ralf Rothmann","11"
"Ich kann jeder sagen: Erzählungen vom Ende der Nachkriegsordnung / Robert Menasse","14"
"Irgendwann ist Schluss: Erzählungen / Markus Orths","4"
"Kartographie der Nacht: Geschichten / hrsg. von Lars Claßen","16"
"Kleine Polizei im Schnee: Erzählungen / Dietmar Dath","44"
"Lettipark: Erzählungen / Judith Hermann","17"
"Morgen ist es vorbei: Stories / Kathrin Weßling","13"
"Ruhm: ein Roman in neun Geschichten / Daniel Kehlmann","8"
"Schwarz und ohne alles: Erzählungen / Gabriele Wohmann","16"
"Shakespeares Hühner: Erzählungen / Ralf Rothmann","6"
"Spätestens morgen: Erzählungen / Zoë Jenny","12"
"Supermilch: Erzählungen / Philipp Böhm","8"
"Urwaldgäste: Erzählungen / Roman Ehrlich","8"
"Vom Aufstehen: ein Leben in Geschichten / Helga Schubert","28"
