"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"Undine","Astrid Seehaus Undine Verlag","Buchwissenschaft, Buchhandel","Verlag"
"van Eck Verlag","Van Eck Verlag","Buchwissenschaft, Buchhandel","Verlag"
"vbb, Verlag für Berlin-Brandenburg","Verlag für Berlin-Brandenburg","Buchwissenschaft, Buchhandel","Verlag"
"verlag am park","Verlag am Park","Buchwissenschaft, Buchhandel","Verlag"
"verlag die brotsuppe","verlag die brotsuppe","Buchwissenschaft, Buchhandel","Verlag"
"verlagsallianz","verlagsallianz","Buchwissenschaft, Buchhandel","Verlag"
"von Bockel","Von Bockel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"von Reeken","DvR-Buchreihe - Kollektion Lasswitz","Buchwissenschaft, Buchhandel",NULL
"von Zabern","Verlag Philipp von Zabern","Buchwissenschaft, Buchhandel","Verlag"
"von dem Knesebeck GmbH & Co. Verlag KG","von dem Knesebeck GmbH & Co. Verlag KG","Buchwissenschaft, Buchhandel","Verlag"
"weissbooks.w","Weissbooks Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"175er Verlag","175er Verlag","Buchwissenschaft, Buchhandel","Verlag"
"2A-Verlag, Akademie Freier Autoren e.V.","Akademie freier Autoren e.V. 2A-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"A. Fritz Verlag","A. Fritz Verlag","Buchwissenschaft, Buchhandel","Verlag"
"A. Jochim Vela-Verlag","Vela Verlag","Buchwissenschaft, Buchhandel","Verlag"
"A. Springer","A. Springer Verlag AG","Buchwissenschaft, Buchhandel","Verlag"
"A.P.P. Verlag","A.P.P. Verlag","Buchwissenschaft, Buchhandel","Verlag"
"A1 Verlag","A1-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AAVAA Verlag","AAVAA Verlag UG","Buchwissenschaft, Buchhandel","Verlag"
"AB - Die Andere Bibliothek","AB - Die Andere Bibliothek GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"AB - Die Andere Bibliothek GmbH & Co. KG","AB - Die Andere Bibliothek GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"AB1-Dr. & Verl.","AB1 - Druck & Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ABLIT-Verl.","ABLIT Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"AGIRO Verlag","Agiro Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AGMA - Christlicher Buchverl.","AGMA Christlicher Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AJSP","AJSP","Buchwissenschaft, Buchhandel",NULL
"AJZ-Dr. & Verl.","AJZ-Druck und Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"AKU!","AKU-VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"AME Stöpel","AME Stöpel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ARW","Arbeitsgemeinschaft für Religions- und Weltanschauungsfragen","Buchwissenschaft, Buchhandel; Allgemeine und vergleichende Religionswissenschaft, Nichtchristliche Religionen","Gemeinschaft"
"AS Verlag","AS Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AT-Verl.","AT Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AUMAYER","Aumayer druck + media","Buchwissenschaft, Buchhandel","Druckerei"
"AVM","Akademische Verlagsgemeinschaft München","Buchwissenschaft, Buchhandel","Verlag"
"Aaronis Coll.","Aaronis Collection","Buchwissenschaft, Buchhandel",NULL
"Abera","Abera Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Abl Verlag","Abl Bauernblatt Verlags-GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Acabus Verlag","Acabus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Achertäler Druckerei","Achertäler Druckerei GmbH & Co. KG","Buchwissenschaft, Buchhandel","Druckerei"
"Achter Verlag","Achter Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Achterland","Achterland Verlagscompagnie","Buchwissenschaft, Buchhandel","Verlag"
"Adlerstein-Verlag","Adlerstein-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Adlibri-Verl.","adlibri Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Adolf Dahlfeld Erben","Adolf Dahlfeld Erben","Buchwissenschaft, Buchhandel",NULL
"Afra-Sonnensturm-Verl.","Afra Sonnensturm Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AfricAvenir - Exchange & Dialogue","AfricAvenir - Exchange & Dialogue","Buchwissenschaft, Buchhandel",NULL
"Afusoft","AFUSOFT Kommunikationstechnik GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Agenda Verlag","Agenda-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Agentur des Rauhen Hauses Hamburg","Agentur des Rauhen Hauses Hamburg GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Agon-Sportverl.","AGON-Sportverlag (Kassel)","Buchwissenschaft, Buchhandel","Verlag"
"Agroplant","Agroplant GmbH - Umweltberatung -","Buchwissenschaft, Buchhandel","Unternehmen"
"Ed. 6065","Edition 6065","Buchwissenschaft, Buchhandel","Verlag"
"Ahead and Amazing","Ahead and Amazing Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Aisthesis Verlag","AISTHESIS Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Akademie der Künste","Akademie der Künste","Kultur, Künste allgemein; Buchwissenschaft, Buchhandel; Wissenschaft","Akademie"
"Akademos","akademos Wissenschaftsverlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Akazia Verlag","Akazia Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Akazien Verlag","Akazien Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Alba Trust","Alba Trust Verlag e.U. Inh. Adelheid Pexa","Buchwissenschaft, Buchhandel","Verlag"
"Alcorde Verlag","alcorde verlag","Buchwissenschaft, Buchhandel","Verlag"
"Aleph Verlag","ALEPH VERLAG","Buchwissenschaft, Buchhandel","Verlag"
"Alfa-Veda-Verlag","Alfa-Veda-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Alfred Kröner Verlag","Alfred-Kröner-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Allegria","Allegria","Buchwissenschaft, Buchhandel",NULL
"Allitera Verlag","Allitera Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Almáriom","Almáriom Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Alois Epple","Dr. Alois Epple (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Alte-Jeetzel-Buchh. und Verl.","Alte-Jeetzel-Buchhandlung und Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Altis-Verlag","Altis-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Altius","Altius Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Amalthea","Amalthea Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Amalthea Signum","Amalthea Signum Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Amative Publ.***5246918","amative publisher","Buchwissenschaft, Buchhandel",NULL
"Ambaum-Verl.","Ambaum Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ambiente-Krimis","ambiente-krimis","Buchwissenschaft, Buchhandel",NULL
"Ammann","Ammann-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Amrûn Verlag","Amrûn Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Amrûn-Verl.","Amrûn Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Anaconda Verlag","Anaconda Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ancient Mail Verlag Werner Betz","Ancient Mail Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Andiamo","andiamo-verlag","Buchwissenschaft, Buchhandel","Verlag"
"Andra-Danu-Verl.","Andra-Danu-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AndreBuch-Verl.","AndreBuchVerlag","Buchwissenschaft, Buchhandel","Verlag"
"AndreBuchVerlag","AndreBuchVerlag","Buchwissenschaft, Buchhandel","Verlag"
"Angelika Lenz Verlag","Angelika Lenz Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Angst & Schrecken","Angst&Schrecken Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Anikkänbrö & Knetemelk","Anikkänbrö & Knetemelk","Buchwissenschaft, Buchhandel",NULL
"Ankerherz","Ankerherz Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Anno-Verlag","Anno-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Anton H. Konrad Verlag","Anton-H.-Konrad-Verlag (Weißenhorn)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Anuschka Weyand Buchverlag","Anuschka Weyand (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Aphaia-Verl.","Aphaia-Verlag (Berlin)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Attoverl.","Attoverlag Hans Gerlach e.K.","Buchwissenschaft, Buchhandel","Verlag"
"AphorismA","AphorismA Verlag Antiquariat Agentur Mit angeschl. Versandbuchhandlung gGmbH","Buchwissenschaft, Buchhandel","Verlag"
"Appenzeller Verlag","Appenzeller Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Appenzeller Volksfreund","Druckerei Appenzeller Volksfreund","Buchwissenschaft, Buchhandel","Druckerei"
"Arachne Verlag","Arachne Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Arcanum Fantasy Verlag","Arcanum Fantasy Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Arche","Arche Literatur Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Archipel","Archipel Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Arco","Arco Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Arcos-Verl.","Arcos Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ardey-Verlag","Ardey-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Arete-Verl.","Arete Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Arnshaugk","Arnshaugk Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Arovell Verlag","AROVELL Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Ars Edition","arsEdition","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Ars Una","ars una Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"Ars Vivendi","ars vivendi verlag","Buchwissenschaft, Buchhandel","Verlag"
