"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag","sachgruppe_flag","is_verlag_by_name","is_verlagsrelevant_by_sachgruppe","is_verlag_candidate","verlag_score"
"K1110","Fischer Taschenbuch","Fischer-Taschenbuch-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K1","Grüne Aue",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K67","Akad.-Verl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K73","Albatros",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K135","Apollon Tempel Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K323","Bibliogr. Inst.",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K451","C & N",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K761","Ed. Augenblick",NULL,NULL,"Verlag",NULL,True,False,True,1
"K765","Ed. Bruder",NULL,NULL,"Verlag",NULL,True,False,True,1
"K840","Ed. Silberflügel",NULL,NULL,"Verlag",NULL,True,False,True,1
"K897","Edition Calamus",NULL,NULL,"Verlag",NULL,True,False,True,1
"K898","Edition Combes",NULL,NULL,"Verlag",NULL,True,False,True,1
"K1040","Entenpress",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K1106","Fireflies Press",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K1368","Herramhof Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K1766","Lesewuth",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K1889","Macholdt - der Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K2013","Mosers Büro GmbH",NULL,NULL,"Unternehmen",NULL,False,False,False,0
"K2015","MuSingal",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K2139","Paarl Rock Publishers",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K2197","Phillip Schmidt Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K2574","Soli Netz",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K2642","Studio Raster",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K2767","Undercoverbooks",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K2768","Undine","Astrid Seehaus Undine Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K2825","Verein zur Förderung und Vernetzung von Jugendkultur",NULL,NULL,"Verein",NULL,False,False,False,0
"K3019","Verlag am Rande",NULL,NULL,"Verlag",NULL,True,False,True,1
"K3207","Wydawnictwo Tadeusz Serocki",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K3338","enPunto",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K3408","myshow Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K3478","van Eck Verlag","Van Eck Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3479","vbb, Verlag für Berlin-Brandenburg","Verlag für Berlin-Brandenburg","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3480","verlag am park","Verlag am Park","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3481","verlag die brotsuppe","verlag die brotsuppe","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3482","verlag heil.reisen",NULL,NULL,"Verlag",NULL,True,False,True,1
"K3483","verlag honigbauch",NULL,NULL,"Verlag",NULL,True,False,True,1
"K3484","verlag.marless.de",NULL,NULL,"Verlag",NULL,True,False,True,1
"K3485","verlageinundsiebzig",NULL,NULL,"Verlag",NULL,True,False,True,1
"K3486","verlagsallianz","verlagsallianz","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3487","via Pho.to-Tool/ Made by Photo Lab, Fritz",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K3488","viademica.verlag berlin e. Kfm.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K3489","vomhörensehen medienagentur",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K3490","von Bockel","Von Bockel Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3491","von Reeken","DvR-Buchreihe - Kollektion Lasswitz","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K3492","von Zabern","Verlag Philipp von Zabern","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3493","von dem Knesebeck GmbH & Co. Verlag KG","von dem Knesebeck GmbH & Co. Verlag KG","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3494","wbg Edition","wbg Edition",NULL,"Verlag",NULL,True,False,True,1
"K3495","weissbooks.w","Weissbooks Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K3498","wespen-kontor",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K3502","worttransport.de",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K2","#BerlinAuthors",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K3","/",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K4","175er Verlag","175er Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K5","1Druck, DIVO",NULL,NULL,"Druckerei",NULL,False,False,False,0
"K6","27amigos",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K7","2A-Verlag, Akademie Freier Autoren e.V.","Akademie freier Autoren e.V. 2A-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K8","3. Oktober – Deutschland singt und klingt",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K9","360 Grad Verlag GmbH","360 Grad Verlag",NULL,"Verlag",NULL,True,False,True,1
"K10","3VerSchreiber",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K11","7Sterne-Ed.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K12","A. Agic",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K13","A. Delon",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K14","A. Fritz Verlag","A. Fritz Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K15","A. Hennig",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K16","A. Jochim Vela-Verlag","Vela Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K17","A. Springer","A. Springer Verlag AG","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K18","A.E. Johann-Gesellschaft e.V.",NULL,NULL,"Verein",NULL,False,False,False,0
