"koerperschaft_id","kategorie","n_publikationsbeteiligungen"
"K1000","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1001","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1002","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1003","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1004","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1005","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1006","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1007","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1008","definitiv Verlag (Name + Sachgruppe)",5
"K1009","definitiv Verlag (Name + Sachgruppe)",1
"K1010","definitiv Verlag (Name + Sachgruppe)",2
"K1011","definitiv Verlag (Name + Sachgruppe)",4
"K1012","definitiv Verlag (Name + Sachgruppe)",1
"K1013","definitiv Verlag (Name + Sachgruppe)",1
"K1015","definitiv Verlag (Name + Sachgruppe)",9
"K1016","definitiv Verlag (Name + Sachgruppe)",1
"K1017","definitiv Verlag (Name + Sachgruppe)",22
"K1018","definitiv Verlag (Name + Sachgruppe)",5
"K1019","definitiv Verlag (Name + Sachgruppe)",1
"K102","definitiv Verlag (Name + Sachgruppe)",1
"K1020","definitiv Verlag (Name + Sachgruppe)",3
"K1021","definitiv Verlag (Name + Sachgruppe)",1
"K1022","definitiv Verlag (Name + Sachgruppe)",3
"K1023","definitiv Verlag (Name + Sachgruppe)",9
"K1025","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1026","definitiv Verlag (Name + Sachgruppe)",1
"K1027","definitiv Verlag (Name + Sachgruppe)",4
"K1028","Verlag laut Name (keine verlagsrelevante Sachgruppe)",7
"K1029","definitiv Verlag (Name + Sachgruppe)",5
"K1033","definitiv Verlag (Name + Sachgruppe)",2
"K1034","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1036","definitiv Verlag (Name + Sachgruppe)",4
"K1037","definitiv Verlag (Name + Sachgruppe)",278
"K1038","definitiv Verlag (Name + Sachgruppe)",1
"K1039","definitiv Verlag (Name + Sachgruppe)",1
"K104","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1041","definitiv Verlag (Name + Sachgruppe)",1
"K1042","definitiv Verlag (Name + Sachgruppe)",2
"K1044","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1046","definitiv Verlag (Name + Sachgruppe)",1
"K1047","definitiv Verlag (Name + Sachgruppe)",7
"K1048","definitiv Verlag (Name + Sachgruppe)",1
"K1049","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
