"koerperschaft_id","koerperschaft_name","kategorie","n_publikationsbeteiligungen"
"K1037","Engelsdorfer Verlag","definitiv Verlag (Name + Sachgruppe)",278
"K2598","St. Benno-Verlag","definitiv Verlag (Name + Sachgruppe)",162
"K1110","Fischer-Taschenbuch-Verlag","definitiv Verlag (Name + Sachgruppe)",155
"K3414","novum pro Verlag","definitiv Verlag (Name + Sachgruppe)",117
"K2053","net-Verlag","Verlag laut Name (keine verlagsrelevante Sachgruppe)",115
"K975","Edition Winterwork","definitiv Verlag (Name + Sachgruppe)",106
"K1193","Geest-Verlag GmbH & Co. KG","definitiv Verlag (Name + Sachgruppe)",98
"K2308","Rediroma-Verlag","definitiv Verlag (Name + Sachgruppe)",97
"K646","Diogenes Verlag","definitiv Verlag (Name + Sachgruppe)",89
"K541","F.-Coppenrath-Verlag (Münster (Westf))","Verlag laut Name (keine verlagsrelevante Sachgruppe)",81
"K2543","Shaker Verlag","definitiv Verlag (Name + Sachgruppe)",71
"K2304","Reclam-Verlag (Leipzig). Reclam-Archiv","Verlag laut Name (keine verlagsrelevante Sachgruppe)",70
"K3433","Projekt Verlag","definitiv Verlag (Name + Sachgruppe)",68
"K2649","Suhrkamp Verlag","definitiv Verlag (Name + Sachgruppe)",66
"K1472","Insel Verlag Berlin","definitiv Verlag (Name + Sachgruppe)",65
"K199","August-von-Goethe-Literaturverlag","Verlag laut Name (keine verlagsrelevante Sachgruppe)",63
"K478","Calvendo Verlag GmbH","definitiv Verlag (Name + Sachgruppe)",62
"K2205","Piper Verlag","definitiv Verlag (Name + Sachgruppe)",60
"K324","Verlag Bibliothek der Provinz","definitiv Verlag (Name + Sachgruppe)",54
"K390","Brunnen Verlag (Gießen)","definitiv Verlag (Name + Sachgruppe)",53
