"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"K1","Grüne Aue",NULL,NULL,NULL
"K73","Albatros",NULL,NULL,NULL
"K323","Bibliogr. Inst.",NULL,NULL,NULL
"K451","C & N",NULL,NULL,NULL
"K1040","Entenpress",NULL,NULL,NULL
"K1106","Fireflies Press",NULL,NULL,NULL
"K1766","Lesewuth",NULL,NULL,NULL
"K2013","Mosers Büro GmbH",NULL,NULL,"Unternehmen"
"K2015","MuSingal",NULL,NULL,NULL
"K2139","Paarl Rock Publishers",NULL,NULL,NULL
"K2574","Soli Netz",NULL,NULL,NULL
"K2642","Studio Raster",NULL,NULL,NULL
"K2767","Undercoverbooks",NULL,NULL,NULL
"K2825","Verein zur Förderung und Vernetzung von Jugendkultur",NULL,NULL,"Verein"
"K3207","Wydawnictwo Tadeusz Serocki",NULL,NULL,NULL
"K3338","enPunto",NULL,NULL,NULL
"K3487","via Pho.to-Tool/ Made by Photo Lab, Fritz",NULL,NULL,NULL
"K3489","vomhörensehen medienagentur",NULL,NULL,NULL
"K3498","wespen-kontor",NULL,NULL,NULL
"K3502","worttransport.de",NULL,NULL,NULL
"K2","#BerlinAuthors",NULL,NULL,NULL
"K3","/",NULL,NULL,NULL
"K6","27amigos",NULL,NULL,NULL
"K8","3. Oktober – Deutschland singt und klingt",NULL,NULL,NULL
"K10","3VerSchreiber",NULL,NULL,NULL
"K12","A. Agic",NULL,NULL,NULL
"K13","A. Delon",NULL,NULL,NULL
"K15","A. Hennig",NULL,NULL,NULL
"K18","A.E. Johann-Gesellschaft e.V.",NULL,NULL,"Verein"
"K21","A7L Thrilling Books Limited",NULL,NULL,NULL
"K25","AB, TravenBooks",NULL,NULL,NULL
"K30","AIKA Consulting GmbH",NULL,NULL,"Unternehmen"
"K36","APRYCOT",NULL,NULL,NULL
"K40","ATE","Ate",NULL,NULL
"K54","Adonia","Adonia (Körperschaft)","Gruppe, Organisationssoziologie, Interaktion",NULL
"K55","Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH",NULL,NULL,"Unternehmen"
"K56","Adwork Köln - Halven Hahn Produktion",NULL,NULL,NULL
"K60","Agade Publ. House",NULL,NULL,NULL
"K77","Alexander, Darleen",NULL,NULL,NULL
"K80","Ali Hensel",NULL,NULL,NULL
"K85","Almadinah gUG",NULL,NULL,NULL
"K91","Alpha Litart",NULL,NULL,NULL
"K92","Alphabeta","AlphaBeta",NULL,NULL
"K93","Altan","Altan","Musik (Allgemeines), Musikgeschichte",NULL
"K100","Amazon Distribution",NULL,NULL,NULL
"K101","Amazon Media EU S.à r.l.",NULL,NULL,NULL
"K105","Amicus","Amicus",NULL,NULL
"K109","Amonja Publishing",NULL,NULL,NULL
"K115","Anderland Books",NULL,NULL,NULL
