"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag","literaturfern_status","bemerkung","website","updated_at"
"K1","Grüne Aue",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K10","3VerSchreiber",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K100","Amazon Distribution",NULL,NULL,NULL,"true","Logistikunternehmen","https://www.northdata.de/Amazon%20Distribution%20GmbH,%20Leipzig/HRB%2022572","2026-04-12 16:34:48.658505"
"K101","Amazon Media EU S.à r.l.",NULL,NULL,NULL,"unklar","Abonnementdienste, Digitalvertrieb","https://www.northdata.de/Amazon%20Media%20EU%20S%C3%A0rl,%20Luxembourg/B112767","2026-04-12 16:34:48.658505"
"K1014","ElIbiary",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1024","Ellie Harding c/o Steffen TextArt",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1031","Em Huisken Musik und Wort",NULL,NULL,NULL,"false","Firma Em Huisken Musik und Wort","https://emhuisken.de/wordpress/agb/","2026-04-12 16:34:48.658505"
"K1032","Emmerich Books & Media",NULL,NULL,NULL,"false","Kleinverlag","https://www.emmerich-books-media.de/","2026-04-12 19:24:36.816104"
"K1040","Entenpress",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K105","Amicus","Amicus",NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1050","Erika Hörzer",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1052","Ernst-Moritz-Arndt-Gymnasium","Ernst-Moritz-Arndt-Gymnasium Bergen","Schule","Bildungseinrichtung","true","Schule",NULL,"2026-04-12 16:34:48.658505"
"K1058","Esslinger",NULL,NULL,NULL,"false","Verlag","https://www.thienemann.de/unsere-verlage/esslinger-verlag?srsltid=AfmBOoqvbJfMIPtvuDRuFHkVOqRQufcds62vO52PRVDLaH_zZdk_YqX4","2026-04-12 16:34:48.658505"
"K1063","Europa Buch",NULL,NULL,NULL,"false","Verlag","https://www.europabuchladen.com/","2026-04-12 19:24:36.816104"
"K1068","Evang. Ges.",NULL,NULL,NULL,"true","Kirche",NULL,"2026-04-12 16:34:48.658505"
"K1071","Even Terms Press",NULL,NULL,NULL,"false","Autorverlag","https://www.eventermspress.de/","2026-04-12 16:34:48.658505"
"K1072","Exchange and Dialogue",NULL,NULL,NULL,"unklar","unbekannt",NULL,"2026-04-12 16:34:48.658505"
"K1076","FELiCiTARiS","FELiCiTARiS",NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1077","FH Joanneum, Studiengang Informationsdesign","FH JOANNEUM Gesellschaft. Studiengang Informationsdesign",NULL,"Gemeinschaft","true","unklar","https://www.fh-joanneum.at/informationsdesign/bachelor/","2026-04-12 16:34:48.658505"
"K1084","Factum Coloniae",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1088","Fakriro GbR",NULL,NULL,"Unternehmen","false","Self-Publishing-Agentur","https://fakriro.de/","2026-04-12 16:34:48.658505"
"K109","Amonja Publishing",NULL,NULL,NULL,"false","unklar",NULL,"2026-04-12 19:24:36.816104"
"K1098","Feiyr",NULL,NULL,NULL,"false","internationaler Digitalvertrieb, der sich seit 2005 als einer der führenden Vertriebe für Musik, eBooks und Hörbücher weltweit etabliert hat. ","https://www.feiyr.com/de/ueber-uns/","2026-04-12 16:34:48.658505"
"K1099","Fel!x","FEL",NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1101","Feldmann",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1106","Fireflies Press",NULL,NULL,NULL,"false","independent publisher of books on contemporary cinema.","https://firefliespress.com/About","2026-04-12 16:34:48.658505"
"K1108","Fischer Digital",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1114","Fischern",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1115","Flying Grandpa",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1118","Fondation Servais pour la littérature luxembourgeoise","Fondation Servais pour la Littérature Luxembourgeoise",NULL,NULL,"false","Stiftung für Literatur","https://fondationservais.lu/","2026-04-12 16:34:48.658505"
"K1120","Fontana Edizioni","Fontana edizioni",NULL,NULL,"false","Verlag","https://www.fontanaedizioni.ch/","2026-04-12 16:34:48.658505"
"K1121","Fontis","Fontis AG",NULL,NULL,"false","Verlag","https://www.fontis-shop.ch/","2026-04-12 16:34:48.658505"
"K1124","Forum Gundernhausen","Forum Gundernhausen",NULL,"Gemeinschaft","true","Kulturverein","https://www.nachhaltig-zusammen-leben.jetzt/gemeinsam-gestalten/kunst-und-kultur-leben/","2026-04-12 16:34:48.658505"
"K1125","Forum Stadtkirche Wunstorf","Forum Stadtkirche Wunstorf",NULL,"Gemeinschaft","false","Verein (Kirche) ","https://www.forum-stadtkirche.de/verein/","2026-04-12 16:34:48.658505"
"K1126","Forumhelden GmbH",NULL,NULL,"Gemeinschaft","true","Forennetzwerk","https://www.forumhelden.de/ueber-uns/","2026-04-12 16:34:48.658505"
"K1127","Fotolia","Fotolia Deutschland","Einzelne Branchen der Industrie und des Handwerks",NULL,"true","Bildagentur","https://stock.adobe.com/de/promo/firstmonthfree?ef_id=CjwKCAjwhe3OBhABEiwA6392zI1SIy8lbgQ5Vxdh3g3hwPYZj2BTo7ZwAJsKLZFCdKdob4fmXE9DKRoCbA8QAvD_BwE:G:s&s_kwcid=AL!3085!3!730295003225!e!!g!!fotolia!746492092!44660863892&as_channel=sem&as_campclass=nonbrand&as_campaign=DE_CPRO_STOCK_NONBRAND_ROI_CORE_Fotolia_STOCK_EXACT_CROSS_SEARCH_na_GG_DE&as_source=google&mv=search&mv2=paidsearch&as_camptype=acquisition&sdid=BRLW318L&as_audience=core&gad_source=1&gad_campaignid=746492092&gclid=CjwKCAjwhe3OBhABEiwA6392zI1SIy8lbgQ5Vxdh3g3hwPYZj2BTo7ZwAJsKLZFCdKdob4fmXE9DKRoCbA8QAvD_BwE","2026-04-12 16:34:48.658505"
"K1129","Francke",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1130","Frank",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1138","Frauenmuseum","Frauenmuseum Bonn","Gruppe, Organisationssoziologie, Interaktion; Kunstgeschichte; Archiv, Museum",NULL,"true","Museum","https://frauenmuseum.de/","2026-04-12 16:34:48.658505"
"K1142","Freiwillige Feuerwehr Haiterbach, Abt. Haiterbach","Freiwillige Feuerwehr Haiterbach. Abteilung Haiterbach","Öffentliche Verwaltung, Öffentlicher Dienst",NULL,"true","Feuerwehr","https://www.haiterbach.de/leben-wohnen/feuerwehr","2026-04-12 16:34:48.658505"
"K1144","Freunde der Literatur in Bayern e.V.","Verein der Freunde der Literatur in Bayern e.V.",NULL,"Verein","false","Verein","https://www.literaturinbayern.de/verein/","2026-04-12 19:24:36.816104"
"K1145","Freundeskreis des Literaturhauses Schleswig-Holstein",NULL,NULL,"Gemeinschaft","false","Literaturhaus",NULL,"2026-04-12 19:24:36.816104"
"K1146","Freundeskreis, Botanischer Garten",NULL,NULL,"Gemeinschaft","true","Verein",NULL,"2026-04-12 16:34:48.658505"
"K1148","Frick",NULL,NULL,NULL,"unklar","unklar","https://www.freunde-bot-garten-muenchen.de/","2026-04-12 16:34:48.658505"
"K1149","Friedenauer Presse","Friedenauer Presse","Presse",NULL,"false","Verlag","https://www.matthes-seitz-berlin.de/friedenauer-presse.html","2026-04-12 16:34:48.658505"
"K115","Anderland Books",NULL,NULL,NULL,"false","Mini-Verlag","https://anderlandbooks.com/home","2026-04-12 19:24:36.816104"
"K1150","Friedmann",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1151","Friedrich",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1153","Friedrich-Bödecker-Kreis in Sachsen-Anhalt","Friedrich-Bödecker-Kreis in Sachsen-Anhalt",NULL,"Gemeinschaft","false","Verein für Leseförderung und Literaturvermittlung","https://www.fbk-lsa.de/","2026-04-12 16:34:48.658505"
"K1155","Friesische Philologie/Nordfriesische Wörterbuchstelle, Christian-Albrechts-Universität zu Kiel",NULL,NULL,"Bildungseinrichtung","false","Universität",NULL,"2026-04-12 19:24:36.816104"
"K1156","Fritzsche",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1157","Fuchs",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1160","Förderverein Amtliche Vermessung im Kanton Bern","Förderverein 100 Jahre Amtliche Vermessung im Kanton Bern",NULL,"Verein","true","Verein Vermessung","https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2012/Seiten/2012011902.aspx","2026-04-12 16:34:48.658505"
"K1161","Förderverein Stadtmuseum Hattingen",NULL,NULL,"Verein","true","Museum Förderverein","https://www.hattingen.de/stadt_hattingen/Bildung%20und%20Kultur/Stadtmuseum/F%C3%B6rderverein/","2026-04-12 16:34:48.658505"
"K1162","Förderverein für das Erich-Kästner-Museum","Förderverein für das Erich Kästner Museum",NULL,"Verein","false","Literaturmuseum Förderverein",NULL,"2026-04-12 16:34:48.658505"
"K1163","Förderwerk Elbinseln",NULL,NULL,NULL,"true","Verein für Stadtteilentwicklung, Integrations- und Bildungsförderung","https://www.foerderwerk-elbinseln.de/verein/","2026-04-12 16:34:48.658505"
"K1169","GEROJOKO",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1170","GEV",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1171","GGSV",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1173","GOYA",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1176","GUC",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1189","Garnies",NULL,NULL,NULL,"false","Verlag","https://www.vlg.de/","2026-04-12 16:34:48.658505"
"K1191","Gebr. Nadelmann",NULL,NULL,NULL,"false","Verlag","https://nadelmannverlag.de/","2026-04-12 16:34:48.658505"
"K1192","GedankenReich",NULL,NULL,NULL,"false","Verlag","https://www.gedankenreich-verlag.de/","2026-04-12 16:34:48.658505"
"K1198","Gemeinde Kemmern",NULL,NULL,NULL,"true","Gemeinde",NULL,"2026-04-13 09:31:54.785989"
"K12","A. Agic",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1200","Gemeinnütziger Verein zur Förderung des Literaturschaffens und des kulturellen Austauschs zwischen Deutschen und Polen e.V.",NULL,NULL,"Verein","false","Verein",NULL,"2026-04-12 19:24:36.816104"
"K1202","Genniges",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1207","Gerhard, Johanna",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1209","Gerlinger, Stefan",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K121","Andres",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1210","Gernot Kröger",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1213","Gietl","Geschwister Gietl","Musik (Allgemeines), Musikgeschichte",NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1218","Gisler Medien, Gisler 1843 AG","Gisler 1843 AG",NULL,NULL,"false","Medienhaus für Drucksachen, Text, Gestaltung und Werbung","https://www.gisler1843.ch/","2026-04-12 16:34:48.658505"
"K122","Andresen",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1221","Glossabooks",NULL,NULL,NULL,"false","unklar",NULL,"2026-04-12 19:24:36.816104"
"K1225","Goa Kana & Waratfy Ztaia",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1226","Goedeke",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1227","Goethe Universität Frankfurt","Goethe-Universität Frankfurt am Main","Hochschule","Bildungseinrichtung","true","Universität",NULL,"2026-04-12 16:34:48.658505"
"K123","Angele","Angele-Sippe",NULL,NULL,"true","Genealogie","http://www.angele-sippe.org/","2026-04-12 16:34:48.658505"
"K1233","Goldmacher",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1234","Goldmann",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1235","Goldschmidt GmbH",NULL,NULL,"Unternehmen","false","Druck und Medien","https://goldschmidt-druck.de/","2026-04-12 16:34:48.658505"
"K1236","Goldstadt-Autoren e. V., Verein",NULL,NULL,"Verein","false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1242","Golos-Press",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1246","Grafische Anstalten Hassa & Karl GbR",NULL,NULL,"Unternehmen","true","Comic-Schilder","https://www.comic-schilder.de/i/ueber-uns","2026-04-12 16:34:48.658505"
"K1248","Grafotlac Soltys",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1249","Grafotlač Šoltys",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
