"koerperschaft_id","koerperschaft_name","n_publikationsbeteiligungen"
"K100","Amazon Distribution",1
"K1052","Ernst-Moritz-Arndt-Gymnasium Bergen",1
"K1068","Evang. Ges.",1
"K1077","FH JOANNEUM Gesellschaft. Studiengang Informationsdesign",1
"K1124","Forum Gundernhausen",1
"K1126","Forumhelden GmbH",1
"K1127","Fotolia Deutschland",1
"K1138","Frauenmuseum Bonn",3
"K1142","Freiwillige Feuerwehr Haiterbach. Abteilung Haiterbach",1
"K1146","Freundeskreis, Botanischer Garten",1
"K1160","Förderverein 100 Jahre Amtliche Vermessung im Kanton Bern",1
"K1161","Förderverein Stadtmuseum Hattingen",1
"K1163","Förderwerk Elbinseln",1
"K1198","Gemeinde Kemmern",1
"K1227","Goethe-Universität Frankfurt am Main",1
"K123","Angele-Sippe",2
"K1246","Grafische Anstalten Hassa & Karl GbR",2
"K1277","Gunda-Werner-Institut",1
"K1279","Górnośląskie Centrum Kultury i Spotkań im. Eichendorffa",2
"K129","Ansichtssache - Agentur für Gestaltung",1
"K1314","Hardt & Wörner",1
"K1333","Heimann Stiftung für Völkerverständigung",3
"K1334","Heimat- u. Geschichtsverein",1
"K1335","Heimat- und Kulturverein Dahme",1
"K1336","Heimat- und Museumsverein Thayaland",1
"K1337","Heimat- und Verschönerungsverein Bad Salzuflen",1
"K1338","Heimatbote Schwalmtal",1
"K1339","Heimatfreunde Winterbach",1
"K1340","Heimatkundlicher Verein für Südböhmen e.V.",1
"K1348","Heinz-Willi Dammers",1
"K1378","Heydär Äliyev Fondu",1
"K1392","Hinterländer Geschichtsverein",1
"K142","Arbeitsgemeinschaft Selbstständiger Migranten e.V.",1
"K143","Arbeitskreis der Gleichstellungsbeauftragten des Märkischen Kreises, Arbeitskreis der Gleichstellungsbeauftragten des Märkischen",1
"K1431","IDEA",2
"K1432","IDV AG",1
"K144","Arbeitskreis für Dorfentwicklung und Heimatpflege",1
"K1464","Initiative DarkSky Nord",1
"K1473","Institut für Digitale Ethik",1
"K1475","Interforum e.V.",1
"K1497","Justizvollzugsanstalt (Hannover)",1
"K1567","Kath. Akad.",1
"K1586","Kidnap Music",1
"K1655","Kulturland Niederösterreich",1
"K1656","Kulturleben Marktgemeinde Grassau",1
"K1658","Kulturstammtisch Kirchstetten",1
"K1659","Kulturverein Möhnsee e.V.",1
"K1660","Kulturverein Schloss Homburg am Main",1
"K1668","Kunstforum Salzkammergut",1
"K1670","Kunsthochschule für Medien Köln",1
"K1674","Kuqi-Institut für Sprachwissenschaft, Adrian Kuqi",1
"K168","Artpress",1
"K1712","Handelsgenossenschaft der Landeshauptstadt Klagenfurt",1
"K1715","Landkreis Barnim. Kreistag",1
"K1738","Lebenshilfe Bremen",2
"K181","Atelier Coaching & Training",1
"K183","Atelier Margits Art",1
"K1896","Mainz",2
"K1918","Marsilius-Kolleg",1
"K1977","Ministère de l'Education Nationale et de la Formation Professionnelle",1
"K1981","Mission Ost-West e.V.",1
"K1995","Private Volksschule Hermagoras-Mohorjeva",4
"K2013","Mosers Büro GmbH",1
"K2020","Museum.BL",1
"K2092","Górnośla̜skie Centrum Kultury i Spotkań Im. Eichendorffa w Łubowicach",2
"K2122","Osttiroler Bote",1
"K222","Ayurveda-Verein Nexenhof",1
"K2242","ProMÖLLTAL - Initiative für Bildung, Kultur, Wirtschaft und Tourismus",1
"K2243","Progressing-Your-Ideas-GmbH",1
"K2260","Pädagogische Forschungsstelle beim Bund der Freien Waldorfschulen",1
"K2267","Quartierverein Riesbach",1
"K2289","Raiffeisenbank (Sandweier, Baden-Baden)",1
"K2313","Regio Energie Solothurn",4
"K2536","Seniorenschreibtisch der Stadt Puchheim",1
"K2547","Shutterstock, Inc.",1
"K2556","SilvForLife Design",4
"K2574","Soli Netz",1
"K2595","Sprudelkiste.com Gleißner",1
"K2602","Hattingen",1
"K2603","Hilden (Stadt)",1
"K2604","Stadt Ostseebad Rerik",1
"K2605","Vechta",1
"K2607","Perg",1
"K2669","THW Österreich",1
"K2742","Trägerverein Werkraum Abersee und Kulturhauptstadt 2024 Salzkammergut",1
"K2773","Univerzita Palackého v Olomouci",1
"K2817","Frauenhäuser Steiermark - Verein zur Soforthilfe für Bedrohte und Misshandelte Frauen und Deren Kinder",1
"K2823","Verein zur Förderung der Raumfahrt",1
"K2825","Verein zur Förderung und Vernetzung von Jugendkultur",1
"K30","AIKA Consulting GmbH",1
"K303","Bergverein (Hüttenrode)",1
"K3113","Wasserburg Rindern (Kleve, Kreis Kleve)",6
"K3155","Westfälische Wilhelms-Universität Münster, Zentrale Kustodie",1
"K3164","Die Wiener Volkshochschulen",2
"K3232","Zürcher Kantonalbank",1
"K3244","artkonzeptkörner",1
"K3252","belkastudio",1
"K3357","hkk",1
"K3425","peppair GmbH",4
"K3430","pro Monstein",1
"K3439","radio 3",1
"K3487","via Pho.to-Tool/ Made by Photo Lab, Fritz",2
"K3489","vomhörensehen medienagentur",1
"K3505","www.hairfashionplus.ch",3
"K3510","Zentrale Beratungsstelle für Weltanschauungsfragen BW",1
"K3521","ÖBB Personenverkehr AG, Personalmanagement Kärnten",1
"K421","Heinrich-Budde-Haus Leipzig",1
"K423","Bundesverband Alphabetisierung und Grundbildung",2
"K448","Bürger- und Heimatverein Barßel",1
"K449","Bürgerstiftung Düren",1
"K452","C&C - Contact & Creation",1
"K461","CARE Deutschland e.V.",1
"K509","Chill Media",1
"K54","Adonia (Körperschaft)",1
"K55","Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH",1
"K569","Duale Hochschule Baden-Württemberg Mannheim",1
"K629","Die 7 Zwerge e.V.",1
"K654","Dominikanerkloster Prenzlau - Kulturzentrum und Museum",1
"K662","Dorferneuerungsverein Prigglitz",1
"K704","Dt. Rotes Kreuz, Ortsverein Hameln",2
"K8","3. Oktober – Deutschland singt und klingt",1
"K85","Almadinah gUG",1
"K92","AlphaBeta",1
