"koerperschaft_id","koerperschaft_name","n_publikationsbeteiligungen_gew"
"K1712","Landeshauptstadt Klagenfurt",16
"K2669","THW Österreich",1
"K1348","Heinz-Willi Dammers",1
"K3164","Wiener Volkshochsch.",2
"K1338","Heimatbote Schwalmtal",1
"K2289","Raiffeisenbank Baden",13
"K3521","ÖBB Personenverkehr AG, Personalmanagement Kärnten",1
"K1146","Freundeskreis, Botanischer Garten",1
"K1335","Heimat- und Kulturverein Dahme",1
"K2556","SilvForLife Design",4
"K181","Atelier Coaching & Training",1
"K1738","Lebenshilfe Bremen e.V.",2
"K2547","Shutterstock",1
"K123","Angele",2
"K704","Dt. Rotes Kreuz, Ortsverein Hameln",2
"K3425","peppair GmbH",4
"K85","Almadinah gUG",1
"K55","Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH",1
"K3430","pro Monstein",1
"K662","Dorferneuerungsverein Prigglitz",1
"K2260","Pädagogische Forschungsstelle beim Bund der Freien Waldorfschulen",1
"K1431","IDEA",2
"K2013","Mosers Büro GmbH",1
"K629","Die 7 Zwerge e.V.",1
"K2607","Stadtgemeinde Perg",1
"K3489","vomhörensehen medienagentur",9
"K452","C&C - Contact & Creation",1
"K448","Bürger- und Heimatverein Barßel e.V.",1
"K183","Atelier Margits Art",1
"K1668","Kunstforum Salzkammergut",1
"K1339","Heimatfreunde Winterbach",1
"K1314","Hardt & Wörner",1
"K1981","Mission Ost-West",1
"K3232","Zürcher Kantonalbank",16
"K1340","Heimatkundlicher Verein für Südböhmen e.V.",1
"K1124","Forum Gundernhausen",1
"K30","AIKA Consulting GmbH",1
"K461","CARE Deutschland e.V",11
"K569","DHBW Mannheim",1
"K1475","Interforum e.V.",1
"K1656","Kulturleben Marktgemeinde Grassau",5
"K1160","Förderverein Amtliche Vermessung im Kanton Bern",1
"K2574","Soli Netz",1
"K449","Bürgerstiftung Düren",5
"K1586","Kidnap Music",1
"K3439","radio 3",16
"K168","Artpress",1
"K2313","Regio Energie Solothurn",4
"K3155","Westfälische Wilhelms-Universität Münster, Zentrale Kustodie",1
"K2536","Seniorenschreibtisch der Stadt Puchheim",1
"K1392","Hinterländer Geschichtsverein",1
"K1655","Kulturland Niederösterreich",13
"K129","Ansichtssache - Agentur für Gestaltung",1
"K54","Adonia",1
"K1142","Freiwillige Feuerwehr Haiterbach, Abt. Haiterbach",1
"K423","Bundesverb. Alphabetisierung und Grundbildung",2
"K1138","Frauenmuseum",3
"K2742","Trägerverein Werkraum Abersee und Kulturhauptstadt 2024 Salzkammergut",1
"K3505","www.hairfashionplus.ch",3
"K1052","Ernst-Moritz-Arndt-Gymnasium",1
"K92","Alphabeta",1
"K1333","Heimann-Stiftung, für Völkerverständigung",3
"K3357","hkk Krankenkasse",9
"K1334","Heimat- u. Geschichtsverein",1
"K1127","Fotolia",1
"K1378","Heydär Äliyev Stiftung",1
"K142","Arbeitsgemeinschaft Selbstständiger Migranten e.V.",1
"K2817","Verein Frauenhäuser Steiermark, Verein Frauenhäuser",1
"K2602","Stadt Hattingen",16
"K1658","Kulturstammtisch",1
"K2825","Verein zur Förderung und Vernetzung von Jugendkultur",4
"K1068","Evang. Ges.",1
"K654","Dominikanerkloster Prenzlau",16
"K1077","FH Joanneum, Studiengang Informationsdesign",1
"K2605","Stadt Vechta",6
