"koerperschaft_id","koerperschaft_name","engagement_gew"
"K654","Dominikanerkloster Prenzlau",16
"K1161","Förderverein Stadtmuseum Hattingen",16
"K1126","Forumhelden GmbH",16
"K1712","Landeshauptstadt Klagenfurt",16
"K1715","Landkreis Barnim",16
"K3439","radio 3",16
"K2602","Stadt Hattingen",16
"K2603","Stadt Hilden",16
"K3232","Zürcher Kantonalbank",16
"K1655","Kulturland Niederösterreich",13
"K2289","Raiffeisenbank Baden",13
"K461","CARE Deutschland e.V",11
"K1227","Goethe Universität Frankfurt",10
"K3357","hkk Krankenkasse",9
"K3489","vomhörensehen medienagentur",9
"K2242","ProMÖLLTAL - Initiative für Bildung, Kultur, Wirtschaft und Tourismus",8
"K2605","Stadt Vechta",6
"K3113","Wasserburg Rindern",6
"K449","Bürgerstiftung Düren",5
"K1656","Kulturleben Marktgemeinde Grassau",5
