"person_id","person_name","objekt_typ","rolle","objekt_id","publikationsjahr"
"P6779","Hengesbach, Bettina","Buch","ÜbersetzerIn Buch","9783754671993",2022
"P19878","Zander, Stefan","Buch","VerfasserIn Buch","9783944643878",2018
"P2884","Crawford, Francis Marion","Buch","Unklare Rolle Buch","9783752978643",2020
"P15056","Saße, Günter","Buch","HerausgeberIn Buch","9783150175262",2012
"P19658","Wolff, Karl","Buch","VerfasserIn Buch","9783863560201",2011
"P11018","Malou, Anna","Buch","VerfasserIn Buch","9783960083832",2016
"P18465","Vogl, Christa","Buch","VerfasserIn Buch","9783947247653",2021
"P8667","Kingsley, Mia","Buch","Unklare Rolle Buch","9783745095838",2017
"P18155","Turovski, Jan","Buch","VerfasserIn Buch","9783753430836",2021
"P19003","Weipert, Simon","Buch","VerfasserIn Buch","9783758355585",2023
"P17923","Tigges, Hubertus","Buch","VerfasserIn Buch","9783757563875",2023
"P16844","Sperl, Gisa","Buch","VerfasserIn Buch","9783939465362",2008
"P3606","Döring, Rolf","Buch","VerfasserIn Buch","9783940129543",2008
"P168","Aistermann, Wolfgang","Buch","Sonstige Rolle Buch","9783981237238",2010
"P16508","Sickel, Nele","Buch","VerfasserIn Buch","9783945045114",2017
"P18583","W., Katrin S.","Buch","Sonstige Rolle Buch","9783942229630",2012
"P11282","Matzantke, Gabriele","Buch","Sonstige Rolle Buch","9783940360281",2010
"P15735","Scholl, Susanne","Buch","Sonstige Rolle Buch","9783701716463",2015
"P17573","Swietek, Lisa","Buch","HerausgeberIn Buch","9783948887018",2020
"P12602","Noble, Lilian","Buch","Sonstige Rolle Buch","9783943481174",2013
"P17650","Tamcke, Karin","Buch","VerfasserIn Buch","9783927708938",2013
"P17318","Strachwitz, Hubertus-Kraft von","Buch","VerfasserIn Buch","9783939727965",2015
"P4393","Fingerhuth, Catharina","Literaturwettbewerb Ausgabe","Jurymitglied","WA132",2013
"P16834","Spellerberg, Arnold","Buch","VerfasserIn Buch","9783940212559",2011
"P6123","Hackl, Anna","Literaturwettbewerb Ausgabe","GewinnerIn","WA31",2020
"P1442","Beyerl, Beppo","Buch","VerfasserIn Buch","9783990295960",2023
"P17550","Suska-Zerbes, Peter","Buch","Sonstige Rolle Buch","9783942229272",2011
"P1137","Beil, Lilo","Buch","VerfasserIn Buch","9783946190202",2016
"P10215","Lehnert, Oliver","Buch","VerfasserIn Buch","9783957203588",2023
"P11125","Markart, Mike","Buch","VerfasserIn Buch","9783950318494",2012
"P17146","Stelzl, Ulrike","Buch","VerfasserIn Buch","9783902903778",2014
"P79","Abts, Norbert","Buch","VerfasserIn Buch","9783000368820",2012
"P14532","Rosen, Rita","Buch","HerausgeberIn Buch","9783941072053",2011
"P17755","Tertinegg, Peter","Buch","VerfasserIn Buch","9783905960853",2019
"P18201","Ucik, Hannelore","Buch","VerfasserIn Buch","9783200060814",2018
"P12916","Packebusch, Katrin","Buch","HerausgeberIn Buch","9783982209500",2020
"P5151","Geißler, Heike","Buch","VerfasserIn Buch","9783948305031",2020
"P17150","Stengel, Joachim","Buch","Unklare Rolle Buch","9783751919913",2020
"P8460","Keip, Rainer","Buch","VerfasserIn Buch","9783754921470",2021
"P5498","Graf, Mia","Buch","VerlegerIn Buch","9783384048028",2023
"P4433","Fischer, Christina M.","Buch","Sonstige Rolle Buch","9783942229609",2012
"P14681","Ruhdorfer, Luise M.","Buch","VerfasserIn Buch","9783868703825",2011
"P6276","Hancock, Sarah","Buch","VerfasserIn Buch","9783750732490",2023
"P1561","Bittner, Michael","Buch","VerfasserIn Buch","9783942375252",2016
"P9901","Ladewig, Wolfgang W.","Buch","VerfasserIn Buch","9783940085986",2015
"P3597","Dörge, Christian","Buch","VerfasserIn Buch","9783754921470",2021
"P14842","S., Tracy","Buch","Sonstige Rolle Buch","9783981522013",2012
"P3927","Endemann, Stefanie","Buch","Sonstige Rolle Buch","9783929386523",2015
"P18952","Weihe, Richard","Buch","VerfasserIn Buch","9783907668917",2011
"P9764","König, Dieter","Buch","HerausgeberIn Buch","9783946498292",2021
"P4975","Gabelmann, Jürgen","Buch","VerfasserIn Buch","9783946498049",2017
"P5702","Gross, Viktor","Buch","VerfasserIn Buch","9783660806946",2014
"P6457","Hatwas, Eugene","Buch","VerfasserIn Buch","9783946381525",2018
"P14124","Reitmajer, Valentin","Buch","Sonstige Rolle Buch","9783942867443",2015
"P8705","Kirsch, Angelika","Buch","VerfasserIn Buch","9783887784089",2014
"P11358","Mayr-Gruber, Sigrid","Buch","VerfasserIn Buch","9783866349018",2010
"P18945","Weigel, Michael-A.","Buch","VerfasserIn Buch","9783741847172",2016
"P16169","Schäfer, Frank","Buch","Sonstige Rolle Buch","9783934896321",2011
"P16648","Skalicky, Peter","Buch","VerfasserIn Buch","9783966290340",2023
"P4393","Fingerhuth, Catharina","Literaturwettbewerb Ausgabe","Jurymitglied","WA168",2016
"P10242","Leistner, Eileen","Buch","VerfasserIn Buch","9783946498049",2017
"P13791","Radke, Horst-Dieter","Buch","VerfasserIn Buch","9783959593366",2022
"P20275","projektverlag","Buch","Unklare Rolle Buch","9783897335752",2022
"P2731","Christ, Claudia","Buch","Sonstige Rolle Buch","9783957200693",2015
"P6893","Hermann-Röttgen, Marion","Buch","VerfasserIn Buch","9783939322900",2012
