"person_id","person_name","folge_rolle","folge_jahr"
"P10128","Lawaczeck, Axel","VerfasserIn Buch",2023
"P10277","Lenherr, Luzius","VerfasserIn Buch",2010
"P10277","Lenherr, Luzius","VerfasserIn Buch",2012
"P10333","Leroch, Karin","VerfasserIn Buch",2020
"P10501","Lindner, Martin M.","VerfasserIn Buch",2023
"P10624","Loosli, Ruth","VerfasserIn Buch",2011
"P10624","Loosli, Ruth","VerfasserIn Buch",2023
"P10941","Mahlke, Inger-Maria","Jurymitglied",2016
"P10987","Makarewicz, Nicole","Sonstige Rolle Buch",2015
"P10987","Makarewicz, Nicole","VerfasserIn Buch",2010
"P10987","Makarewicz, Nicole","VerfasserIn Buch",2022
"P11204","Martynova, Olga","Jurymitglied",2021
"P11238","Mathies, Susanne","HerausgeberIn Buch",2018
"P11238","Mathies, Susanne","HerausgeberIn Buch",2019
"P11238","Mathies, Susanne","HerausgeberIn Buch",2020
"P1142","Beindorf, Heinrich","Sonstige Rolle Buch",2011
"P12122","Müller, Colin","VerfasserIn Buch",2021
"P12533","Nielsen, Jens","Jurymitglied",2016
"P12533","Nielsen, Jens","Jurymitglied",2017
"P12533","Nielsen, Jens","Jurymitglied",2018
"P12533","Nielsen, Jens","Jurymitglied",2019
"P12533","Nielsen, Jens","Jurymitglied",2020
"P12533","Nielsen, Jens","Jurymitglied",2021
"P12533","Nielsen, Jens","Jurymitglied",2022
"P12533","Nielsen, Jens","Jurymitglied",2023
"P12533","Nielsen, Jens","VerfasserIn Buch",2016
"P12821","Orths, Markus","VerfasserIn Buch",2009
"P12821","Orths, Markus","VerfasserIn Buch",2010
"P12821","Orths, Markus","VerfasserIn Buch",2013
"P12821","Orths, Markus","VerfasserIn Buch",2015
"P12914","Pacholski, Ronald","Sonstige Rolle Buch",2013
"P12914","Pacholski, Ronald","VerfasserIn Buch",2017
"P13024","Patten, André","VerfasserIn Buch",2021
"P13211","Petrowskaja, Katja","VerfasserIn Buch",2014
"P13211","Petrowskaja, Katja","VerfasserIn Buch",2017
"P13515","Popp, Steffen","Jurymitglied",2018
"P13844","Rammstedt, Tilman","Jurymitglied",2011
"P13854","Randt, Leif","Sonstige Rolle Buch",2013
"P13975","Redmann, Karsten","Unklare Rolle Buch",2018
"P14032","Reichelt, Jutta","VerfasserIn Buch",2014
"P14037","Reichert, Andrea","VerfasserIn Buch",2012
"P1428","Bewernitz, Doris","VerfasserIn Buch",2017
"P1428","Bewernitz, Doris","VerfasserIn Buch",2019
"P1428","Bewernitz, Doris","VerfasserIn Buch",2020
"P1428","Bewernitz, Doris","VerfasserIn Buch",2021
"P14645","Rubinowitz, Tex","Sonstige Rolle Buch",2015
"P14948","Sander, Gregor","VerfasserIn Buch",2011
"P15183","Scheidegger, Désirée","VerfasserIn Buch",2017
"P1531","Birnbacher, Birgit","VerfasserIn Buch",2022
"P15347","Schlegel, Tina","VerfasserIn Buch",2023
"P15373","Schliedermann, Frank","Sonstige Rolle Buch",2015
"P15373","Schliedermann, Frank","VerfasserIn Buch",2019
"P15879","Schubert, Helga","VerfasserIn Buch",2021
"P15879","Schubert, Helga","VerfasserIn Buch",2022
"P15879","Schubert, Helga","VerfasserIn Buch",2023
"P16434","Senkel, Matthias","VerfasserIn Buch",2021
"P16448","Setz, Clemens J.","Sonstige Rolle Buch",2018
"P16448","Setz, Clemens J.","VerfasserIn Buch",2012
"P16448","Setz, Clemens J.","VerfasserIn Buch",2019
"P16448","Setz, Clemens J.","VerfasserIn Buch",2020
"P16533","Siegfried, Anita","Sonstige Rolle Buch",2020
"P16814","Spang, Ina","Sonstige Rolle Buch",2022
"P16814","Spang, Ina","Sonstige Rolle Buch",2023
"P16814","Spang, Ina","VerfasserIn Buch",2023
"P17339","Straub, Isabella","VerfasserIn Buch",2013
"P18038","Travnicek, Cornelia","Sonstige Rolle Buch",2015
"P18038","Travnicek, Cornelia","VerfasserIn Buch",2017
"P18358","Varatharajah, Senthuran","Jurymitglied",2023
"P18812","Wawerzinek, Peter","Sonstige Rolle Buch",2012
"P18812","Wawerzinek, Peter","Sonstige Rolle Buch",2013
"P18812","Wawerzinek, Peter","Sonstige Rolle Buch",2015
"P1927","Brall, Dirk","HerausgeberIn Buch",2010
"P19508","Wirth, Doris","VerfasserIn Buch",2013
"P19715","Wray, John","VerfasserIn Buch",2021
"P299","Amann, Matthias","VerfasserIn Buch",2018
"P3347","Djizmedjian, Marc","VerfasserIn Buch",2021
"P3725","Effenhauser, Ulrich","VerfasserIn Buch",2017
"P3827","Eisel, Jens","VerfasserIn Buch",2014
"P4085","Estis, Alexander","VerfasserIn Buch",2022
"P4085","Estis, Alexander","VerfasserIn Buch",2023
"P415","Ani, Friedrich","Sonstige Rolle Buch",2016
"P415","Ani, Friedrich","VerfasserIn Buch",2011
"P415","Ani, Friedrich","VerfasserIn Buch",2013
"P415","Ani, Friedrich","VerfasserIn Buch",2014
"P415","Ani, Friedrich","VerfasserIn Buch",2015
"P415","Ani, Friedrich","VerfasserIn Buch",2022
"P4238","Fehr, Michael","VerfasserIn Buch",2017
"P433","Anselm, Doris","VerfasserIn Buch",2017
"P4505","Fleischer, Ludwig Roman","VerfasserIn Buch",2018
"P4505","Fleischer, Ludwig Roman","VerfasserIn Buch",2020
"P4505","Fleischer, Ludwig Roman","VerfasserIn Buch",2021
"P4591","Frambach, Sabine","VerfasserIn Buch",2022
"P4591","Frambach, Sabine","VerfasserIn Buch",2023
"P5032","Ganzoni, Romana","VerfasserIn Buch",2017
"P5032","Ganzoni, Romana","VerfasserIn Buch",2021
"P5435","Gomringer, Nora","Jurymitglied",2018
"P5435","Gomringer, Nora","Jurymitglied",2019
"P5435","Gomringer, Nora","Jurymitglied",2020
"P5435","Gomringer, Nora","Sonstige Rolle Buch",2022
"P5735","Großmann, Ulf","Sonstige Rolle Buch",2015
"P5735","Großmann, Ulf","VerfasserIn Buch",2017
"P5742","Gruber, Andreas","Sonstige Rolle Buch",2015
"P5742","Gruber, Andreas","VerfasserIn Buch",2012
"P5742","Gruber, Andreas","VerfasserIn Buch",2015
"P6029","Güntner, Verena","Jurymitglied",2020
"P6486","Haupt, Sabine","VerfasserIn Buch",2022
"P6735","Helle, Heinz","Sonstige Rolle Buch",2020
"P78","Abt, Sabine","VerfasserIn Buch",2023
"P8113","Juschka, Joey","VerfasserIn Buch",2022
"P8113","Juschka, Joey","VerfasserIn Buch",2023
"P8185","Kadelbach, Thomas","Sonstige Rolle Buch",2010
"P8521","Kempker, Kerstin","Sonstige Rolle Buch",2014
"P8576","Ketelaer, Benedikt","VerfasserIn Buch",2017
"P8835","Klemm, Gertraud","Sonstige Rolle Buch",2017
"P9172","Kornberger, Ruth","Unklare Rolle Buch",2018
"P9322","Krause, Roland","VerfasserIn Buch",2016
"P9516","Krömer, Philip","VerfasserIn Buch",2020
"P9516","Krömer, Philip","VerfasserIn Buch",2023
"P9654","Kurz, Andreas","Sonstige Rolle Buch",2010
"P9672","Kutil, Katharina","VerfasserIn Buch",2016
"P9916","Lahayne, Olaf","VerfasserIn Buch",2022
