konsekr_id;jahr;preis;autor_name;person_id;buch
k1;1951;Georg-Büchner-Preis;Benn, Gottfried;;
k3;1954;Georg-Büchner-Preis;Kessel, Martin;;
k5;1956;Georg-Büchner-Preis;Krolow, Karl;;
k9;1960;Georg-Büchner-Preis;Celan, Paul;;
k10;1961;Georg-Büchner-Preis;Nossack, Hans Erich;;
k11;1962;Georg-Büchner-Preis;Koeppen, Wolfgang;;
k15;1966;Georg-Büchner-Preis;Hildesheimer, Wolfgang;;
k17;1968;Georg-Büchner-Preis;Mann, Golo;;
k18;1969;Georg-Büchner-Preis;Heißenbüttel, Helmut;;
k20;1971;Georg-Büchner-Preis;Johnson, Uwe;;
k21;1972;Georg-Büchner-Preis;Canetti, Elias;;
k22;1973;Georg-Büchner-Preis;Handke, Peter;;
k23;1974;Georg-Büchner-Preis;Kesten, Hermann;;
k24;1975;Georg-Büchner-Preis;Sperber, Manès;;
k25;1976;Georg-Büchner-Preis;Piontek, Heinz;;
k27;1978;Georg-Büchner-Preis;Lenz, Hermann;;
k28;1979;Georg-Büchner-Preis;Meister, Ernst;;
k31;1982;Georg-Büchner-Preis;Weiss, Peter;;
k33;1984;Georg-Büchner-Preis;Jandl, Ernst;;
k34;1985;Georg-Büchner-Preis;Müller, Heiner;;
k36;1987;Georg-Büchner-Preis;Fried, Erich;;
k39;1990;Georg-Büchner-Preis;Dorst, Tankred;;
k40;1991;Georg-Büchner-Preis;Biermann, Wolf;;
k41;1992;Georg-Büchner-Preis;Tabori, George;;
k45;1996;Georg-Büchner-Preis;Kirsch, Sarah;;
k46;1997;Georg-Büchner-Preis;Artmann, H. C.;;
k47;1998;Georg-Büchner-Preis;Jelinek, Elfriede;;
k50;2001;Georg-Büchner-Preis;Mayröcker, Friederike;;
k53;2004;Georg-Büchner-Preis;Genazino, Wilhelm;;
k55;2006;Georg-Büchner-Preis;Pastior, Oskar;;
k57;2008;Georg-Büchner-Preis;Winkler, Josef;;
k60;2011;Georg-Büchner-Preis;Delius, Friedrich Christian;;
k63;2014;Georg-Büchner-Preis;Becker, Jürgen;;
k64;2015;Georg-Büchner-Preis;Goetz, Rainald;;
k66;2017;Georg-Büchner-Preis;Wagner, Jan;;
k69;2020;Georg-Büchner-Preis;Erb, Elke;;
k73;2024;Georg-Büchner-Preis;Egger, Oswald;;
k79;2005;SL Deutscher Buchpreis;Lustiger, Gila;;So sind wir
k80;2005;SL Deutscher Buchpreis;Mayröcker, Friederike;;Und ich schüttelte einen Liebling
k96;2008;SL Deutscher Buchpreis;Hanika, Iris;;Treffen sich zwei
k97;2008;SL Deutscher Buchpreis;Lappert, Rolf;;Nach Hause schwimmen
k100;2009;SL Deutscher Buchpreis;Merkel, Rainer;;Lichtjahre entfernt
k101;2009;SL Deutscher Buchpreis;Müller, Herta;;Atemschaukel
k102;2009;SL Deutscher Buchpreis;Scheuer, Norbert;;Überm Rauschen
k177;2022;Deutscher Buchpreis;de l'Horizon, Kim;P20408;Blutbuch
k104;2009;SL Deutscher Buchpreis;Thome, Stephan;;Grenzgang
k105;2010;Deutscher Buchpreis;Abonji, Melinda Nadj;;Tauben fliegen auf
k106;2010;SL Deutscher Buchpreis;Faktor, Jan;;Georgs Sorgen um die Vergangenheit oder im Reich des heiligen Hodensack-Bimbams von Prag
k149;2017;SL Deutscher Buchpreis;Franzobel;P4711;Das Floß der Medusa
k108;2010;SL Deutscher Buchpreis;Rabinovici, Doron;;Andernorts
k111;2011;Deutscher Buchpreis;Ruge, Eugen;;In Zeiten des abnehmenden Lichts
k118;2012;SL Deutscher Buchpreis;Augustin, Ernst;;Robinsons blaues Haus
k119;2012;SL Deutscher Buchpreis;Herrndorf, Wolfgang;;Sand
k121;2012;SL Deutscher Buchpreis;Thome, Stephan;;Fliehkräfte
k128;2013;SL Deutscher Buchpreis;Zeiner, Monika;;Die Ordnung der Sterne über Como
k132;2014;SL Deutscher Buchpreis;Leutenegger, Gertrud;;Panischer Frühling
k134;2014;SL Deutscher Buchpreis;Steinfest, Heinrich;;Der Allesforscher
k137;2015;SL Deutscher Buchpreis;Lappert, Rolf;;Über den Winter
k141;2016;Deutscher Buchpreis;Kirchhoff, Bodo;;Widerfahrnis
k143;2016;SL Deutscher Buchpreis;Kubiczek, André;;Skizze eines Sommers
k148;2017;SL Deutscher Buchpreis;Falkner, Gerhard;;Romeo oder Julia
k152;2017;SL Deutscher Buchpreis;Salzmann, Sasha Marianna;;Außer sich
k154;2018;SL Deutscher Buchpreis;Barbetta, María Cecilia;;Nachtleuchten
k156;2018;SL Deutscher Buchpreis;Haratischwili, Nino;;Die Katze und der General
k158;2018;SL Deutscher Buchpreis;Thome, Stephan;;Gott der Barbaren
k161;2019;SL Deutscher Buchpreis;Kühmel, Miku Sophie;;Kintsugi
k162;2019;SL Deutscher Buchpreis;Schachinger, Tonio;;Nicht wie ihr
k163;2019;SL Deutscher Buchpreis;Scheuer, Norbert;;Winterbienen
k164;2019;SL Deutscher Buchpreis;Thomae, Jackie;;Brüder
k169;2020;SL Deutscher Buchpreis;Ohde, Deniz;;Streulicht
k170;2020;SL Deutscher Buchpreis;Wunnicke, Christine;;Die Dame mit der bemalten Hand
k174;2021;SL Deutscher Buchpreis;Kracht, Christian;;Eurotrash
k175;2021;SL Deutscher Buchpreis;Kunst, Thomas;;Zandschower Klinken
k179;2022;SL Deutscher Buchpreis;Bilkau, Kristine;;Nebenan
k181;2022;SL Deutscher Buchpreis;Faktor, Jan;;Trottel
k211;2010;Kleist-Preis;Schirach, Ferdinand von;P15508;
k183;2023;Deutscher Buchpreis;Schachinger, Tonio;;Echtzeitalter
k186;2023;SL Deutscher Buchpreis;Rabe, Anne;;Die Möglichkeit von Glück
