"person_name","award_year","eff_before_years","eff_after_years","n_before","n_after","rate_before_per_year","rate_after_per_year","diff_rate_after_minus_before","decreased"
"Bärfuss, Lukas",2019,10,5,0,1,0.000,0.200,0.200,False
"Beyer, Marcel",2014,6,10,0,1,0.000,0.100,0.100,False
"Biller, Maxim",2018,10,6,4,0,0.400,0.000,-0.400,True
"Bjerg, Bov",2020,10,4,3,0,0.300,0.000,-0.300,True
"Bonné, Mirko",2013,5,11,0,1,0.000,0.091,0.091,False
"Brandt, Jan",2011,3,11,0,1,0.000,0.091,0.091,False
"Buselmeier, Michael",2011,3,11,0,1,0.000,0.091,0.091,False
"Dath, Dietmar",2008,0,11,0,1,NULL,0.091,NULL,NULL
"Dröscher, Daniela",2022,10,2,0,0,0.000,0.000,0.000,False
"Edelbauer, Raphaela",2019,10,5,1,0,0.100,0.000,-0.100,True
"Elmiger, Dorothee",2020,10,4,1,0,0.100,0.000,-0.100,True
"Fatah, Sherko",2008,0,11,0,2,NULL,0.182,NULL,NULL
"Franzobel",2017,9,7,0,2,0.000,0.286,0.286,False
"Gstrein, Norbert",2021,10,3,2,0,0.200,0.000,-0.200,True
"Helfer, Monika",2021,10,3,3,0,0.300,0.000,-0.300,True
"Hettche, Thomas",2014,6,10,0,1,0.000,0.100,0.100,False
"Jirgl, Reinhard",2010,2,11,0,1,0.000,0.091,0.091,False
"Kaiser-Mühlecker, Reinhard",2016,8,8,1,0,0.125,0.000,-0.125,True
"Kappacher, Walter",2009,1,11,0,1,0.000,0.091,0.091,False
"Kinsky, Esther",2022,10,2,1,0,0.100,0.000,-0.100,True
"Klüssendorf, Angelika",2011,3,11,1,1,0.333,0.091,-0.242,True
"Lehr, Thomas",2010,2,11,0,1,0.000,0.091,0.091,False
"Lewitscharoff, Sibylle",2011,3,11,1,0,0.333,0.000,-0.333,True
"Mahlke, Inger-Maria",2015,7,9,2,0,0.286,0.000,-0.286,True
"Melle, Thomas",2014,6,10,0,1,0.000,0.100,0.100,False
"Menasse, Robert",2017,9,7,2,0,0.222,0.000,-0.222,True
"Meyer, Clemens",2013,5,11,3,5,0.600,0.455,-0.145,True
"Mora, Terézia",2013,5,11,0,2,0.000,0.182,0.182,False
"Nickel, Eckhart",2022,10,2,1,0,0.100,0.000,-0.100,True
"Özdamar, Emine Sevgi",2022,10,2,1,1,0.100,0.500,0.400,False
"Öziri, Necati",2023,10,1,1,0,0.100,0.000,-0.100,True
"Rakusa, Ilma",2019,10,5,1,0,0.100,0.000,-0.100,True
"Ransmayr, Christoph",2018,10,6,0,1,0.000,0.167,0.167,False
"Röckel, Susanne",2018,10,6,1,1,0.100,0.167,0.067,False
"Rothmann, Ralf",2017,9,7,4,3,0.444,0.429,-0.016,True
"Schirach, Ferdinand von",2010,2,11,1,12,0.500,1.091,0.591,False
"Schmidt, Eva",2016,8,8,0,1,0.000,0.125,0.125,False
"Schmidt, Kathrin",2009,1,11,0,2,0.000,0.182,0.182,False
"Schulze, Ingo",2008,0,11,0,5,NULL,0.455,NULL,NULL
"Schwitter, Monique",2015,7,9,1,0,0.143,0.000,-0.143,True
"Seiler, Lutz",2014,6,10,3,4,0.500,0.400,-0.100,True
"Setz, Clemens J.",2009,1,11,1,3,1.000,0.273,-0.727,True
"Stadler, Arnold",2009,1,11,0,3,0.000,0.273,0.273,False
"Stanišić, Saša",2019,10,5,4,0,0.400,0.000,-0.400,True
"Streeruwitz, Marlene",2011,3,11,0,0,0.000,0.000,0.000,False
"Tellkamp, Uwe",2008,0,11,0,0,NULL,0.000,NULL,NULL
"Wawerzinek, Peter",2010,2,11,0,1,0.000,0.091,0.091,False
"Weber, Anne",2020,10,4,1,0,0.100,0.000,-0.100,True
"Winkler, Philipp",2016,8,8,0,1,0.000,0.125,0.125,False
"Witzel, Frank",2015,7,9,0,1,0.000,0.111,0.111,False
"Zander, Judith",2010,2,11,0,1,0.000,0.091,0.091,False
"Ziegler, Ulf Erdmann",2012,4,11,0,1,0.000,0.091,0.091,False
