"person_id","person_name","award_year","n_after"
"P622","Aydemir, Fatma",2022,0
"P2446","Bärfuss, Lukas",2019,0
"P1438","Beyer, Marcel",2014,1
"P1509","Biller, Maxim",2018,0
"P1580","Bjerg, Bov",2020,0
"P1816","Bonné, Mirko",2013,1
"P1975","Brandt, Jan",2011,1
"P2403","Buselmeier, Michael",2011,1
"P3088","Dath, Dietmar",2008,1
"P3583","Dröscher, Daniela",2022,0
"P3762","Edelbauer, Raphaela",2019,0
"P3489","Elmiger, Dorothee",2020,0
"P4111","Erpenbeck, Jenny",2015,0
"P4264","Fatah, Sherko",2008,1
"P4664","Franck, Julia",2007,2
"P4711","Franzobel",2017,1
"P5403","Glavinic, Thomas",2007,0
"P5920","Gstrein, Norbert",2021,0
"P6795","Helfer, Monika",2021,0
"P7052","Hettche, Thomas",2014,1
"P7444","Hoppe, Felicitas",2012,0
"P8054","Jirgl, Reinhard",2010,1
"P8297","Kaiser-Mühlecker, Reinhard",2016,0
"P8382","Kappacher, Walter",2009,2
"P8775","Kinsky, Esther",2022,0
"P9021","Klüssendorf, Angelika",2011,1
"P9852","Köhlmeier, Michael",2007,4
"P9447","Krechel, Ursula",2012,0
"P10121","Lange-Müller, Katja",2007,0
"P10322","Lehr, Thomas",2010,2
"P10480","Lewitscharoff, Sibylle",2011,0
"P20408","L'Horizon, Kim de",2022,0
"P11059","Mahlke, Inger-Maria",2015,0
"P11628","Melle, Thomas",2014,1
"P11641","Menasse, Robert",2017,0
"P11736","Meyer, Clemens",2013,5
"P12004","Mora, Terézia",2013,2
"P12060","Mosebach, Martin",2007,2
"P12624","Nickel, Eckhart",2022,0
"P20638","Özdamar, Emine Sevgi",2022,0
"P20642","Öziri, Necati",2023,0
"P13263","Peltzer, Ulrich",2015,0
"P13685","Poschmann, Marion",2013,0
"P13990","Rakusa, Ilma",2019,0
"P14023","Ransmayr, Christoph",2018,1
"P14526","Rinck, Monika",2015,0
"P14948","Röckel, Susanne",2018,1
"P14799","Rothmann, Ralf",2017,3
"P15169","Sanyal, Mithu",2021,0
"P15508","Schirach, Ferdinand von",2010,11
"P15656","Schmidt, Eva",2016,1
"P15673","Schmidt, Kathrin",2009,2
"P16145","Schulze, Ingo",2008,7
"P16322","Schwitter, Monique",2015,0
"P16567","Seiler, Lutz",2014,4
"P16625","Setz, Clemens J.",2009,5
"P17121","Stadler, Arnold",2009,3
"P17161","Stanišić, Saša",2019,0
"P20603","Steinaecker, Thomas von",2007,0
"P17553","Streeruwitz, Marlene",2011,1
"P17605","Strubel, Antje Rávik",2021,0
"P17926","Tellkamp, Uwe",2008,1
"P19031","Wawerzinek, Peter",2010,0
"P19040","Weber, Anne",2020,0
"P19662","Winkler, Philipp",2016,1
"P19775","Witzel, Frank",2015,1
"P20103","Zander, Judith",2010,0
"P20218","Ziegler, Ulf Erdmann",2012,1
