"kategorie","einzelnes_genre","anzahl"
"Gesamt","GeschichteAllgemein","1947"
"Gesamt","KurzgeschichteAllgemein","1713"
"Gesamt","GeschichteDrama","1023"
"Gesamt","KurzgeschichteDrama","1017"
"Gesamt"," Liebesgeschichte","976"
"Texte mit Endorsement","KurzgeschichteAllgemein","400"
"Texte mit Endorsement","GeschichteAllgemein","275"
"Texte mit Endorsement"," Liebesgeschichte","252"
"Texte mit Endorsement","KurzgeschichteDrama","232"
"Texte mit Endorsement"," Schmerz/Trost","188"
"Texte mit Review","GeschichteAllgemein","1283"
"Texte mit Review","KurzgeschichteAllgemein","1086"
"Texte mit Review","GeschichteDrama","698"
"Texte mit Review","KurzgeschichteDrama","664"
"Texte mit Review"," Liebesgeschichte","600"
"Texte ohne Engagement","GeschichteAllgemein","389"
"Texte ohne Engagement","KurzgeschichteAllgemein","227"
"Texte ohne Engagement","GeschichteDrama","216"
"Texte ohne Engagement"," Liebesgeschichte","124"
"Texte ohne Engagement","KurzgeschichteDrama","121"
