"literaturzeitschrift_name","auflagenhoehe"
"[kon]-paper","1000"
"Akzente","2000"
"Allmende – Zeitschrift für Literatur","2000"
"BELLA triste ","2.400"
"Das Magazin","46000"
"Das WETTER","6000"
"Die Horen","4000"
"dO!PEN","120"
"DUM","1000 (Stand: Jahr 2000)"
"Edit","2000"
"erostepost","500-800"
"kalmenzone","nur online"
"Kliteratur","500"
"Konzepte","800"
"Krachkultur","1000"
"Lettre International","22000"
"Lichtungen","1.100-1.400"
"Literatur in Bayern","1000"
"miromente","500 Abos"
"mosaik - Zeitschrift für Literatur und Kultur","1250"
"orte","1000 Leserinnen und Leser"
"SALZ","1100"
"Sinn und Form","3000"
"VOLLTEXT","15000"
"wespennest","5000 Mindestauflage"
"Perspektive","1000"
"Syltse","250-500"
