"literaturzeitschrift_id","auflage_pro_heft","issues_min","issues_max","issues_mid","jahresauflage_mid"
"LZ31",NULL,1,1,1.00000000000000000000,NULL
"LZ8",NULL,2,2,2.0000000000000000,NULL
"LZ9",1500,4,5,4.5000000000000000,6750
"LZ32",2000,1,1,1.00000000000000000000,2000
"LZ34",NULL,NULL,NULL,NULL,NULL
"LZ35",500,1,2,1.5000000000000000,750
"LZ36",NULL,4,4,4.0000000000000000,NULL
"LZ37",1000,1,1,1.00000000000000000000,1000
"LZ38",1000,1,1,1.00000000000000000000,1000
"LZ39",500,1,1,1.00000000000000000000,500
"LZ4",NULL,NULL,NULL,NULL,NULL
"LZ40",22000,4,4,4.0000000000000000,88000
"LZ41",1600,4,4,4.0000000000000000,6400
"LZ42",NULL,12,12,12.0000000000000000,NULL
"LZ43",NULL,2,2,2.0000000000000000,NULL
"LZ33",NULL,2,2,2.0000000000000000,NULL
"LZ13",46000,12,12,12.0000000000000000,552000
"LZ1",NULL,4,4,4.0000000000000000,NULL
"LZ10",NULL,1,1,1.00000000000000000000,NULL
"LZ12",NULL,6,6,6.0000000000000000,NULL
"LZ16",NULL,2,2,2.0000000000000000,NULL
"LZ18",NULL,1,1,1.00000000000000000000,NULL
"LZ2",1000,1,1,1.00000000000000000000,1000
"LZ77",NULL,2,2,2.0000000000000000,NULL
"LZ78",300,3,3,3.0000000000000000,900
"LZ79",200,1,1,1.00000000000000000000,200
"LZ11",2400,3,3,3.0000000000000000,7200
"LZ14",750,3,3,3.0000000000000000,2250
"LZ15",6000,4,4,4.0000000000000000,24000
"LZ17",1000,2,2,2.0000000000000000,2000
"LZ19",300,2,2,2.0000000000000000,600
"LZ20",4000,4,4,4.0000000000000000,16000
"LZ21",NULL,4,4,4.0000000000000000,NULL
"LZ22",120,NULL,NULL,NULL,NULL
"LZ23",NULL,4,4,4.0000000000000000,NULL
"LZ24",1000,4,4,4.0000000000000000,4000
"LZ25",2000,3,3,3.0000000000000000,6000
"LZ26",500,2,2,2.0000000000000000,1000
"LZ27",1500,4,4,4.0000000000000000,6000
"LZ28",NULL,2,2,2.0000000000000000,NULL
"LZ29",22134,12,12,12.0000000000000000,265608
"LZ3",NULL,NULL,NULL,NULL,NULL
"LZ30",NULL,1,2,1.5000000000000000,NULL
"LZ55",NULL,2,2,2.0000000000000000,NULL
"LZ56",1200,5,5,5.0000000000000000,6000
"LZ44",1400,4,4,4.0000000000000000,5600
"LZ45",4000,5,5,5.0000000000000000,20000
"LZ46",500,2,2,2.0000000000000000,1000
"LZ47",2500,4,4,4.0000000000000000,10000
"LZ48",500,4,4,4.0000000000000000,2000
"LZ49",NULL,NULL,NULL,NULL,NULL
"LZ5",2000,4,4,4.0000000000000000,8000
"LZ50",1000,4,4,4.0000000000000000,4000
"LZ51",800,4,4,4.0000000000000000,3200
"LZ52",1500,3,3,3.0000000000000000,4500
"LZ53",NULL,4,4,4.0000000000000000,NULL
"LZ54",1000,4,4,4.0000000000000000,4000
"LZ57",1000,4,4,4.0000000000000000,4000
"LZ58",1200,4,4,4.0000000000000000,4800
"LZ59",NULL,2,2,2.0000000000000000,NULL
"LZ6",2000,2,2,2.0000000000000000,4000
"LZ60",NULL,1,1,1.00000000000000000000,NULL
"LZ61",350,2,2,2.0000000000000000,700
"LZ62",1500,4,4,4.0000000000000000,6000
"LZ63",NULL,2,2,2.0000000000000000,NULL
"LZ64",2000,2,2,2.0000000000000000,4000
"LZ65",500,2,2,2.0000000000000000,1000
"LZ66",NULL,1,1,1.00000000000000000000,NULL
"LZ67",NULL,2,2,2.0000000000000000,NULL
"LZ68",3000,6,6,6.0000000000000000,18000
"LZ69",1500,4,4,4.0000000000000000,6000
"LZ7",1000,2,2,2.0000000000000000,2000
"LZ70",200,1,1,1.00000000000000000000,200
"LZ71",250,1,2,1.5000000000000000,375
"LZ72",NULL,2,2,2.0000000000000000,NULL
"LZ73",NULL,1,2,1.5000000000000000,NULL
"LZ74",15000,4,4,4.0000000000000000,60000
"LZ75",1000,NULL,NULL,NULL,NULL
"LZ76",5000,2,2,2.0000000000000000,10000
