"work_key","exemplar_titel","n_manifestationen"
"1000 worte ansbachisch|P6667","1000 Worte Ansbachisch",1
"1001fach lebenswert|P17885","1001fach lebenswert",1
"1001 geschichte|P6483","1001 Geschichte",1
"1002fach lebenswert|P11615","1002fach lebenswert",1
"100 bilder 200 geschichten|P1124|P17249","100 Bilder 200 Geschichten",1
"100 jahre opa 100 geschichten|P4381","100 Jahre Opa - 100 Geschichten",1
"100 kleine geschichten zur großen geschichte|P3596","100 kleine Geschichten zur großen Geschichte",1
"100 moderne kurzgeschichten|P2464","100 moderne Kurzgeschichten",1
"100 schokolade","100% Schokolade",2
"100 und ein jahr|P4095","100 und ein Jahr",1
"100 wahre geschichten|P15621","100 wahre Geschichten",1
"101 b geschichten","101 B-Geschichten",1
"10 erotische kurzgeschichten für männer und frauen|P13585","10 Erotische Kurzgeschichten für Männer und Frauen",1
"1 0 für dich und mich","1:0 für dich und mich",1
"10 inspirierende kurzgeschichten zum thema loslassen","10 inspirierende Kurzgeschichten zum Thema Loslassen",1
"10 inspirierende kurzgeschichten zum thema spontanität","10 inspirierende Kurzgeschichten zum Thema Spontanität",1
"10 jahre acabus verlag|P10694|P12424|P15438|P1578|P16775|P184|P18849|P18964|P19255|P2783|P3126|P5613|P65|P8377|P95","10 Jahre acabus Verlag",1
"10 jahre alt|P1799","10 Jahre alt",1
"10 krimi kurzgeschichten fürs bett|P7055","10 Krimi-Kurzgeschichten fürs Bett",1
"10 kurzgeschichten als solodame|P8085","10 Kurzgeschichten als Solodame",1
"10 kurzgeschichten als swingerpaar|P8085","10 Kurzgeschichten als Swingerpaar",1
"10 kurzgeschichten fürs bett|P7055","10 Kurzgeschichten fürs Bett",1
"10 merkwürdige geschichten|P11381","10 merkwürdige Geschichten",1
"10 minuten auszeit lustige und unterhaltsame kurzgeschichten zum durchschnaufen|P12630","10 Minuten Auszeit - lustige und unterhaltsame Kurzgeschichten zum Durchschnaufen",2
"10 stories of life|P14476","10 Stories of life",1
"10te staffel fünf minibücher booklits literatur quickie geschichten to go","10te Staffel, fünf Minibücher, Booklits, Literatur Quickie, Geschichten to go!",1
"10und01 märchen aus unseren tagen|P6761","10und01 Märchen aus unseren Tagen",1
"10 weitere kurzgeschichten als solodame|P8085","10 weitere Kurzgeschichten als Solodame",1
"10 weitere kurzgeschichten als swingerpaar|P8085","10 weitere Kurzgeschichten als Swingerpaar",1
"111 geschichten aus dem kölner zoo die man kennen muss|P13086|P16455","111 Geschichten aus dem Kölner Zoo, die man kennen muss",1
"111 herzensweisheiten|P14485","111 Herzensweisheiten",1
"11 1 wandel","11.1 – Wandel",1
"11 2 sommerloch","11.2 – Sommerloch",1
"113 einseitige geschichten","113 einseitige Geschichten",3
"11 comedy geschichten in reimform|P18545","11 Comedy-Geschichten in Reimform",1
"11 merkwürdige geschichten|P11381","11 merkwürdige Geschichten",1
"11|P237","11",1
"11|P727","11",1
"11 spannende kurzgeschichten","11 spannende Kurzgeschichten",1
"11te staffel fünf minibücher booklits literatur quickie geschichten to go","11te Staffel, fünf Minibücher, Booklits, Literatur Quickie, Geschichten to go!",1
"11 wilde western stories","11 wilde Western Stories",2
"1 2 3 4 mama ist hier|P9672","1, 2, 3, 4 Mama ist hier!",1
"12 monate angst|P10609|P10610|P13568|P13811|P18382|P19652|P6777|P680|P8407|P8942|P9261","12 Monate Angst",1
"13 andere geschichten|P198","13 andere Geschichten",1
"13 geschichten vom pech","13 Geschichten vom Pech",1
"13 glücksmomente|P3619","13 Glücksmomente",1
"13 horror kurzgeschichten|P17815|P18981","13 Horror Kurzgeschichten",1
"13 kleine thriller|P15491","13 kleine Thriller",1
"13 kurzgeschichten|P2636","13 Kurzgeschichten",1
"13 sagenhafte geschichten|P7043","13 sagenhafte Geschichten",1
"13 shadows sammelband 1 romane und erzählungen","13 SHADOWS - SAMMELBAND 1 - Romane und Erzählungen",1
"13 short stories by william lewis with translations into german|P10479|P11864|P14334|P17379|P17869|P2506|P2779|P4595|P4823","13 Short Stories by William Lewis with translations into German",1
"13 und andere geschichten|P13118","13 und andere Geschichten",1
"13 urbane legenden|P10445|P10734|P11491|P11954|P13833|P19177|P2333|P5601|P5603|P6575|P6844|P8171|P9015","13 urbane Legenden",1
"15 mdr literaturwettbewerb 2010","15. MDR-Literaturwettbewerb 2010",1
"16 kurz e geschichten mitten aus dem leben|P11799","16 Kurz(e) Geschichten mitten aus dem Leben",1
"17 facetten der liebe","17 Facetten der Liebe",1
"1816 das jahr ohne sommer|P8496","1816 - das Jahr ohne Sommer",1
"19 13","19:13",1
"1918 die unwirklichen geschichten des herrn österreicher|P17130","1918 - die unwirklichen Geschichten des Herrn Österreicher",1
"1942|P10670","1942 ",1
"1945 ist der krieg nun aus|P1161","1945: Ist der Krieg nun aus?",1
"1945 oder vögel singen auch in ruinen|P13861","1945 oder Vögel singen auch in Ruinen",1
"1989er schicksale|P10111|P11446|P11602|P12203|P1223|P12939|P13134|P14223|P14955|P15587|P15651|P18783|P20017|P2318|P3086|P4027|P4674|P5515|P6345|P7303|P8657|P8693|P9271","1989er Schicksale",1
"1991 kurze geschichten|P11599","1991 - kurze Geschichten",1
"19 geschichten aus dem dazwischen|P17998","19 Geschichten aus dem Dazwischen",1
"19 merkwürdige geschichten|P13013","19 merkwürdige Geschichten",1
"19|P2890","19",1
"1 franken geschichten|P13687","1-Franken-Geschichten",1
"1 gutes buch vong humor her|P12381","1 gutes Buch vong Humor her",1
"2024 zwischen zwang täuschung|P9696","2024 - zwischen Zwang & Täuschung",1
"2029 geschichten von morgen","2029 - Geschichten von morgen",1
"2044 fantasy thriller buchreihe|P7649","2044 (Fantasy- Thriller Buchreihe)",1
"2057 und früher","2057 und früher",1
"2062","2062",1
"20 bilder 40 neue geschichten|P1124|P17249","20 Bilder 40 Neue Geschichten",1
"20 erzählungen und kurzgeschichten","20 Erzählungen und Kurzgeschichten",1
"20 frische bilder 40 neue geschichten","20 frische Bilder, 40 neue Geschichten",1
"20 kurzgeschichten|P12563","20 Kurzgeschichten",1
"20 kurzgeschichten|P18454","20 Kurzgeschichten",1
"20 kurzgeschichten|P8586","20 Kurzgeschichten",1
"20 seltsame geschichten","20 seltsame Geschichten",1
"2112","2112",1
"21 gründe warum eine frau mit einem mann schläft","21 Gründe, warum eine Frau mit einem Mann schläft",1
"21 gründe warum eine frau mit einem mann schläft|P10425","21 Gründe, warum eine Frau mit einem Mann schläft",1
"2275 tage mit janosch|P6742","2275 Tage mit Janosch",1
"22 geschichten von kindern und jugendlichen aus haltern am see","22 Geschichten von Kindern und Jugendlichen aus Haltern am See",1
